start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,american dental plan,0,1,0,72
2024-05-01,2024-05-07,usa,americans going to mexico for dental work,0,1,0,67
2024-05-01,2024-05-07,usa,americas dental tourism market,0,6,0,90.5
2024-05-01,2024-05-07,usa,best dentist in los algodones,0,1,0,4
2024-05-01,2024-05-07,usa,can i use my dental insurance in mexico,0,2,0,1
2024-05-01,2024-05-07,usa,dental insurance in mexico,0,1,0,10
2024-05-01,2024-05-07,usa,dental insurance mexico,0,3,0,10.666666666666666
2024-05-01,2024-05-07,usa,do mexican dentists take american insurance,0,3,0,7
2024-05-01,2024-05-07,usa,how to pay for dental work in mexico,0,1,0,73
2024-05-01,2024-05-07,usa,juarez dentist shuttle,0,1,0,4
2024-05-01,2024-05-07,usa,travel to mexico for dental work,0,1,0,95
2024-05-08,2024-05-14,usa,best city in mexico for dental work,1,2,0.5,2
2024-05-08,2024-05-14,usa,los algodones border crossing,1,1,1,3
2024-05-08,2024-05-14,usa,mexican dentist prices,1,1,1,2
2024-05-08,2024-05-14,usa,$399 dental implants,0,2,0,2
2024-05-08,2024-05-14,usa,algodones,0,2,0,3
2024-05-08,2024-05-14,usa,algodones mexico,0,1,0,4
2024-05-08,2024-05-14,usa,algodones mexico dentist,0,2,0,2
2024-05-08,2024-05-14,usa,american dental palomas mexico,0,1,0,3
2024-05-08,2024-05-14,usa,american dental plan,0,2,0,83.5
2024-05-08,2024-05-14,usa,americans going to mexico for dental work,0,1,0,59
2024-05-08,2024-05-14,usa,americas dental tourism market,0,4,0,77.75
2024-05-08,2024-05-14,usa,best dentist in guadalajara mexico,0,1,0,2
2024-05-08,2024-05-14,usa,"best dentist in juarez, mexico",0,2,0,2
2024-05-08,2024-05-14,usa,best dentist in mexico,0,1,0,2
2024-05-08,2024-05-14,usa,"best dentist in nogales, mexico",0,1,0,2
2024-05-08,2024-05-14,usa,best dentist in tijuana,0,1,0,2
2024-05-08,2024-05-14,usa,best dentists in mexico,0,1,0,2
2024-05-08,2024-05-14,usa,best dentists in mexico city,0,1,0,2
2024-05-08,2024-05-14,usa,braces in spanish mexico,0,1,0,2
2024-05-08,2024-05-14,usa,can i use my dental insurance in mexico,0,9,0,4.333333333333334
2024-05-08,2024-05-14,usa,cancun dental design,0,1,0,4
2024-05-08,2024-05-14,usa,cost of dental crowns in mexico,0,1,0,2
2024-05-08,2024-05-14,usa,cost of tooth extraction in mexico,0,2,0,2
2024-05-08,2024-05-14,usa,delta dental mexico,0,1,0,2
2024-05-08,2024-05-14,usa,dental care in mexico,0,1,0,2
2024-05-08,2024-05-14,usa,dental city mexico,0,1,0,2
2024-05-08,2024-05-14,usa,dental crowns in mexico,0,1,0,2
2024-05-08,2024-05-14,usa,dental insurance,0,1,0,12
