start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,algodones border crossing,0,2,0,2
2024-05-01,2024-05-07,usa,los algodones border crossing,0,2,0,11
2024-05-01,2024-05-07,usa,los algodones border crossing restrictions,0,2,0,8
2024-05-01,2024-05-07,usa,los algodones border parking,0,1,0,12
2024-05-01,2024-05-07,usa,shuttle service in los algodones,0,1,0,25
2024-05-08,2024-05-14,usa,is los algodones safe,0,1,0,3
2024-05-08,2024-05-14,usa,los algodones border crossing wait time,0,1,0,4
2024-05-08,2024-05-14,usa,mexican auto insurance yuma az,0,1,0,37
2024-05-08,2024-05-14,usa,shuttle service in los algodones,0,2,0,26.5
2024-05-15,2024-05-21,usa,los algodones border crossing,1,9,0.1111111111111111,10.222222222222221
2024-05-15,2024-05-21,usa,los algodones dentist,1,1,1,2
2024-05-15,2024-05-21,usa,algodones,0,1,0,12
2024-05-15,2024-05-21,usa,algodones border crossing,0,5,0,13.6
2024-05-15,2024-05-21,usa,algodones mexico,0,1,0,4
2024-05-15,2024-05-21,usa,algodones port of entry,0,2,0,14
2024-05-15,2024-05-21,usa,all-on-4 los algodones mexico,0,1,0,66
2024-05-15,2024-05-21,usa,border crossing algodones,0,2,0,8
2024-05-15,2024-05-21,usa,dental implants mexico border,0,1,0,74
2024-05-15,2024-05-21,usa,dental work in mexico,0,2,0,3
2024-05-15,2024-05-21,usa,directions to los algodones,0,1,0,16
2024-05-15,2024-05-21,usa,enhanced driver's license,0,1,0,11
2024-05-15,2024-05-21,usa,los algodones,0,1,0,3
2024-05-15,2024-05-21,usa,los algodones border crossing restrictions,0,5,0,11
2024-05-15,2024-05-21,usa,los algodones mexico border crossing,0,1,0,14
2024-05-15,2024-05-21,usa,los algodones port of entry,0,1,0,8
2024-05-15,2024-05-21,usa,mexico dentists near yuma,0,1,0,2
2024-05-15,2024-05-21,usa,returning to the u.s.,0,1,0,10
2024-05-15,2024-05-21,usa,shuttle service in los algodones,0,6,0,28.166666666666668
2024-05-22,2024-05-28,usa,border crossing los algodones,2,8,0.25,6.625
2024-05-22,2024-05-28,usa,algodones border crossing,1,5,0.2,5.6
2024-05-22,2024-05-28,usa,algodones mexico border,1,3,0.3333333333333333,11.666666666666666
2024-05-22,2024-05-28,usa,dental tourism mexico los algodones,1,1,1,1
2024-05-22,2024-05-28,usa,los algodones border crossing,1,24,0.041666666666666664,9.041666666666666
2024-05-22,2024-05-28,usa,los algodones border news,1,1,1,3
2024-05-22,2024-05-28,usa,algodone,0,3,0,41
2024-05-22,2024-05-28,usa,algodones,0,6,0,35.166666666666664
2024-05-22,2024-05-28,usa,algodones arizona,0,1,0,60
2024-05-22,2024-05-28,usa,algodones bc,0,1,0,38
2024-05-22,2024-05-28,usa,algodones border,0,7,0,24
2024-05-22,2024-05-28,usa,algodones border crossing hours,0,1,0,17
2024-05-22,2024-05-28,usa,algodones border hours,0,6,0,9.333333333333334
2024-05-22,2024-05-28,usa,algodones dental,0,1,0,2
2024-05-22,2024-05-28,usa,algodones dentist,0,3,0,2
2024-05-22,2024-05-28,usa,algodones map,0,1,0,44
2024-05-22,2024-05-28,usa,algodones mexico border crossing,0,4,0,11.25
2024-05-22,2024-05-28,usa,algodones mexico dental,0,1,0,2
2024-05-22,2024-05-28,usa,algodones mexico dentist,0,4,0,2
2024-05-22,2024-05-28,usa,algodones mexico dentists,0,1,0,4
2024-05-22,2024-05-28,usa,algodones mexico directions,0,1,0,13
2024-05-22,2024-05-28,usa,algodones mexico map,0,4,0,40.75
2024-05-22,2024-05-28,usa,algodones port of entry,0,16,0,8.9375
2024-05-22,2024-05-28,usa,algodonez,0,1,0,40
2024-05-22,2024-05-28,usa,andrade border crossing,0,9,0,12.666666666666666
2024-05-22,2024-05-28,usa,andrade california border crossing,0,1,0,22
2024-05-22,2024-05-28,usa,andrade port of entry,0,15,0,14.866666666666667
2024-05-22,2024-05-28,usa,best dental clinics in los algodones mexico,0,1,0,2
2024-05-22,2024-05-28,usa,best dentist in los algodones mexico,0,1,0,2
2024-05-22,2024-05-28,usa,best ride to algodones from yuma,0,8,0,32
2024-05-22,2024-05-28,usa,border crossing algodones,0,2,0,9.5
2024-05-22,2024-05-28,usa,cost of a crown in mexico,0,1,0,3
2024-05-22,2024-05-28,usa,dental implants in mexico near texas border,0,1,0,2
2024-05-22,2024-05-28,usa,dental implants mexico border,0,8,0,87
2024-05-22,2024-05-28,usa,dental work in algodones mexico,0,1,0,2
2024-05-22,2024-05-28,usa,dental work in los algodones mexico,0,1,0,2
2024-05-22,2024-05-28,usa,dentist in algodones mexico reviews,0,1,0,4
2024-05-22,2024-05-28,usa,dentist in los algodones mexico,0,1,0,2
2024-05-22,2024-05-28,usa,dentist in los algodones problems,0,1,0,4
2024-05-22,2024-05-28,usa,dentist in mexico,0,1,0,2
2024-05-22,2024-05-28,usa,dentist in mexico near arizona border,0,1,0,2
2024-05-22,2024-05-28,usa,dentist in nogales mexico,0,1,0,2
2024-05-22,2024-05-28,usa,dentist mexico border,0,1,0,2
2024-05-22,2024-05-28,usa,dentists in mexico near yuma,0,1,0,2
2024-05-22,2024-05-28,usa,directions to algodones mexico,0,7,0,10.857142857142858
2024-05-22,2024-05-28,usa,do you need a passport to go to los algodones mexico,0,6,0,10.166666666666666
2024-05-22,2024-05-28,usa,enhanced driver's license,0,2,0,6
2024-05-22,2024-05-28,usa,fila algodones,0,1,0,33
2024-05-22,2024-05-28,usa,getting dental work done in mexico,0,1,0,3
2024-05-22,2024-05-28,usa,grace dental los algodones,0,1,0,3
2024-05-22,2024-05-28,usa,hotels in algodones mexico,0,1,0,5
2024-05-22,2024-05-28,usa,how to get a medical pass to cross the border,0,1,0,57
2024-05-22,2024-05-28,usa,how to get to los algodones mexico,0,1,0,30
2024-05-22,2024-05-28,usa,how to pay for dental work in mexico,0,1,0,3
2024-05-22,2024-05-28,usa,international border control mexico - los algodones,0,5,0,12.4
2024-05-22,2024-05-28,usa,los algodones,0,5,0,3
2024-05-22,2024-05-28,usa,los algodones airport,0,1,0,3
2024-05-22,2024-05-28,usa,los algodones border,0,2,0,19
2024-05-22,2024-05-28,usa,los algodones border crossing hours,0,1,0,19
2024-05-22,2024-05-28,usa,los algodones border crossing restrictions,0,5,0,11.2
2024-05-22,2024-05-28,usa,los algodones border crossing restrictions today,0,2,0,10
2024-05-22,2024-05-28,usa,los algodones border crossing time,0,1,0,20
2024-05-22,2024-05-28,usa,los algodones border hours,0,3,0,8.666666666666668
2024-05-22,2024-05-28,usa,los algodones border parking,0,3,0,13
2024-05-22,2024-05-28,usa,los algodones dental,0,2,0,2
2024-05-22,2024-05-28,usa,los algodones dentist,0,3,0,2
2024-05-22,2024-05-28,usa,los algodones dentist price list,0,1,0,4
2024-05-22,2024-05-28,usa,los algodones dentists,0,2,0,2
2024-05-22,2024-05-28,usa,los algodones mexico safe,0,1,0,48
2024-05-22,2024-05-28,usa,los algodones port of entry,0,4,0,10
2024-05-22,2024-05-28,usa,los algodones safe,0,1,0,38
2024-05-22,2024-05-28,usa,los algodones safety,0,1,0,2
2024-05-22,2024-05-28,usa,los algodonos mexico location where,0,1,0,34
2024-05-22,2024-05-28,usa,map of los algodones mexico,0,1,0,41
2024-05-22,2024-05-28,usa,mexico los algodones,0,1,0,3
2024-05-22,2024-05-28,usa,molar city,0,1,0,3
2024-05-22,2024-05-28,usa,phoenix to algodones mexico,0,1,0,25
2024-05-22,2024-05-28,usa,phoenix to los algodones,0,2,0,20.5
2024-05-22,2024-05-28,usa,ride to algodones from yuma,0,5,0,31.6
2024-05-22,2024-05-28,usa,sani dental in los algodones,0,1,0,2
