start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,dental crown cost in los algodones,0,1,0,36
2024-05-01,2024-05-07,usa,dental implant cost los algodones,0,2,0,26
2024-05-01,2024-05-07,usa,dental implant cost los algodones mexico,0,1,0,27
2024-05-01,2024-05-07,usa,dental implants cost los algodones,0,1,0,25
2024-05-01,2024-05-07,usa,dental implants cost los algodones mexico,0,2,0,27.5
2024-05-01,2024-05-07,usa,dental implants cost los algodones mx,0,1,0,28
2024-05-01,2024-05-07,usa,full mouth reconstruction los algodones mexico,0,1,0,69
2024-05-01,2024-05-07,usa,veneers los algodones mexico,0,1,0,85
2024-05-08,2024-05-14,usa,bone grafting los algodones mexico,0,2,0,81.5
2024-05-08,2024-05-14,usa,dental implant cost los algodones,0,3,0,18
2024-05-08,2024-05-14,usa,dental implants cost los algodones,0,1,0,28
2024-05-15,2024-05-21,usa,bone grafting los algodones mexico,0,1,0,73
2024-05-15,2024-05-21,usa,dental bridges and crowns in los algodones mexico,0,1,0,82
2024-05-15,2024-05-21,usa,dental implant cost los algodones,0,1,0,19
2024-05-15,2024-05-21,usa,dental implant cost los algodones mexico,0,1,0,27
2024-05-15,2024-05-21,usa,dental implants cost los algodones,0,2,0,23
2024-05-15,2024-05-21,usa,dental implants cost los algodones mx,0,1,0,27
2024-05-15,2024-05-21,usa,porcelain veneers los algodones,0,2,0,72.5
2024-05-22,2024-05-28,usa,all on six dental implants in los algodones,0,6,0,67
2024-05-22,2024-05-28,usa,bone grafting los algodones mexico,0,6,0,76
2024-05-22,2024-05-28,usa,dental bridges and crowns in los algodones mexico,0,4,0,89.75
2024-05-22,2024-05-28,usa,dental crown cost in los algodones,0,5,0,35.6
2024-05-22,2024-05-28,usa,dental crowns los algodones,0,3,0,82.33333333333333
2024-05-22,2024-05-28,usa,dental implant cost los algodones mexico,0,5,0,26.8
2024-05-22,2024-05-28,usa,dental implants cost los algodones,0,4,0,21.5
2024-05-22,2024-05-28,usa,dental implants cost los algodones mexico,0,2,0,25
2024-05-22,2024-05-28,usa,dental implants cost los algodones mx,0,3,0,26
2024-05-22,2024-05-28,usa,dental implants los algodones mx,0,3,0,92
2024-05-22,2024-05-28,usa,los algodones dentists prices,0,2,0,27.5
2024-05-22,2024-05-28,usa,los cabos dentist prices,0,4,0,45.5
2024-05-22,2024-05-28,usa,porcelain veneers los algodones,0,1,0,51
2024-05-22,2024-05-28,usa,tooth replacement los algodones,0,2,0,33
2024-05-29,2024-06-04,usa,algodones dentists prices,0,1,0,29
2024-05-29,2024-06-04,usa,all on 4 dental implants in los algodones,0,1,0,44
2024-05-29,2024-06-04,usa,all on six dental implants in los algodones,0,7,0,60.57142857142857
2024-05-29,2024-06-04,usa,bone grafting los algodones mexico,0,3,0,71.66666666666667
2024-05-29,2024-06-04,usa,dental bridges los algodones,0,1,0,79
2024-05-29,2024-06-04,usa,dental crown cost in los algodones,0,8,0,38.625
2024-05-29,2024-06-04,usa,dental crowns los algodones,0,3,0,80.66666666666667
2024-05-29,2024-06-04,usa,dental implant cost los algodones mexico,0,1,0,28
2024-05-29,2024-06-04,usa,dental implants cost los algodones,0,7,0,22.285714285714285
2024-05-29,2024-06-04,usa,dental implants cost los algodones mx,0,1,0,26
2024-05-29,2024-06-04,usa,los algodones dentists prices,0,2,0,38.5
2024-05-29,2024-06-04,usa,los angeles full arch dental implants cost,0,1,0,104
2024-05-29,2024-06-04,usa,los cabos dentist prices,0,7,0,45.42857142857143
2024-06-05,2024-06-11,usa,all on six dental implants in los algodones,0,6,0,64.83333333333334
2024-06-05,2024-06-11,usa,dental crown cost in los algodones,0,11,0,36.54545454545455
2024-06-05,2024-06-11,usa,dental crowns los algodones,0,9,0,81
2024-06-05,2024-06-11,usa,dental implant cost los algodones mexico,0,1,0,26
2024-06-05,2024-06-11,usa,dental implants cost los algodones,0,8,0,24.375
2024-06-05,2024-06-11,usa,dental implants cost los algodones mx,0,5,0,29
2024-06-05,2024-06-11,usa,los algodones dentists prices,0,1,0,44
2024-06-05,2024-06-11,usa,los cabos dentist prices,0,5,0,41.4
2024-06-12,2024-06-18,usa,dental bridges and crowns in los algodones mexico,0,1,0,77
2024-06-12,2024-06-18,usa,dental bridges los algodones,0,1,0,80
2024-06-12,2024-06-18,usa,dental crown cost in los algodones,0,2,0,42.5
2024-06-12,2024-06-18,usa,dental implant cost los algodones mexico,0,4,0,28
2024-06-12,2024-06-18,usa,dental implants cost los algodones,0,8,0,24
2024-06-12,2024-06-18,usa,dental implants cost los algodones mexico,0,4,0,26
2024-06-12,2024-06-18,usa,dental implants cost los algodones mx,0,14,0,28.642857142857142
2024-06-12,2024-06-18,usa,dental price list in los algodones,0,1,0,30
2024-06-19,2024-06-25,usa,dental crown cost in los algodones,0,1,0,30
2024-06-19,2024-06-25,usa,dental implants cost los algodones,0,1,0,27
2024-06-19,2024-06-25,usa,los cabos dentist prices,0,1,0,48
