start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,algodones hotels,0,4,0,20.75
2024-05-01,2024-05-07,usa,algodones mexico hotels,0,1,0,23
2024-05-01,2024-05-07,usa,best hotels in los algodones mexico,0,1,0,20
2024-05-01,2024-05-07,usa,best ride to algodones from yuma,0,2,0,38
2024-05-01,2024-05-07,usa,best room rates in los algodones,0,1,0,23
2024-05-01,2024-05-07,usa,hacienda los algodones,0,4,0,28.75
2024-05-01,2024-05-07,usa,hotel algodones,0,3,0,55
2024-05-01,2024-05-07,usa,hotel california los algodones mexico,0,1,0,32
2024-05-01,2024-05-07,usa,hotel del valle los algodones,0,3,0,27.333333333333332
2024-05-01,2024-05-07,usa,hotel hacienda los algodones,0,4,0,29.25
2024-05-01,2024-05-07,usa,hotel in los algodones,0,2,0,27
2024-05-01,2024-05-07,usa,hotel in yuma az near los algodones,0,2,0,16.5
2024-05-01,2024-05-07,usa,hotel los algodones,0,6,0,15.333333333333334
2024-05-01,2024-05-07,usa,hotel los algodones mexico,0,1,0,24
2024-05-01,2024-05-07,usa,hotels algodones,0,9,0,36
2024-05-01,2024-05-07,usa,hotels algodones mexico,0,1,0,25
2024-05-01,2024-05-07,usa,hotels in algodones mexico,0,1,0,21
2024-05-01,2024-05-07,usa,hotels in los algodones,0,10,0,15.3
2024-05-01,2024-05-07,usa,hotels in los algodones mexico,0,4,0,32.5
2024-05-01,2024-05-07,usa,hotels in yuma az near los algodones,0,3,0,18.333333333333332
2024-05-01,2024-05-07,usa,hotels los algodones,0,5,0,19
2024-05-01,2024-05-07,usa,hotels los algodones mexico,0,8,0,26.375
2024-05-01,2024-05-07,usa,hotels near algodones mexico,0,2,0,26
2024-05-01,2024-05-07,usa,hotels near los algodones,0,2,0,19.5
2024-05-01,2024-05-07,usa,hotels near los algodones mexico,0,5,0,23.2
2024-05-01,2024-05-07,usa,la hacienda los algodones,0,4,0,31.5
2024-05-01,2024-05-07,usa,los algodones dentist review,0,1,0,82
2024-05-01,2024-05-07,usa,los algodones dentist- castle dental 1,0,1,0,43
2024-05-01,2024-05-07,usa,los algodones hotel,0,1,0,19
2024-05-01,2024-05-07,usa,los algodones hotels,0,4,0,21
2024-05-01,2024-05-07,usa,los algodones mexico hotels,0,7,0,18.285714285714285
2024-05-01,2024-05-07,usa,los algodones porcelain veneers,0,2,0,68.5
2024-05-01,2024-05-07,usa,porcelain veneers los algodones,0,2,0,81
2024-05-01,2024-05-07,usa,room rates in los algodones,0,2,0,27
2024-05-01,2024-05-07,usa,special offers in los algodones,0,1,0,28
2024-05-08,2024-05-14,usa,algodones mexico hotels,0,1,0,22
2024-05-08,2024-05-14,usa,hacienda los algodones,0,3,0,30
2024-05-08,2024-05-14,usa,hacienda los algodones reviews,0,1,0,13
2024-05-08,2024-05-14,usa,hotel algodones,0,1,0,59
2024-05-08,2024-05-14,usa,hotel hacienda los algodones,0,1,0,34
2024-05-08,2024-05-14,usa,hotel los algodones,0,3,0,40.333333333333336
2024-05-08,2024-05-14,usa,hotels algodones,0,3,0,35
2024-05-08,2024-05-14,usa,hotels in algodones mexico,0,2,0,20.5
2024-05-08,2024-05-14,usa,hotels in los algodones,0,5,0,13.4
2024-05-08,2024-05-14,usa,hotels in los algodones mexico,0,2,0,18.5
2024-05-08,2024-05-14,usa,hotels in yuma az near los algodones,0,2,0,17.5
2024-05-08,2024-05-14,usa,hotels los algodones,0,1,0,17
2024-05-08,2024-05-14,usa,hotels los algodones mexico,0,1,0,28
2024-05-08,2024-05-14,usa,hotels near los algodones mexico,0,1,0,22
2024-05-08,2024-05-14,usa,los algodones hotel,0,2,0,53.5
2024-05-08,2024-05-14,usa,los algodones hotels,0,1,0,11
2024-05-08,2024-05-14,usa,los algodones mexico hotels,0,1,0,19
2024-05-08,2024-05-14,usa,mexican dentists near yuma az,0,3,0,83.33333333333333
2024-05-08,2024-05-14,usa,room rates in los algodones,0,1,0,31
2024-05-15,2024-05-21,usa,hotel in yuma az near los algodones,0,5,0,16.8
2024-05-22,2024-05-28,usa,hotel in yuma az near los algodones,0,8,0,18.125
2024-05-29,2024-06-04,usa,hotel in yuma az near los algodones,0,7,0,17.285714285714285
2024-06-05,2024-06-11,usa,hotel in yuma az near los algodones,0,9,0,17.11111111111111
2024-06-12,2024-06-18,usa,hotel in yuma az near los algodones,0,8,0,17
2024-06-19,2024-06-25,usa,hotel in yuma az near los algodones,0,17,0,16.88235294117647
2024-06-26,2024-07-02,usa,hotel in yuma az near los algodones,0,7,0,16.57142857142857
