start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,changing dentists,0,1,0,61
2024-05-08,2024-05-14,usa,how to get dental records transferred,0,1,0,82
2024-05-08,2024-05-14,usa,sharing dental records between providers,0,8,0,91
2024-05-15,2024-05-21,usa,how to get dental records transferred,0,2,0,84.5
2024-05-15,2024-05-21,usa,sharing dental records between providers,0,1,0,75
2024-05-15,2024-05-21,usa,transfer dental records,0,1,0,91
2024-05-22,2024-05-28,usa,changing dentists,0,2,0,66
2024-05-22,2024-05-28,usa,how to get dental records transferred,0,2,0,80
2024-05-22,2024-05-28,usa,how to transfer dental records,0,2,0,91
2024-05-22,2024-05-28,usa,is it easy to switch dentists,0,1,0,35
2024-05-22,2024-05-28,usa,sharing dental records between providers,0,7,0,76.85714285714286
2024-05-22,2024-05-28,usa,transfer dental records,0,10,0,84.4
2024-05-22,2024-05-28,usa,transferring dental records,0,1,0,65
2024-05-29,2024-06-04,usa,am i entitled to my dental records,0,1,0,1
2024-05-29,2024-06-04,usa,how to get dental records transferred,0,3,0,80.66666666666667
2024-05-29,2024-06-04,usa,sharing dental records between providers,0,6,0,79.16666666666667
2024-05-29,2024-06-04,usa,switching dentists,0,5,0,30
2024-05-29,2024-06-04,usa,transfer dental records,0,15,0,70.4
2024-06-05,2024-06-11,usa,can dental records be transferred,0,1,0,86
2024-06-05,2024-06-11,usa,changing dentists,0,1,0,64
2024-06-05,2024-06-11,usa,how to get dental records transferred,0,1,0,73
2024-06-05,2024-06-11,usa,how to transfer dental records,0,34,0,92.70588235294117
2024-06-05,2024-06-11,usa,sharing dental records between providers,0,6,0,66.83333333333333
2024-06-05,2024-06-11,usa,switching dentists,0,6,0,44.5
2024-06-05,2024-06-11,usa,transfer dental records,0,6,0,89.33333333333333
2024-06-05,2024-06-11,usa,transferring dental records,0,1,0,82
2024-06-12,2024-06-18,usa,dentist tourism,0,1,0,102
2024-06-12,2024-06-18,usa,how to get dental records transferred,0,1,0,80
2024-06-12,2024-06-18,usa,sharing dental records between providers,0,6,0,55.5
2024-06-12,2024-06-18,usa,transfer dental records,0,5,0,91.4
2024-06-12,2024-06-18,usa,transferring dental records,0,1,0,91
2024-06-19,2024-06-25,usa,changing dentists,0,2,0,74.5
2024-06-19,2024-06-25,usa,how to get dental records transferred,0,3,0,83.66666666666667
2024-06-19,2024-06-25,usa,how to transfer dental records,0,1,0,95
2024-06-19,2024-06-25,usa,sharing dental records between providers,0,8,0,55.625
2024-06-19,2024-06-25,usa,transfer dental records,0,11,0,91.9090909090909
2024-06-19,2024-06-25,usa,transferring dental records,0,1,0,61
2024-06-19,2024-06-25,usa,what happens when you switch dentists,0,1,0,54
2024-06-26,2024-07-02,usa,changing dentists,0,2,0,83
2024-06-26,2024-07-02,usa,how to get dental records transferred,0,1,0,77
2024-06-26,2024-07-02,usa,sharing dental records between providers,0,5,0,62.8
2024-06-26,2024-07-02,usa,transfer dental records,0,13,0,94.61538461538461
2024-07-03,2024-07-09,usa,can dental records be transferred,0,2,0,83.5
2024-07-03,2024-07-09,usa,changing dentists,0,1,0,85
2024-07-03,2024-07-09,usa,how to get dental records transferred,0,4,0,83.75
2024-07-03,2024-07-09,usa,sharing dental records between providers,0,6,0,62
2024-07-03,2024-07-09,usa,transfer dental records,0,5,0,95.4
2024-07-03,2024-07-09,usa,transferring dental records,0,1,0,81
