start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,prevetted,0,1,0,62
2024-05-08,2024-05-14,usa,prevetted,0,1,0,82
2024-05-15,2024-05-21,usa,prevetted,0,1,0,80
2024-05-22,2024-05-28,usa,pre vetted,0,2,0,30
2024-05-22,2024-05-28,usa,pre-vetted,0,1,0,28
2024-05-29,2024-06-04,usa,pre-vetted,0,1,0,22
2024-06-05,2024-06-11,usa,prevetted,0,1,0,70
2024-06-12,2024-06-18,usa,puerto vallarta dental tourism,0,1,0,96
2024-06-19,2024-06-25,usa,pre vetted,0,1,0,28
2024-06-19,2024-06-25,usa,vetted local providers,0,1,0,90
2024-06-26,2024-07-02,usa,vetted local providers,0,3,0,91.66666666666667
2024-07-03,2024-07-09,usa,vetted local providers,0,4,0,90
