start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,best dental implants playa del carmen,0,3,0,54.666666666666664
2024-05-01,2024-05-07,usa,best dentist in playa del carmen,0,1,0,52
2024-05-01,2024-05-07,usa,dental clinics in playa del carmen,0,2,0,70
2024-05-01,2024-05-07,usa,dental implants in playa del carmen,0,1,0,64
2024-05-01,2024-05-07,usa,dentist playa del carmen,0,2,0,89.5
2024-05-01,2024-05-07,usa,playa del carmen dentist,0,2,0,94
2024-05-08,2024-05-14,usa,best dental implants playa del carmen,0,2,0,49.5
2024-05-08,2024-05-14,usa,bokanova playa del carmen,0,1,0,12
2024-05-08,2024-05-14,usa,del sur dental,0,1,0,72
2024-05-08,2024-05-14,usa,del sur dentistry,0,1,0,89
2024-05-08,2024-05-14,usa,dental clinics in playa del carmen,0,3,0,40
2024-05-08,2024-05-14,usa,dental implants in playa del carmen,0,3,0,61.666666666666664
2024-05-08,2024-05-14,usa,dental nova tijuana,0,1,0,41
2024-05-08,2024-05-14,usa,dental treatment in playa del carmen,0,2,0,53
2024-05-08,2024-05-14,usa,dentist playa del carmen,0,4,0,56.25
2024-05-08,2024-05-14,usa,dentists in playa del carmen,0,1,0,61
2024-05-08,2024-05-14,usa,playa del carmen dentist,0,3,0,54.333333333333336
2024-05-15,2024-05-21,usa,best dental implants playa del carmen,0,1,0,68
2024-05-15,2024-05-21,usa,boka lawsuit,0,1,0,7
2024-05-15,2024-05-21,usa,bokanova,0,1,0,43
2024-05-15,2024-05-21,usa,dental implants in playa del carmen,0,1,0,60
2024-05-15,2024-05-21,usa,dentist del sur,0,1,0,74
2024-05-15,2024-05-21,usa,dentist playa del carmen,0,1,0,57
2024-05-22,2024-05-28,usa,boka lawsuit,0,1,0,7
2024-05-22,2024-05-28,usa,bokanova playa del carmen,0,2,0,10
2024-05-22,2024-05-28,usa,bokanova riviera maya,0,1,0,74
2024-05-22,2024-05-28,usa,dentist del sur,0,2,0,75.5
2024-05-29,2024-06-04,usa,bokanova,0,1,0,11
2024-05-29,2024-06-04,usa,bokanova dental center,0,2,0,7
2024-05-29,2024-06-04,usa,del tech dental clinic,0,1,0,60
2024-05-29,2024-06-04,usa,dentist del sur,0,3,0,70.33333333333333
2024-06-05,2024-06-11,usa,all-inclusive dental implants mexico,0,1,0,68
2024-06-05,2024-06-11,usa,bokanova,0,2,0,13.5
2024-06-05,2024-06-11,usa,del sur dental,0,3,0,52
2024-06-05,2024-06-11,usa,dentist del sur,0,2,0,77
2024-06-05,2024-06-11,usa,playa del carmen dental,0,1,0,91
2024-06-05,2024-06-11,usa,playa del carmen dental implants,0,1,0,87
2024-06-12,2024-06-18,usa,best dental implants playa del carmen,0,1,0,46
2024-06-12,2024-06-18,usa,best dentist in playa del carmen,0,1,0,56
2024-06-12,2024-06-18,usa,boka lawsuit,0,1,0,7
2024-06-12,2024-06-18,usa,bokanova,0,2,0,9.5
2024-06-12,2024-06-18,usa,bokanova playa del carmen,0,1,0,5
2024-06-12,2024-06-18,usa,carmen dental clinic,0,1,0,13
2024-06-12,2024-06-18,usa,dental implants in playa del carmen,0,4,0,64
2024-06-12,2024-06-18,usa,dentist del sur,0,1,0,75
2024-06-12,2024-06-18,usa,dentist playa del carmen,0,1,0,68
2024-06-12,2024-06-18,usa,dentists in playa del carmen,0,2,0,75
2024-06-12,2024-06-18,usa,playa del carmen dental,0,2,0,78.5
2024-06-12,2024-06-18,usa,playa del carmen dental implants,0,1,0,79
