start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,best dental implants playa del carmen,0,1,0,67
2024-05-01,2024-05-07,usa,dental spa clinic,0,1,0,72
2024-05-01,2024-05-07,usa,dental spa mexico,0,1,0,11
2024-05-01,2024-05-07,usa,dental spa playa del carmen,0,4,0,7
2024-05-01,2024-05-07,usa,dental spa utah,0,1,0,86
2024-05-01,2024-05-07,usa,dentist in playa del carmen,0,3,0,61
2024-05-01,2024-05-07,usa,dentist playa del carmen,0,2,0,63
2024-05-01,2024-05-07,usa,playa del carmen dentist,0,1,0,81
2024-05-01,2024-05-07,usa,playa del carmen dentist prices,0,1,0,68
2024-05-01,2024-05-07,usa,playa del carmen dentists prices,0,2,0,50
2024-05-01,2024-05-07,usa,privilege dental spa,0,1,0,52
2024-05-08,2024-05-14,usa,best dental implants playa del carmen,0,5,0,66.4
2024-05-08,2024-05-14,usa,best dentist in playa del carmen,0,2,0,55.5
2024-05-08,2024-05-14,usa,dental implants in playa del carmen,0,2,0,77.5
2024-05-08,2024-05-14,usa,dental spa mexico,0,2,0,10.5
2024-05-08,2024-05-14,usa,dental spa playa del carmen,0,5,0,9.2
2024-05-08,2024-05-14,usa,dental treatment in playa del carmen,0,2,0,51.5
2024-05-08,2024-05-14,usa,"dentalspa, dentistas en playa del carmen",0,1,0,11
2024-05-08,2024-05-14,usa,dentist in playa del carmen,0,7,0,62.285714285714285
2024-05-08,2024-05-14,usa,dentist playa del carmen,0,4,0,71.5
2024-05-08,2024-05-14,usa,dentists in playa del carmen,0,2,0,61
2024-05-08,2024-05-14,usa,playa del carmen dental,0,1,0,80
2024-05-08,2024-05-14,usa,playa del carmen dentist,0,2,0,74
2024-05-15,2024-05-21,usa,best dental implants playa del carmen,0,2,0,73
2024-05-15,2024-05-21,usa,best dentist in playa del carmen,0,1,0,61
2024-05-15,2024-05-21,usa,dental implants in playa del carmen,0,1,0,86
2024-05-15,2024-05-21,usa,dental spa mexico,0,2,0,13
2024-05-15,2024-05-21,usa,dental spa playa del carmen,0,3,0,11
2024-05-15,2024-05-21,usa,dental spa utah,0,1,0,64
2024-05-15,2024-05-21,usa,"dentalspa, dentistas en playa del carmen",0,11,0,12.363636363636363
2024-05-15,2024-05-21,usa,dentist in playa del carmen,0,5,0,70
2024-05-15,2024-05-21,usa,dentist playa del carmen,0,5,0,77
2024-05-15,2024-05-21,usa,dentists in playa del carmen,0,2,0,76.5
2024-05-15,2024-05-21,usa,montana dental spa,0,1,0,37
2024-05-15,2024-05-21,usa,playa del carmen dental,0,1,0,83
2024-05-15,2024-05-21,usa,playa del carmen dentists prices,0,2,0,61.5
2024-05-22,2024-05-28,usa,best dental implants playa del carmen,0,2,0,64.5
2024-05-22,2024-05-28,usa,best dentist in playa del carmen,0,3,0,60.333333333333336
2024-05-22,2024-05-28,usa,dental clinics in playa del carmen,0,1,0,53
2024-05-22,2024-05-28,usa,dental implants in playa del carmen,0,3,0,84.66666666666667
2024-05-22,2024-05-28,usa,dental spa mexico,0,2,0,10.5
2024-05-22,2024-05-28,usa,dental spa playa del carmen,0,5,0,9.8
2024-05-22,2024-05-28,usa,dentist in playa del carmen,0,3,0,74
2024-05-22,2024-05-28,usa,dentist playa del carmen,0,3,0,79.66666666666667
2024-05-22,2024-05-28,usa,dentists in playa del carmen,0,2,0,76.5
2024-05-22,2024-05-28,usa,playa del carmen dental,0,1,0,60
2024-05-22,2024-05-28,usa,playa del carmen dentist,0,1,0,71
2024-05-22,2024-05-28,usa,playa del carmen dentist prices,0,1,0,56
2024-05-22,2024-05-28,usa,playa del carmen dentists prices,0,2,0,60
2024-05-22,2024-05-28,usa,sale dental spa,0,1,0,68
2024-05-29,2024-06-04,usa,best dental implants playa del carmen,0,1,0,51
2024-05-29,2024-06-04,usa,best dentist in playa del carmen,0,1,0,48
2024-05-29,2024-06-04,usa,dental clinics in playa del carmen,0,3,0,31.666666666666668
2024-05-29,2024-06-04,usa,dental implants in playa del carmen,0,4,0,72
2024-05-29,2024-06-04,usa,dental spa clinics,0,4,0,94.25
2024-05-29,2024-06-04,usa,dental spa mexico,0,2,0,8.5
2024-05-29,2024-06-04,usa,dental spa playa del carmen,0,4,0,7.75
2024-05-29,2024-06-04,usa,"dentalspa, dentistas en playa del carmen",0,1,0,13
2024-05-29,2024-06-04,usa,dentist in playa del carmen,0,5,0,59.2
2024-05-29,2024-06-04,usa,dentist playa del carmen,0,2,0,70
2024-05-29,2024-06-04,usa,dentists in playa del carmen,0,3,0,61
2024-05-29,2024-06-04,usa,playa del carmen dental,0,2,0,58
2024-05-29,2024-06-04,usa,playa del carmen dental implants,0,1,0,71
2024-05-29,2024-06-04,usa,playa del carmen dentist,0,6,0,67.83333333333333
2024-05-29,2024-06-04,usa,sale dental spa,0,1,0,60
2024-06-05,2024-06-11,usa,best dental implants playa del carmen,0,1,0,52
2024-06-05,2024-06-11,usa,best dentist in playa del carmen,0,1,0,50
2024-06-05,2024-06-11,usa,carmen dental clinic,0,2,0,11
2024-06-05,2024-06-11,usa,dental clinics in playa del carmen,0,2,0,42.5
2024-06-05,2024-06-11,usa,dental implants in playa del carmen,0,1,0,80
2024-06-05,2024-06-11,usa,dental spa mexico,0,4,0,9
2024-06-05,2024-06-11,usa,dental spa playa del carmen,0,3,0,9.666666666666666
2024-06-05,2024-06-11,usa,dental spa utah,0,1,0,78
2024-06-05,2024-06-11,usa,dentist in playa del carmen,0,6,0,64.5
2024-06-05,2024-06-11,usa,dentist playa del carmen,0,3,0,55
2024-06-05,2024-06-11,usa,dentists in playa del carmen,0,3,0,63.333333333333336
2024-06-05,2024-06-11,usa,playa del carmen dentist,0,4,0,75.75
2024-06-05,2024-06-11,usa,playa del carmen dentist prices,0,1,0,56
2024-06-12,2024-06-18,usa,best dental implants playa del carmen,0,2,0,57
2024-06-12,2024-06-18,usa,dental clinics in playa del carmen,0,2,0,34.5
2024-06-12,2024-06-18,usa,dental implants in playa del carmen,0,1,0,66
2024-06-12,2024-06-18,usa,dental spa clinics,0,2,0,74
2024-06-12,2024-06-18,usa,dental spa mexico,0,6,0,8.833333333333332
2024-06-12,2024-06-18,usa,dental spa playa del carmen,0,5,0,8.8
2024-06-12,2024-06-18,usa,dental spa utah,0,1,0,53
2024-06-12,2024-06-18,usa,dental treatment in playa del carmen,0,1,0,36
2024-06-12,2024-06-18,usa,"dentalspa, dentistas en playa del carmen",0,3,0,11.666666666666666
2024-06-12,2024-06-18,usa,dentist in playa del carmen,0,5,0,58.4
2024-06-12,2024-06-18,usa,dentist playa del carmen,0,1,0,56
2024-06-12,2024-06-18,usa,dentists in playa del carmen,0,1,0,59
2024-06-12,2024-06-18,usa,playa del carmen dental,0,1,0,59
2024-06-12,2024-06-18,usa,playa del carmen dentist,0,8,0,65.125
2024-06-12,2024-06-18,usa,playa del carmen dentists prices,0,1,0,40
2024-06-19,2024-06-25,usa,best dental implants playa del carmen,0,3,0,65.66666666666667
2024-06-19,2024-06-25,usa,best dentist in playa del carmen,0,2,0,48
