start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,marietta dental care tijuana,0,1,0,41
2024-05-08,2024-05-14,usa,best dentists in los algodones,0,1,0,29
2024-05-08,2024-05-14,usa,marietta dental care,0,4,0,14.75
2024-05-08,2024-05-14,usa,marietta dental care los algodones,0,7,0,15.285714285714286
2024-05-08,2024-05-14,usa,marietta dental care tijuana,0,5,0,35
2024-05-08,2024-05-14,usa,marietta dental care tijuana mx,0,1,0,44
2024-05-15,2024-05-21,usa,dental care los algodones,0,5,0,95.4
2024-05-15,2024-05-21,usa,dental implants los algodones,0,1,0,91
2024-05-15,2024-05-21,usa,marietta dental care,0,5,0,21
2024-05-15,2024-05-21,usa,marietta dental care los algodones,0,8,0,10.25
2024-05-15,2024-05-21,usa,marietta dental care reviews,0,1,0,35
2024-05-15,2024-05-21,usa,marietta dental care tijuana,0,7,0,34.42857142857143
2024-05-15,2024-05-21,usa,marietta dental clinic,0,1,0,37
2024-05-22,2024-05-28,usa,marietta dental care reviews,1,2,0.5,36
2024-05-22,2024-05-28,usa,dental care los algodones,0,11,0,93.45454545454545
2024-05-22,2024-05-28,usa,marietta dental care,0,9,0,7.888888888888889
2024-05-22,2024-05-28,usa,marietta dental care los algodones,0,11,0,9.363636363636363
2024-05-22,2024-05-28,usa,marietta dental care los algodones reviews,0,1,0,15
2024-05-22,2024-05-28,usa,marietta dental care tijuana,0,8,0,33.75
2024-05-22,2024-05-28,usa,marietta dental care tijuana reviews,0,1,0,24
2024-05-22,2024-05-28,usa,marietta dental los algodones,0,2,0,7.5
2024-05-22,2024-05-28,usa,top dental clinic in los algodones,0,1,0,92
2024-05-29,2024-06-04,usa,marietta dental care los algodones,1,18,0.05555555555555555,8.444444444444445
2024-05-29,2024-06-04,usa,dental care los algodones,0,5,0,90.6
2024-05-29,2024-06-04,usa,marietta dental care,0,14,0,9.857142857142858
2024-05-29,2024-06-04,usa,marietta dental care los algodones reviews,0,1,0,14
2024-05-29,2024-06-04,usa,marietta dental care reviews,0,1,0,14
2024-05-29,2024-06-04,usa,marietta dental care tijuana,0,4,0,29.75
2024-05-29,2024-06-04,usa,marietta dental care tijuana reviews,0,1,0,16
2024-05-29,2024-06-04,usa,marietta dental clinic,0,1,0,43
2024-05-29,2024-06-04,usa,marietta dental tijuana,0,1,0,26
2024-05-29,2024-06-04,usa,marietta dental works,0,2,0,99
2024-06-05,2024-06-11,usa,marietta dental,0,1,0,57
2024-06-05,2024-06-11,usa,marietta dental care,0,11,0,8.818181818181818
2024-06-05,2024-06-11,usa,marietta dental care los algodones,0,19,0,8.368421052631579
2024-06-05,2024-06-11,usa,marietta dental care tijuana,0,7,0,26
2024-06-05,2024-06-11,usa,marietta dental care tijuana mx,0,1,0,25
2024-06-05,2024-06-11,usa,marietta dental clinic,0,4,0,32.5
2024-06-05,2024-06-11,usa,marietta dental los algodones,0,6,0,7.166666666666667
2024-06-05,2024-06-11,usa,marietta dental professionals reviews,0,1,0,41
2024-06-05,2024-06-11,usa,marietta dental works,0,1,0,89
2024-06-12,2024-06-18,usa,marietta dental care los algodones reviews,1,4,0.25,10
2024-06-12,2024-06-18,usa,dental care los algodones,0,2,0,80.5
2024-06-12,2024-06-18,usa,marietta dental care,0,11,0,11.727272727272727
2024-06-12,2024-06-18,usa,marietta dental care los algodones,0,16,0,8.6875
2024-06-12,2024-06-18,usa,marietta dental care reviews,0,15,0,11.066666666666666
2024-06-12,2024-06-18,usa,marietta dental care tijuana,0,9,0,21.11111111111111
2024-06-12,2024-06-18,usa,marietta dental care tijuana mx,0,1,0,25
2024-06-12,2024-06-18,usa,marietta dental care tijuana reviews,0,2,0,8.5
2024-06-12,2024-06-18,usa,marietta dental clinic,0,1,0,25
2024-06-12,2024-06-18,usa,marietta dental los algodones,0,33,0,8.121212121212121
2024-06-12,2024-06-18,usa,marietta dental works,0,1,0,72
2024-06-19,2024-06-25,usa,marietta dental care los algodones reviews,1,7,0.14285714285714285,8.428571428571429
2024-06-19,2024-06-25,usa,18007787879,0,1,0,4
2024-06-19,2024-06-25,usa,marietta dental,0,1,0,57
2024-06-19,2024-06-25,usa,marietta dental care,0,35,0,9.057142857142857
2024-06-19,2024-06-25,usa,marietta dental care los algodones,0,11,0,10.090909090909092
2024-06-19,2024-06-25,usa,marietta dental care reviews,0,31,0,10.709677419354838
2024-06-19,2024-06-25,usa,marietta dental care tijuana,0,5,0,22.2
2024-06-19,2024-06-25,usa,marietta dental care tijuana reviews,0,3,0,11.666666666666666
2024-06-19,2024-06-25,usa,marietta dental clinic,0,5,0,6
2024-06-19,2024-06-25,usa,marietta dental los algodones,0,30,0,7.6
2024-06-19,2024-06-25,usa,marietta dental professionals,0,2,0,73.5
2024-06-19,2024-06-25,usa,opiniones de marietta dental care,0,1,0,11
2024-06-19,2024-06-25,usa,porcelain veneers marietta ok,0,1,0,28
2024-06-19,2024-06-25,usa,top dental clinic in los algodones,0,1,0,99
2024-06-26,2024-07-02,usa,dental care los algodones,0,1,0,83
2024-06-26,2024-07-02,usa,marietta dental care,0,15,0,8.733333333333334
2024-06-26,2024-07-02,usa,marietta dental care los algodones,0,16,0,7.75
2024-06-26,2024-07-02,usa,marietta dental care los algodones reviews,0,5,0,11.2
2024-06-26,2024-07-02,usa,marietta dental care reviews,0,22,0,10.181818181818182
2024-06-26,2024-07-02,usa,marietta dental care tijuana,0,5,0,21.6
2024-06-26,2024-07-02,usa,marietta dental care tijuana reviews,0,6,0,12.333333333333334
2024-06-26,2024-07-02,usa,marietta dental clinic,0,9,0,12
2024-06-26,2024-07-02,usa,marietta dental los algodones,0,24,0,7.041666666666667
2024-06-26,2024-07-02,usa,marietta dental works,0,1,0,66
2024-06-26,2024-07-02,usa,porcelain veneers marietta ok,0,1,0,26
2024-07-03,2024-07-09,usa,18007787879,0,8,0,4.375
2024-07-03,2024-07-09,usa,best dentist in marietta,0,1,0,93
2024-07-03,2024-07-09,usa,marietta dental,0,3,0,40
2024-07-03,2024-07-09,usa,marietta dental care,0,38,0,8.394736842105264
2024-07-03,2024-07-09,usa,marietta dental care los algodones,0,21,0,7.857142857142857
2024-07-03,2024-07-09,usa,marietta dental care los algodones reviews,0,11,0,9.181818181818182
2024-07-03,2024-07-09,usa,marietta dental care photos,0,1,0,12
2024-07-03,2024-07-09,usa,marietta dental care reviews,0,18,0,12.11111111111111
2024-07-03,2024-07-09,usa,marietta dental care tijuana,0,8,0,20.625
2024-07-03,2024-07-09,usa,marietta dental care tijuana reviews,0,3,0,9.666666666666666
2024-07-03,2024-07-09,usa,marietta dental clinic,0,3,0,27.666666666666668
2024-07-03,2024-07-09,usa,marietta dental los algodones,0,19,0,7.421052631578948
2024-07-03,2024-07-09,usa,marietta dental mexico,0,6,0,9
2024-07-03,2024-07-09,usa,marietta dental professionals reviews,0,1,0,46
2024-07-03,2024-07-09,usa,marietta dental works,0,2,0,45
2024-07-03,2024-07-09,usa,services offered by marietta dental care,0,2,0,7
2024-07-10,2024-07-16,usa,dentistas en algodones mexico,1,1,1,7
2024-07-10,2024-07-16,usa,marietta dental los algodones,1,9,0.1111111111111111,6.666666666666667
2024-07-10,2024-07-16,usa,18007787879,0,1,0,5
2024-07-10,2024-07-16,usa,algodones dental care,0,11,0,70.72727272727273
2024-07-10,2024-07-16,usa,best dentist in los algodones,0,1,0,92
2024-07-10,2024-07-16,usa,dental care los algodones,0,7,0,59.57142857142857
2024-07-10,2024-07-16,usa,dental clinic in los algodones,0,3,0,93
2024-07-10,2024-07-16,usa,dental clinic marietta,0,1,0,87
2024-07-10,2024-07-16,usa,dental clinics in los algodones,0,1,0,80
2024-07-10,2024-07-16,usa,dental veneers los algodones,0,3,0,75
2024-07-10,2024-07-16,usa,dentures marietta ok,0,1,0,50
2024-07-10,2024-07-16,usa,los algodones dental care,0,2,0,97
2024-07-10,2024-07-16,usa,los algodones dental clinic,0,2,0,47
2024-07-10,2024-07-16,usa,los algodones dental clinics,0,9,0,90.77777777777777
2024-07-10,2024-07-16,usa,los algodones dentist review,0,1,0,71
2024-07-10,2024-07-16,usa,los algodones dentist reviews,0,2,0,59
2024-07-10,2024-07-16,usa,los algodones dentists reviews,0,5,0,74.4
2024-07-10,2024-07-16,usa,los algodones porcelain veneers,0,2,0,50.5
2024-07-10,2024-07-16,usa,marietta dental,0,1,0,15
2024-07-10,2024-07-16,usa,marietta dental care,0,51,0,9.470588235294118
2024-07-10,2024-07-16,usa,marietta dental care los algodones,0,22,0,8.09090909090909
2024-07-10,2024-07-16,usa,marietta dental care los algodones reviews,0,10,0,7.7
2024-07-10,2024-07-16,usa,marietta dental care reviews,0,24,0,9.916666666666666
2024-07-10,2024-07-16,usa,marietta dental care tijuana,0,7,0,19.285714285714285
2024-07-10,2024-07-16,usa,marietta dental care tijuana reviews,0,11,0,10.636363636363637
