start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,smile vallarta,0,1,0,35
2024-05-01,2024-05-07,usa,teeth whitening puerto vallarta,0,1,0,57
2024-05-01,2024-05-07,usa,veneers in puerto vallarta,0,1,0,40
2024-05-08,2024-05-14,usa,best dentist in puerto vallarta,0,1,0,59
2024-05-08,2024-05-14,usa,teeth whitening puerto vallarta,0,3,0,52.333333333333336
2024-05-15,2024-05-21,usa,dental clinic in puerto vallarta,0,1,0,67
2024-05-22,2024-05-28,usa,just smiles puerto vallarta,0,1,0,34
2024-05-22,2024-05-28,usa,teeth whitening puerto vallarta,0,2,0,52
2024-05-29,2024-06-04,usa,dental clinic in puerto vallarta,0,1,0,84
2024-05-29,2024-06-04,usa,teeth whitening puerto vallarta,0,1,0,58
2024-06-05,2024-06-11,usa,dental services in puerto vallarta,0,1,0,25
2024-06-05,2024-06-11,usa,teeth whitening puerto vallarta,0,2,0,52
2024-06-05,2024-06-11,usa,white smile clinic review,0,5,0,69
2024-06-12,2024-06-18,usa,dental clinic in puerto vallarta,0,1,0,31
2024-06-12,2024-06-18,usa,puerto vallarta dental clinic,0,1,0,20
2024-06-12,2024-06-18,usa,veneers in puerto vallarta,0,1,0,31
2024-06-12,2024-06-18,usa,white smile clinic review,0,6,0,61.833333333333336
2024-06-19,2024-06-25,usa,dental services in puerto vallarta,0,1,0,34
2024-06-19,2024-06-25,usa,just smiles puerto vallarta,0,1,0,63
2024-06-19,2024-06-25,usa,white smile clinic review,0,7,0,43.857142857142854
2024-06-26,2024-07-02,usa,english-speaking dentists in puerto vallarta,0,1,0,7
2024-06-26,2024-07-02,usa,teeth whitening puerto vallarta,0,1,0,4
2024-06-26,2024-07-02,usa,white smile clinic review,0,6,0,46.333333333333336
2024-07-03,2024-07-09,usa,dental services in puerto vallarta,0,2,0,31.5
2024-07-03,2024-07-09,usa,english-speaking dentists in puerto vallarta,0,1,0,12
2024-07-03,2024-07-09,usa,teeth whitening in puerto vallarta,0,2,0,39.5
2024-07-03,2024-07-09,usa,veneers puerto vallarta,0,1,0,36
2024-07-03,2024-07-09,usa,white smile clinic,0,1,0,19
2024-07-10,2024-07-16,usa,dental clinic in puerto vallarta,0,1,0,35
2024-07-10,2024-07-16,usa,dental services in puerto vallarta,0,2,0,18
2024-07-17,2024-07-23,usa,english-speaking dentists in puerto vallarta,0,1,0,11
2024-07-17,2024-07-23,usa,just smiles puerto vallarta,0,1,0,31
2024-07-17,2024-07-23,usa,teeth whitening puerto vallarta,0,2,0,55.5
2024-07-24,2024-07-30,usa,dental clinic in puerto vallarta,0,2,0,32.5
2024-07-24,2024-07-30,usa,dental services in puerto vallarta,0,2,0,33
2024-07-24,2024-07-30,usa,english-speaking dentists in puerto vallarta,0,1,0,12
2024-07-24,2024-07-30,usa,smile vallarta,0,2,0,29.5
2024-07-24,2024-07-30,usa,teeth whitening puerto vallarta,0,1,0,55
2024-07-24,2024-07-30,usa,white smile clinic review,0,1,0,32
2024-07-31,2024-08-06,usa,dental clinic in puerto vallarta,0,1,0,31
2024-07-31,2024-08-06,usa,english-speaking dentists in puerto vallarta,0,3,0,16.666666666666664
2024-07-31,2024-08-06,usa,puerto vallarta teeth whitening,0,2,0,46
2024-07-31,2024-08-06,usa,teeth whitening puerto vallarta,0,1,0,59
2024-07-31,2024-08-06,usa,vallarta dental clinic,0,1,0,43
2024-08-07,2024-08-13,usa,dental clinic in puerto vallarta,0,2,0,57
2024-08-07,2024-08-13,usa,puerto vallarta veneers,0,1,0,48
2024-08-14,2024-08-20,usa,dental clinic puerto vallarta,0,1,0,28
2024-08-14,2024-08-20,usa,dental services in puerto vallarta,0,2,0,31.5
2024-08-14,2024-08-20,usa,dental vacation puerto vallarta,0,1,0,68
2024-08-21,2024-08-27,usa,dental clinic in puerto vallarta,0,1,0,18
2024-08-21,2024-08-27,usa,english-speaking dentists in puerto vallarta,0,1,0,10
2024-08-21,2024-08-27,usa,teeth whitening puerto vallarta,0,1,0,41
2024-08-28,2024-09-03,usa,dental clinic in puerto vallarta,0,1,0,29
2024-08-28,2024-09-03,usa,dental implants in puerto vallarta,0,2,0,31
2024-08-28,2024-09-03,usa,english-speaking dentists in puerto vallarta,0,3,0,14
2024-08-28,2024-09-03,usa,esthetic dentistry puerto vallarta,0,1,0,54
