start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,globalcare.com,0,1,0,8
2024-05-08,2024-05-14,usa,globalcare,0,1,0,2
2024-05-15,2024-05-21,usa,globalcare,0,3,0,4
2024-05-22,2024-05-28,usa,affordable dental care mexico,0,1,0,3
2024-05-22,2024-05-28,usa,global care,0,2,0,11.5
2024-05-22,2024-05-28,usa,globalcare,0,3,0,2
2024-05-22,2024-05-28,usa,https //www.dentistalgodones.com/services/dental-crowns,0,1,0,72
2024-05-29,2024-06-04,usa,affordable dental care mexico,0,1,0,6
2024-05-29,2024-06-04,usa,global care,0,6,0,11
2024-06-05,2024-06-11,usa,global care,0,5,0,10
2024-06-05,2024-06-11,usa,globalcare,0,3,0,3.6666666666666665
2024-06-05,2024-06-11,usa,https //www.dentistalgodones.com/services/dental-crowns,0,1,0,92
2024-06-12,2024-06-18,usa,global care,0,11,0,9.909090909090908
2024-06-12,2024-06-18,usa,globalcare,0,3,0,4.333333333333334
2024-06-19,2024-06-25,usa,global care,0,5,0,8.2
2024-06-19,2024-06-25,usa,global dental tijuana,0,1,0,3
2024-06-19,2024-06-25,usa,globalcare,0,2,0,4
2024-06-19,2024-06-25,usa,washington dental clinic tijuana mexico,0,2,0,68.5
2024-06-26,2024-07-02,usa,18007787879,0,1,0,3
2024-06-26,2024-07-02,usa,global care,0,2,0,10
2024-06-26,2024-07-02,usa,globalcare,0,3,0,3.6666666666666665
2024-07-03,2024-07-09,usa,global care,0,5,0,10.8
2024-07-03,2024-07-09,usa,global dental,0,1,0,11
2024-07-03,2024-07-09,usa,global dental tijuana,0,2,0,11
2024-07-03,2024-07-09,usa,globalcare,0,1,0,2
2024-07-10,2024-07-16,usa,global care,0,1,0,4
2024-07-10,2024-07-16,usa,global dental baja,0,3,0,7
2024-07-10,2024-07-16,usa,globalcare,0,1,0,10
2024-07-17,2024-07-23,usa,global care,0,1,0,11
2024-07-17,2024-07-23,usa,globalcare,0,3,0,9.333333333333334
2024-07-24,2024-07-30,usa,global dental care,0,1,0,13
2024-07-24,2024-07-30,usa,globalcare,0,4,0,10
2024-07-31,2024-08-06,usa,globalcare,0,5,0,6
2024-08-07,2024-08-13,usa,global dental tijuana,0,1,0,11
2024-08-07,2024-08-13,usa,globalcare,0,4,0,9.25
2024-08-14,2024-08-20,usa,global care llc,0,1,0,11
2024-08-14,2024-08-20,usa,global dental tijuana,0,5,0,12.6
2024-08-14,2024-08-20,usa,globalcare,0,5,0,8
2024-08-21,2024-08-27,usa,12000 crowns to usd,0,1,0,81
2024-08-21,2024-08-27,usa,global dental tijuana,0,3,0,11
2024-08-21,2024-08-27,usa,globalcare,0,2,0,4
2024-08-28,2024-09-03,usa,english speaking dentist mexico city,0,1,0,12
2024-08-28,2024-09-03,usa,global care,0,2,0,10.5
2024-08-28,2024-09-03,usa,global dental care,0,1,0,1
2024-08-28,2024-09-03,usa,globalcare,0,1,0,10
2024-09-04,2024-09-10,usa,english speaking dentist mexico city,0,1,0,12
2024-09-04,2024-09-10,usa,global care,0,5,0,6.8
2024-09-04,2024-09-10,usa,global dental clinic,0,2,0,4
2024-09-04,2024-09-10,usa,global dental specialist clinic,0,1,0,8
2024-09-04,2024-09-10,usa,globalcare,0,1,0,1
2024-09-11,2024-09-17,usa,global care,0,3,0,11
2024-09-11,2024-09-17,usa,global dental clinic,0,1,0,10
2024-09-18,2024-09-24,usa,cancun crowns,0,2,0,100
2024-09-18,2024-09-24,usa,global care,0,6,0,11.5
2024-09-18,2024-09-24,usa,global dental baja,0,1,0,8
2024-09-18,2024-09-24,usa,globalcare,0,1,0,2
2024-09-18,2024-09-24,usa,globel care,0,1,0,12
2024-09-25,2024-10-01,usa,cancun crowns,0,2,0,97.5
2024-09-25,2024-10-01,usa,global care,0,9,0,10.88888888888889
2024-09-25,2024-10-01,usa,globalcare,0,1,0,2
2024-10-02,2024-10-08,usa,global care,0,2,0,11
2024-10-02,2024-10-08,usa,global dental tijuana,0,1,0,11
