start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,dentists cancun,0,10,0,99.3
2024-05-08,2024-05-14,usa,best dentists in cancun mexico,0,1,0,82
2024-05-15,2024-05-21,usa,dentists cancun,0,2,0,91.5
2024-05-22,2024-05-28,usa,best dentist in cancun,0,1,0,87
2024-05-22,2024-05-28,usa,best dentist in cancun mexico,0,1,0,90
2024-05-22,2024-05-28,usa,best dentists in cancun mexico,0,1,0,84
2024-05-22,2024-05-28,usa,dentists in cancun,0,1,0,92
2024-05-22,2024-05-28,usa,top dentists in mexico,0,2,0,97
2024-05-29,2024-06-04,usa,best dentists in mexico city,0,1,0,13
2024-05-29,2024-06-04,usa,dentists in cancun,0,1,0,96
2024-05-29,2024-06-04,usa,top dentists in mexico,0,2,0,98.5
2024-06-05,2024-06-11,usa,washington dental clinic tijuana,0,1,0,65
2024-06-12,2024-06-18,usa,washington dental tijuana mexico,0,2,0,79.5
2024-06-19,2024-06-25,usa,washington dental clinic tijuana,0,1,0,53
2024-06-26,2024-07-02,usa,washington dental clinic tijuana,0,1,0,54
2024-07-03,2024-07-09,usa,washington dental clinic tijuana,0,1,0,61
2024-07-10,2024-07-16,usa,global care,0,1,0,11
2024-07-17,2024-07-23,usa,global care,0,3,0,12
2024-07-17,2024-07-23,usa,globel care,0,1,0,11
2024-07-17,2024-07-23,usa,washington dental tijuana mexico,0,1,0,64
2024-07-24,2024-07-30,usa,global care,0,4,0,8.75
2024-07-24,2024-07-30,usa,global care network,0,1,0,8
2024-07-24,2024-07-30,usa,globalcare,0,3,0,5.666666666666667
2024-07-24,2024-07-30,usa,globalcare inc,0,1,0,8
2024-07-24,2024-07-30,usa,washington dental clinic tijuana,0,2,0,61.5
2024-07-24,2024-07-30,usa,washington dental clinic tijuana mexico,0,2,0,64
2024-07-31,2024-08-06,usa,global care,0,9,0,11.333333333333334
2024-07-31,2024-08-06,usa,global care clinic,0,1,0,5
2024-07-31,2024-08-06,usa,global care network,0,3,0,8
2024-07-31,2024-08-06,usa,globalcare,0,6,0,4.5
2024-08-07,2024-08-13,usa,care mex,0,1,0,11
2024-08-07,2024-08-13,usa,global care,0,1,0,12
2024-08-07,2024-08-13,usa,global care center,0,1,0,9
2024-08-07,2024-08-13,usa,global care cosmetics corporation,0,1,0,11
2024-08-07,2024-08-13,usa,global care inc,0,1,0,10
2024-08-07,2024-08-13,usa,global care network,0,1,0,9
2024-08-07,2024-08-13,usa,global care phone number,0,1,0,9
2024-08-07,2024-08-13,usa,globalcare,0,1,0,2
2024-08-07,2024-08-13,usa,washington dental tijuana mexico,0,1,0,58
2024-08-14,2024-08-20,usa,global care agency,0,2,0,9
2024-08-14,2024-08-20,usa,global care inc,0,1,0,10
2024-08-14,2024-08-20,usa,global care network,0,1,0,6
2024-08-14,2024-08-20,usa,global care number,0,1,0,11
2024-08-14,2024-08-20,usa,global dental care,0,1,0,7
2024-08-14,2024-08-20,usa,globalcare,0,4,0,2.75
2024-08-21,2024-08-27,usa,global care inc,0,1,0,10
2024-08-21,2024-08-27,usa,globalcare,0,6,0,5.666666666666667
2024-08-21,2024-08-27,usa,globalcare inc,0,2,0,10
2024-08-28,2024-09-03,usa,global care,0,1,0,12
2024-08-28,2024-09-03,usa,global care inc,0,1,0,10
2024-08-28,2024-09-03,usa,global care network,0,2,0,9.5
2024-08-28,2024-09-03,usa,globalcare,0,2,0,3
2024-08-28,2024-09-03,usa,washington dental tijuana mexico,0,1,0,70
2024-09-04,2024-09-10,usa,global care,0,3,0,10.666666666666666
2024-09-04,2024-09-10,usa,global care network,0,1,0,9
2024-09-04,2024-09-10,usa,global dental care,0,1,0,10
2024-09-04,2024-09-10,usa,globalcare,0,2,0,7.5
2024-09-04,2024-09-10,usa,globalcare inc,0,1,0,9
2024-09-11,2024-09-17,usa,global care inc,0,1,0,11
2024-09-11,2024-09-17,usa,global dental care,0,1,0,10
2024-09-11,2024-09-17,usa,globalcare,0,1,0,5
2024-09-11,2024-09-17,usa,globalcare inc,0,1,0,8
2024-09-11,2024-09-17,usa,washington dental tijuana mexico,0,1,0,67
2024-09-18,2024-09-24,usa,global care,0,6,0,10.166666666666666
2024-09-18,2024-09-24,usa,global care network,0,1,0,8
2024-09-25,2024-10-01,usa,global care,0,3,0,11
2024-09-25,2024-10-01,usa,washington dental tijuana mexico,0,1,0,79
2024-10-02,2024-10-08,usa,18007787879,0,1,0,4
2024-10-02,2024-10-08,usa,global care,0,4,0,10
2024-10-09,2024-10-15,usa,global care,0,5,0,10.6
2024-10-09,2024-10-15,usa,global care phone number,0,1,0,8
2024-10-09,2024-10-15,usa,globalcare,0,1,0,2
2024-10-09,2024-10-15,usa,washington dental clinic mexico,0,1,0,87
