start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,why cancun for a dental trip new york resident,0,2,0,15
2024-05-08,2024-05-14,usa,why cancun for a dental trip new york resident,0,1,0,11
2024-05-15,2024-05-21,usa,dental treatment in cancun,0,1,0,85
2024-05-22,2024-05-28,usa,dental treatment in cancun,0,1,0,83
2024-05-22,2024-05-28,usa,why cancun for a dental trip new york resident,0,1,0,13
2024-05-29,2024-06-04,usa,dry law cancun,0,2,0,10.5
2024-05-29,2024-06-04,usa,why cancun for a dental trip new york resident,0,1,0,9
2024-06-05,2024-06-11,usa,2500 veneers cancun,0,1,0,63
2024-06-05,2024-06-11,usa,why cancun for a dental trip new york resident,0,1,0,12
2024-06-12,2024-06-18,usa,why cancun for a dental trip new york resident,0,1,0,10
2024-06-19,2024-06-25,usa,why cancun for a dental trip new york resident,0,2,0,9
2024-06-26,2024-07-02,usa,why cancun for a dental trip new york resident,0,2,0,6.5
2024-07-03,2024-07-09,usa,2500 veneers cancun,0,1,0,58
2024-07-03,2024-07-09,usa,global care,0,1,0,11
2024-07-03,2024-07-09,usa,why cancun for a dental trip new york resident,0,1,0,7
2024-07-10,2024-07-16,usa,full mouth rehabilitation in cancun mexico,0,1,0,98
2024-07-10,2024-07-16,usa,global care,0,1,0,13
2024-07-10,2024-07-16,usa,why cancun for a dental trip new york resident,0,1,0,8
2024-07-17,2024-07-23,usa,english speaking doctor in cancun,0,1,0,54
2024-07-17,2024-07-23,usa,why cancun for a dental trip new york resident,0,3,0,7.666666666666667
2024-07-24,2024-07-30,usa,2500 veneers cancun,0,1,0,44
2024-07-24,2024-07-30,usa,english speaking doctor in cancun,0,2,0,50
2024-07-24,2024-07-30,usa,why cancun for a dental trip new york resident,0,2,0,6.5
2024-07-31,2024-08-06,usa,cancun care,0,1,0,49
2024-07-31,2024-08-06,usa,cancun cares,0,2,0,79
2024-07-31,2024-08-06,usa,english speaking doctor in cancun,0,2,0,54
2024-07-31,2024-08-06,usa,why cancun for a dental trip new york resident,0,3,0,12.333333333333334
2024-08-07,2024-08-13,usa,cancun cares,0,1,0,66
2024-08-07,2024-08-13,usa,english speaking doctor in cancun,0,4,0,52.75
2024-08-07,2024-08-13,usa,why cancun for a dental trip new york resident,0,3,0,14.333333333333334
2024-08-14,2024-08-20,usa,english speaking doctor in cancun,0,1,0,50
2024-08-14,2024-08-20,usa,why cancun for a dental trip new york resident,0,2,0,13.5
2024-08-21,2024-08-27,usa,why cancun for a dental trip new york resident,0,3,0,14.666666666666666
2024-08-28,2024-09-03,usa,cancun cares,0,6,0,12
2024-08-28,2024-09-03,usa,dental treatment in cancun,0,2,0,92
2024-08-28,2024-09-03,usa,full mouth rehabilitation in cancun mexico,0,1,0,91
2024-08-28,2024-09-03,usa,why cancun for a dental trip new york resident,0,1,0,13
2024-09-04,2024-09-10,usa,cancun cares,0,13,0,10.153846153846153
2024-09-04,2024-09-10,usa,cancuncares,0,2,0,7.5
2024-09-04,2024-09-10,usa,dental care in cancun,0,5,0,80.6
2024-09-04,2024-09-10,usa,dental treatment in cancun,0,3,0,73.66666666666667
2024-09-04,2024-09-10,usa,dental work in cancún,0,1,0,70
2024-09-04,2024-09-10,usa,why cancun for a dental trip new york resident,0,2,0,13
2024-09-11,2024-09-17,usa,cancun cares,0,9,0,18.666666666666668
2024-09-11,2024-09-17,usa,dental care in cancun,0,6,0,78.83333333333333
2024-09-11,2024-09-17,usa,dental treatment in cancun,0,1,0,77
2024-09-11,2024-09-17,usa,one destination clinic cancun mx,0,1,0,95
2024-09-11,2024-09-17,usa,why cancun for a dental trip new york resident,0,3,0,9.333333333333334
2024-09-18,2024-09-24,usa,cancun cares,0,4,0,23.25
2024-09-18,2024-09-24,usa,why cancun for a dental trip new york resident,0,5,0,8.2
2024-09-25,2024-10-01,usa,cancun cares,0,21,0,8.142857142857142
2024-09-25,2024-10-01,usa,cancuncares,0,3,0,5.333333333333333
2024-09-25,2024-10-01,usa,dental care cancun mexico,0,2,0,75.5
2024-09-25,2024-10-01,usa,dental care in cancun,0,14,0,70.07142857142857
2024-09-25,2024-10-01,usa,dental treatment in cancun,0,3,0,78.33333333333333
2024-09-25,2024-10-01,usa,dental work in cancún,0,1,0,68
2024-09-25,2024-10-01,usa,full mouth rehabilitation in cancun mexico,0,1,0,92
2024-09-25,2024-10-01,usa,scenic city orthodontics market street,0,2,0,58
2024-09-25,2024-10-01,usa,why cancun for a dental trip new york resident,0,2,0,11.5
2024-10-02,2024-10-08,usa,cancun cares,0,21,0,6.857142857142857
2024-10-02,2024-10-08,usa,cancun dental care view,0,1,0,55
