start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,cabo san lucas dental,0,1,0,76
2024-05-01,2024-05-07,usa,cabo san lucas dental clinic,0,1,0,63
2024-05-01,2024-05-07,usa,cabo san lucas dental implants,0,1,0,72
2024-05-01,2024-05-07,usa,dentist in los cabos,0,1,0,72
2024-05-01,2024-05-07,usa,dentists in cabo san lucas,0,1,0,67
2024-05-01,2024-05-07,usa,los cabos dentist prices,0,1,0,30
2024-05-08,2024-05-14,usa,dental implants cabo san lucas,0,1,0,74
2024-05-08,2024-05-14,usa,dental implants in cabo san lucas,0,1,0,68
2024-05-08,2024-05-14,usa,los cabos dentist,0,2,0,37
2024-05-08,2024-05-14,usa,los cabos dentist prices,0,6,0,31.5
2024-05-15,2024-05-21,usa,dentist cabo san lucas,0,1,0,77
2024-05-15,2024-05-21,usa,los cabos dentist,0,3,0,39.666666666666664
2024-05-15,2024-05-21,usa,los cabos dentist prices,0,5,0,32.8
2024-05-22,2024-05-28,usa,dental work in cabo,0,1,0,41
2024-05-22,2024-05-28,usa,dentist in los cabos,0,1,0,80
2024-05-22,2024-05-28,usa,los cabos dentist,0,5,0,37.8
2024-05-22,2024-05-28,usa,los cabos dentist prices,0,7,0,34.714285714285715
2024-05-29,2024-06-04,usa,cabo san lucas dental,0,1,0,76
2024-05-29,2024-06-04,usa,dental implants cabo san lucas,0,1,0,76
2024-05-29,2024-06-04,usa,dental work in cabo,0,1,0,54
2024-05-29,2024-06-04,usa,dentist in los cabos,0,1,0,70
2024-05-29,2024-06-04,usa,los cabos dentist,0,4,0,39.5
2024-05-29,2024-06-04,usa,los cabos dentist prices,0,6,0,36.5
2024-06-05,2024-06-11,usa,cabo san lucas dental,0,1,0,70
2024-06-05,2024-06-11,usa,dentist in los cabos,0,1,0,72
2024-06-05,2024-06-11,usa,los cabos dentist,0,10,0,39.9
2024-06-05,2024-06-11,usa,los cabos dentist prices,0,1,0,40
2024-06-12,2024-06-18,usa,los cabos dentist,0,3,0,42.333333333333336
2024-06-19,2024-06-25,usa,los cabos dentist,0,4,0,37
2024-06-19,2024-06-25,usa,los cabos dentist prices,0,7,0,36.142857142857146
2024-06-26,2024-07-02,usa,los cabos dentist prices,0,2,0,32.5
2024-07-03,2024-07-09,usa,dentist in los cabos,0,2,0,56
2024-07-03,2024-07-09,usa,https //www.dentistalgodones.com/services/dental-crowns,0,1,0,88
2024-07-03,2024-07-09,usa,los cabos dentist prices,0,3,0,33
2024-07-10,2024-07-16,usa,dental work in cabo,0,1,0,41
2024-07-10,2024-07-16,usa,dentist in los cabos,0,1,0,57
2024-07-10,2024-07-16,usa,https //www.dentistalgodones.com/services/dental-crowns,0,1,0,92
2024-07-17,2024-07-23,usa,los cabos dentist,0,2,0,47.5
2024-07-17,2024-07-23,usa,los cabos dentist prices,0,1,0,34
2024-07-24,2024-07-30,usa,los cabos dentist,0,4,0,41.25
