start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,dental work in merida,0,4,0,31.25
2024-05-08,2024-05-14,usa,dental work in merida,0,9,0,33.77777777777778
2024-05-08,2024-05-14,usa,dentist in merida mexico,0,1,0,44
2024-05-15,2024-05-21,usa,dental work in merida,0,7,0,31.142857142857142
2024-05-15,2024-05-21,usa,dentist in merida mexico,0,1,0,48
2024-05-22,2024-05-28,usa,dental work in merida,0,4,0,26.25
2024-05-29,2024-06-04,usa,dental work in merida,0,6,0,31.333333333333332
2024-06-05,2024-06-11,usa,merida dental,0,1,0,16
2024-06-12,2024-06-18,usa,dentist in merida mexico,0,3,0,38
2024-06-12,2024-06-18,usa,merida dental,0,1,0,23
2024-06-19,2024-06-25,usa,dentist in merida mexico,0,1,0,44
2024-06-19,2024-06-25,usa,merida dentist,0,1,0,57
2024-06-26,2024-07-02,usa,dentist in merida mexico,0,2,0,46.5
2024-07-03,2024-07-09,usa,dentist in merida mexico,0,2,0,44
2024-07-10,2024-07-16,usa,dentist in merida mexico,0,3,0,52.666666666666664
2024-07-10,2024-07-16,usa,merida dental,0,1,0,44
2024-07-17,2024-07-23,usa,dentist in merida mexico,0,3,0,46
2024-07-17,2024-07-23,usa,is merida safe,0,1,0,1
2024-07-24,2024-07-30,usa,is merida mexico safe for tourists,0,2,0,1
2024-07-31,2024-08-06,usa,dentist in merida mexico,0,1,0,47
2024-08-07,2024-08-13,usa,dentist in merida mexico,0,1,0,79
2024-08-14,2024-08-20,usa,merida dental,0,3,0,27.666666666666668
2024-08-21,2024-08-27,usa,dentist in merida mexico,0,1,0,50
2024-08-21,2024-08-27,usa,merida dentist,0,1,0,62
