start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,global care clinic,0,1,0,10
2024-05-01,2024-05-07,usa,global care network,0,1,0,10
2024-05-01,2024-05-07,usa,globalcare,0,2,0,7
2024-05-08,2024-05-14,usa,global care network,0,1,0,11
2024-05-08,2024-05-14,usa,globalcare,0,1,0,3
2024-05-15,2024-05-21,usa,ontime el berron,0,1,0,35
2024-05-22,2024-05-28,usa,globalcare,0,1,0,89
2024-05-29,2024-06-04,usa,global care hospital doctors,0,1,0,94
2024-06-05,2024-06-11,usa,globalcare,0,1,0,61
2024-06-12,2024-06-18,usa,dr berron,0,2,0,5
2024-06-19,2024-06-25,usa,globalcare,0,1,0,81
2024-06-26,2024-07-02,usa,2500 veneers cancun,0,1,0,65
2024-06-26,2024-07-02,usa,globalcare,0,1,0,84
2024-07-03,2024-07-09,usa,2500 veneers cancun,0,1,0,64
2024-07-03,2024-07-09,usa,global care hospital doctors,0,1,0,89
2024-07-03,2024-07-09,usa,globalcare,0,1,0,82
2024-07-10,2024-07-16,usa,dr guadalajara in tijuana mexico,0,1,0,87
2024-07-10,2024-07-16,usa,global care,0,1,0,11
2024-07-10,2024-07-16,usa,global care network,0,1,0,11
2024-07-10,2024-07-16,usa,globalcare,0,1,0,96
2024-07-17,2024-07-23,usa,global care,0,3,0,12
2024-07-17,2024-07-23,usa,global dental care,0,1,0,9
2024-07-17,2024-07-23,usa,globalcare,0,2,0,69.5
2024-07-17,2024-07-23,usa,globalcare inc,0,1,0,10
2024-07-24,2024-07-30,usa,"cancun veneers $2,500",0,2,0,60.5
2024-07-24,2024-07-30,usa,global care hospital doctors,0,1,0,34
2024-07-24,2024-07-30,usa,globalcare,0,1,0,77
2024-07-31,2024-08-06,usa,global care,0,12,0,10.5
2024-07-31,2024-08-06,usa,global care clinic,0,1,0,5
2024-07-31,2024-08-06,usa,global care network,0,2,0,8
2024-07-31,2024-08-06,usa,globalcare,0,1,0,88
2024-08-07,2024-08-13,usa,18007787879,0,1,0,4
2024-08-07,2024-08-13,usa,care mex,0,1,0,11
2024-08-07,2024-08-13,usa,global care,0,11,0,10.090909090909092
2024-08-07,2024-08-13,usa,global care cosmetics corporation,0,2,0,11
2024-08-07,2024-08-13,usa,global care phone number,0,1,0,9
2024-08-07,2024-08-13,usa,globalcare,0,2,0,68
2024-08-14,2024-08-20,usa,care mex,0,1,0,10
2024-08-14,2024-08-20,usa,clinica dental miami world care,0,1,0,9
2024-08-14,2024-08-20,usa,global care,0,8,0,9.625
2024-08-14,2024-08-20,usa,global care network,0,1,0,6
2024-08-14,2024-08-20,usa,global care number,0,1,0,11
2024-08-14,2024-08-20,usa,global dental care,0,1,0,7
2024-08-21,2024-08-27,usa,global care,0,2,0,10.5
2024-08-21,2024-08-27,usa,globalcare,0,5,0,66.6
2024-08-28,2024-09-03,usa,18007787879,0,1,0,4
2024-08-28,2024-09-03,usa,global care,0,8,0,10.375
2024-08-28,2024-09-03,usa,global care medical group doctors,0,1,0,32
2024-08-28,2024-09-03,usa,globalcare,0,1,0,89
2024-09-04,2024-09-10,usa,global care,0,8,0,10.375
2024-09-04,2024-09-10,usa,global care hospital doctors,0,1,0,38
2024-09-04,2024-09-10,usa,globalcare,0,3,0,33.333333333333336
2024-09-11,2024-09-17,usa,global care,0,8,0,10.25
2024-09-11,2024-09-17,usa,global dental care,0,1,0,10
2024-09-11,2024-09-17,usa,globalcare,0,1,0,5
2024-09-18,2024-09-24,usa,global care,0,15,0,10.4
2024-09-18,2024-09-24,usa,global care hospital doctors,0,1,0,21
2024-09-18,2024-09-24,usa,global care network,0,4,0,11.5
2024-09-18,2024-09-24,usa,globalcare,0,1,0,6
