start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,alfonso rodriguez,0,1,0,1
2024-05-01,2024-05-07,usa,dr alfonso rodriguez,0,3,0,10.666666666666666
2024-05-08,2024-05-14,usa,dr alfonso rodriguez,0,1,0,5
2024-05-08,2024-05-14,usa,dr carmen alfonso,0,1,0,35
2024-05-15,2024-05-21,usa,alfonso dental office,0,1,0,101
2024-05-15,2024-05-21,usa,alfonso rodriguez,0,2,0,4
2024-05-15,2024-05-21,usa,alfonso rodríguez,0,1,0,1
2024-05-15,2024-05-21,usa,dr alfonso dentist,0,1,0,46
2024-05-22,2024-05-28,usa,alfonso dental,0,1,0,85
2024-05-22,2024-05-28,usa,alfonso rodriguez,0,1,0,4
2024-05-22,2024-05-28,usa,dr alfonso rodriguez,0,1,0,12
2024-05-29,2024-06-04,usa,dr alfonso dentist,0,1,0,81
2024-05-29,2024-06-04,usa,dr alfonso rodriguez,0,2,0,8.5
2024-06-05,2024-06-11,usa,dr alfonso dentist,0,1,0,30
2024-06-05,2024-06-11,usa,dr alfonso rodriguez,0,1,0,11
2024-06-05,2024-06-11,usa,expression engine playa,0,1,0,74
2024-06-05,2024-06-11,usa,playa del carmen dental,0,1,0,90
2024-06-05,2024-06-11,usa,playa del carmen dentist,0,1,0,78
2024-06-12,2024-06-18,usa,alfonso dental office,0,2,0,92
2024-06-12,2024-06-18,usa,alfonso rodriguez,0,1,0,1
2024-06-12,2024-06-18,usa,alfonzo rodriguez,0,1,0,4
2024-06-12,2024-06-18,usa,dr alfonso dentist,0,1,0,34
2024-06-12,2024-06-18,usa,playa del carmen dental,0,1,0,88
2024-06-19,2024-06-25,usa,12500 merit dr dallas tx 75251,0,3,0,79.66666666666667
2024-06-19,2024-06-25,usa,alfonso dental office,0,2,0,92
2024-06-19,2024-06-25,usa,alfonso rodríguez,0,1,0,1
2024-06-19,2024-06-25,usa,dr alfonso dentist,0,1,0,9
2024-06-19,2024-06-25,usa,dr alfonso rodriguez,0,2,0,6.5
2024-06-19,2024-06-25,usa,expression engine playa,0,1,0,80
2024-06-26,2024-07-02,usa,doctor alfonso rodriguez,0,1,0,5
2024-06-26,2024-07-02,usa,dr alfonso dentist,0,2,0,12.5
2024-06-26,2024-07-02,usa,playa del carmen dentist,0,1,0,81
2024-07-03,2024-07-09,usa,alfonso rodríguez,0,1,0,1
2024-07-10,2024-07-16,usa,alfonso dental,0,1,0,101
2024-07-10,2024-07-16,usa,alfonso rodri guez de,0,1,0,5
2024-07-10,2024-07-16,usa,dr alfonso dentist,0,1,0,86
