start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,dr barragan,0,2,0,58
2024-05-08,2024-05-14,usa,dr barragan,0,1,0,67
2024-05-15,2024-05-21,usa,doctor barragan,0,1,0,77
2024-05-15,2024-05-21,usa,dr barragan,0,2,0,61
2024-05-22,2024-05-28,usa,barragan dentist,0,2,0,17.5
2024-05-22,2024-05-28,usa,dr barragan,0,1,0,48
2024-05-22,2024-05-28,usa,dr barragan dentist,0,1,0,12
2024-05-29,2024-06-04,usa,doctor barragan,0,1,0,50
2024-05-29,2024-06-04,usa,dr barragan,0,1,0,14
2024-05-29,2024-06-04,usa,dr barragan dentist,0,1,0,12
2024-06-05,2024-06-11,usa,dr barragan,0,2,0,72
2024-06-05,2024-06-11,usa,esteban barragan,0,2,0,19
2024-06-12,2024-06-18,usa,esteban barragan,0,3,0,1
2024-06-19,2024-06-25,usa,doctor barragan,0,1,0,40
2024-06-19,2024-06-25,usa,dr barragan,0,2,0,54
2024-06-19,2024-06-25,usa,dr barragan dentist,0,1,0,10
2024-06-19,2024-06-25,usa,esteban barragan,0,1,0,7
2024-06-26,2024-07-02,usa,barragan last name origin,0,1,0,1
2024-06-26,2024-07-02,usa,doctor barragan,0,1,0,59
2024-06-26,2024-07-02,usa,dr barragan dentist,0,1,0,31
2024-06-26,2024-07-02,usa,esteban barragan,0,3,0,1
2024-07-03,2024-07-09,usa,dr barragan,0,2,0,75
2024-07-03,2024-07-09,usa,esteban barragan,0,3,0,3.6666666666666665
2024-07-10,2024-07-16,usa,dr barragan,0,2,0,64.5
2024-07-10,2024-07-16,usa,dr barragan dentist,0,1,0,8
2024-07-10,2024-07-16,usa,esteban barragan,0,1,0,1
2024-07-17,2024-07-23,usa,doctor barragan,0,1,0,88
2024-07-17,2024-07-23,usa,dr barragan,0,1,0,98
2024-07-17,2024-07-23,usa,dr barragan dentist,0,1,0,11
2024-07-17,2024-07-23,usa,esteban barragan,0,1,0,7
2024-07-24,2024-07-30,usa,dentist in playa del carmen,0,1,0,100
2024-07-24,2024-07-30,usa,doctor barragan,0,2,0,52.5
2024-07-24,2024-07-30,usa,dr barragan,0,2,0,64
2024-07-24,2024-07-30,usa,dr barragan dentist,0,1,0,12
2024-07-24,2024-07-30,usa,dr. barragan,0,1,0,90
2024-07-24,2024-07-30,usa,esteban barragan,0,5,0,3.2
2024-07-31,2024-08-06,usa,dr barragan,0,2,0,91.5
2024-07-31,2024-08-06,usa,esteban barragan,0,5,0,1.6
2024-07-31,2024-08-06,usa,oral surgery star idaho,0,1,0,58
2024-08-07,2024-08-13,usa,dental treatment in playa del carmen,0,1,0,92
2024-08-07,2024-08-13,usa,dentist in playa del carmen,0,2,0,92
2024-08-07,2024-08-13,usa,dr barragan,0,1,0,94
2024-08-07,2024-08-13,usa,esteban barragan,0,6,0,5.333333333333333
2024-08-14,2024-08-20,usa,best dental implants playa del carmen,0,3,0,54
2024-08-14,2024-08-20,usa,best dentist in playa del carmen,0,1,0,64
2024-08-14,2024-08-20,usa,dental implants in playa del carmen,0,1,0,53
2024-08-14,2024-08-20,usa,dental treatment in playa del carmen,0,1,0,65
2024-08-14,2024-08-20,usa,dentist in playa del carmen,0,1,0,47
2024-08-14,2024-08-20,usa,dentist playa del carmen,0,2,0,73
2024-08-14,2024-08-20,usa,dentists in playa del carmen,0,1,0,56
2024-08-14,2024-08-20,usa,esteban barragan,0,2,0,1
2024-08-21,2024-08-27,usa,barragan dentist,0,1,0,17
2024-08-21,2024-08-27,usa,best dental implants playa del carmen,0,1,0,52
