start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,dr jose luis morales,0,2,0,6
2024-05-01,2024-05-07,usa,dr luis morales,0,12,0,53.333333333333336
2024-05-08,2024-05-14,usa,dr luis morales,0,9,0,38.44444444444444
2024-05-08,2024-05-14,usa,jose luis morales,0,1,0,58
2024-05-08,2024-05-14,usa,luis morales iii,0,1,0,3
2024-05-15,2024-05-21,usa,dr luis morales,0,14,0,40.785714285714285
2024-05-22,2024-05-28,usa,dr jose morales,0,1,0,74
2024-05-22,2024-05-28,usa,dr luis morales,0,12,0,43.583333333333336
2024-05-22,2024-05-28,usa,dr morales dentist,0,2,0,96
2024-05-22,2024-05-28,usa,dr morales oral surgeon,0,2,0,10
2024-05-29,2024-06-04,usa,dr luis morales,0,15,0,40.46666666666667
2024-05-29,2024-06-04,usa,josé luis morales,0,1,0,1
2024-05-29,2024-06-04,usa,luis morales iii,0,1,0,3
2024-06-05,2024-06-11,usa,dr luis morales,0,11,0,43.45454545454545
2024-06-12,2024-06-18,usa,dr jose stable,0,1,0,12
2024-06-12,2024-06-18,usa,dr luis morales,0,14,0,42.357142857142854
2024-06-12,2024-06-18,usa,dr morales oral surgeon,0,1,0,9
2024-06-12,2024-06-18,usa,josé luis doctor morales,0,1,0,9
2024-06-12,2024-06-18,usa,one destination clinic cancun,0,1,0,58
2024-06-19,2024-06-25,usa,dr jose luis morales,0,1,0,2
2024-06-19,2024-06-25,usa,dr luis morales,0,11,0,43.18181818181818
2024-06-19,2024-06-25,usa,dr morales oral surgeon,0,3,0,18
2024-06-26,2024-07-02,usa,dr luis morales,0,6,0,41.166666666666664
2024-06-26,2024-07-02,usa,luis antonio morales iii,0,1,0,3
2024-07-03,2024-07-09,usa,doctor luis morales,0,1,0,30
2024-07-03,2024-07-09,usa,dr luis morales,0,5,0,32.6
2024-07-03,2024-07-09,usa,dr morales oral surgeon,0,1,0,10
2024-07-03,2024-07-09,usa,jose luis morales,0,2,0,79
2024-07-10,2024-07-16,usa,dr luis morales,0,3,0,38
2024-07-10,2024-07-16,usa,dr morales oral surgeon,0,4,0,10.75
2024-07-17,2024-07-23,usa,dr luis morales,0,2,0,29.5
2024-07-17,2024-07-23,usa,michelle pimer email,0,1,0,31
2024-07-24,2024-07-30,usa,dr luis morales,0,5,0,35.6
2024-07-24,2024-07-30,usa,dr morales mexico,0,1,0,54
2024-07-24,2024-07-30,usa,jose luis morales,0,1,0,39
2024-07-24,2024-07-30,usa,jose luis morales delaware,0,2,0,28.5
2024-07-24,2024-07-30,usa,josé luis morales,0,1,0,1
2024-07-24,2024-07-30,usa,michelle pimer email,0,1,0,28
2024-07-31,2024-08-06,usa,18007787879,0,1,0,6
2024-07-31,2024-08-06,usa,dr luis morales,0,3,0,30.666666666666668
2024-07-31,2024-08-06,usa,dr morales oral surgeon,0,3,0,11
2024-07-31,2024-08-06,usa,jose luis morales,0,3,0,34.333333333333336
2024-07-31,2024-08-06,usa,jose luis morales delaware,0,5,0,11
2024-07-31,2024-08-06,usa,josé luis morales,0,1,0,1
2024-08-07,2024-08-13,usa,dr jose morales,0,1,0,62
2024-08-07,2024-08-13,usa,dr luis morales,0,3,0,32.33333333333333
2024-08-07,2024-08-13,usa,jose luis morales,0,1,0,24
2024-08-07,2024-08-13,usa,jose luis morales delaware,0,41,0,7.219512195121951
2024-08-07,2024-08-13,usa,josé luis morales,0,1,0,87
2024-08-07,2024-08-13,usa,michelle pimer email,0,3,0,19.666666666666668
2024-08-14,2024-08-20,usa,18007787879,0,1,0,6
2024-08-14,2024-08-20,usa,dr cancun,0,1,0,71
2024-08-14,2024-08-20,usa,dr luis morales,0,4,0,25.75
2024-08-14,2024-08-20,usa,dr morales oral surgeon,0,1,0,11
2024-08-14,2024-08-20,usa,jose luis morales,0,1,0,50
2024-08-14,2024-08-20,usa,jose luis morales delaware,0,4,0,8.75
2024-08-14,2024-08-20,usa,michelle pimer email,0,6,0,21.833333333333332
