start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,guadalajara dental care,0,1,0,59
2024-05-08,2024-05-14,usa,dr esponda,0,1,0,11
2024-05-08,2024-05-14,usa,victor esponda,0,1,0,2
2024-05-15,2024-05-21,usa,esponda,0,1,0,75
2024-05-15,2024-05-21,usa,victor esponda,0,1,0,3
2024-05-15,2024-05-21,usa,victor prosthodontics,0,1,0,38
2024-05-22,2024-05-28,usa,esponda,0,2,0,59.5
2024-05-22,2024-05-28,usa,guadalajara dental,0,1,0,70
2024-05-22,2024-05-28,usa,guadalajara dentist,0,1,0,44
2024-05-22,2024-05-28,usa,guadalajara victor id,0,1,0,22
2024-05-29,2024-06-04,usa,dental implants guadalajara mexico,0,1,0,69
2024-05-29,2024-06-04,usa,dr esponda,0,2,0,5
2024-05-29,2024-06-04,usa,esponda,0,2,0,59.5
2024-05-29,2024-06-04,usa,guadalajara dental implants,0,1,0,66
2024-05-29,2024-06-04,usa,veneers guadalajara,0,1,0,55
2024-05-29,2024-06-04,usa,victor dental clinic,0,1,0,92
2024-06-05,2024-06-11,usa,dental implants guadalajara mexico,0,1,0,73
2024-06-05,2024-06-11,usa,dentist in guadalajara mexico,0,1,0,54
2024-06-05,2024-06-11,usa,esponda,0,1,0,49
2024-06-05,2024-06-11,usa,guadalajara dental implants,0,1,0,51
2024-06-05,2024-06-11,usa,guadalajara victor,0,1,0,24
2024-06-05,2024-06-11,usa,victor prosthodontics,0,1,0,12
2024-06-12,2024-06-18,usa,dental implants guadalajara mexico,0,1,0,69
2024-06-12,2024-06-18,usa,dental implants in guadalajara mexico,0,1,0,73
2024-06-12,2024-06-18,usa,dentist in guadalajara,0,1,0,41
2024-06-12,2024-06-18,usa,dentist in guadalajara mexico,0,2,0,38.5
2024-06-12,2024-06-18,usa,esponda,0,3,0,52.666666666666664
2024-06-12,2024-06-18,usa,guadalajara dental,0,1,0,55
2024-06-12,2024-06-18,usa,guadalajara dental care,0,1,0,51
2024-06-12,2024-06-18,usa,guadalajara dental implants,0,1,0,57
2024-06-12,2024-06-18,usa,victor prosthodontics,0,1,0,35
2024-06-19,2024-06-25,usa,dental implants in guadalajara mexico,0,1,0,77
2024-06-19,2024-06-25,usa,esponda,0,2,0,42
2024-06-19,2024-06-25,usa,guadalajara dental,0,2,0,59.5
2024-06-19,2024-06-25,usa,guadalajara dentist,0,2,0,41
2024-06-26,2024-07-02,usa,dentist guadalajara,0,1,0,44
2024-06-26,2024-07-02,usa,dentist in guadalajara,0,1,0,40
2024-07-03,2024-07-09,usa,dr esponda,0,1,0,7
2024-07-03,2024-07-09,usa,esponda,0,1,0,61
2024-07-03,2024-07-09,usa,guadalajara dental implants,0,1,0,61
2024-07-03,2024-07-09,usa,guadalajara dentist,0,1,0,40
2024-07-03,2024-07-09,usa,guadalajara victor idaho,0,1,0,21
2024-07-03,2024-07-09,usa,victor prosthodontics,0,2,0,39.5
2024-07-10,2024-07-16,usa,dentist in guadalajara,0,1,0,38
2024-07-10,2024-07-16,usa,esponda,0,2,0,46
2024-07-10,2024-07-16,usa,guadalajara dental care,0,1,0,51
2024-07-10,2024-07-16,usa,guadalajara dental implants,0,1,0,60
2024-07-10,2024-07-16,usa,guadalajara victor idaho,0,1,0,21
2024-07-10,2024-07-16,usa,victor dental clinic,0,1,0,95
2024-07-10,2024-07-16,usa,victor prosthodontics,0,1,0,39
2024-07-17,2024-07-23,usa,dentist in guadalajara,0,1,0,41
2024-07-17,2024-07-23,usa,esponda,0,1,0,52
2024-07-17,2024-07-23,usa,guadalajara dentist,0,1,0,52
2024-07-17,2024-07-23,usa,guadalajara victor,0,2,0,9.5
2024-07-24,2024-07-30,usa,dentist in guadalajara,0,1,0,32
2024-07-24,2024-07-30,usa,dentist in guadalajara mexico,0,1,0,37
2024-07-24,2024-07-30,usa,dr esponda,0,1,0,15
2024-07-24,2024-07-30,usa,guadalajara dental care,0,1,0,45
2024-07-24,2024-07-30,usa,guadalajara dental implants,0,1,0,55
2024-07-24,2024-07-30,usa,guadalajara dentist,0,1,0,44
2024-07-24,2024-07-30,usa,veneers in guadalajara mexico,0,2,0,57
2024-07-31,2024-08-06,usa,guadalajara dental implants,0,1,0,53
2024-07-31,2024-08-06,usa,guadalajara dentist,0,1,0,33
2024-07-31,2024-08-06,usa,guadalajara victor,0,1,0,5
2024-07-31,2024-08-06,usa,victor prosthodontics,0,1,0,43
2024-08-07,2024-08-13,usa,dentist in guadalajara,0,1,0,33
2024-08-07,2024-08-13,usa,esponda,0,1,0,44
2024-08-07,2024-08-13,usa,guadalajara dental implants,0,1,0,60
2024-08-14,2024-08-20,usa,dentist in guadalajara mexico,0,1,0,32
