start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,dr zonia leon,0,1,0,22
2024-05-08,2024-05-14,usa,dr zonia leon,0,1,0,20
2024-05-15,2024-05-21,usa,dr zonia leon,0,2,0,21
2024-05-22,2024-05-28,usa,dr zonia leon,0,2,0,22
2024-05-29,2024-06-04,usa,dentists juarez,0,1,0,76
2024-06-05,2024-06-11,usa,dr zonia leon,0,1,0,18
2024-06-12,2024-06-18,usa,dentist juarez,0,1,0,56
2024-06-19,2024-06-25,usa,dr zonia leon,0,1,0,24
2024-06-19,2024-06-25,usa,washington dental clinic juarez,0,1,0,39
2024-06-26,2024-07-02,usa,clinica juarez laser,0,1,0,54
2024-06-26,2024-07-02,usa,dentist express juárez,0,2,0,13.5
2024-06-26,2024-07-02,usa,dentist juarez mexico,0,2,0,54.5
2024-07-03,2024-07-09,usa,aaa cd juarez,0,1,0,36
2024-07-03,2024-07-09,usa,dentist express juárez,0,4,0,14
2024-07-03,2024-07-09,usa,dentistas en cd juárez,0,1,0,37
2024-07-03,2024-07-09,usa,washington clinic juarez,0,1,0,33
2024-07-10,2024-07-16,usa,bassanetti dental clinic juárez,0,1,0,13
2024-07-10,2024-07-16,usa,dentistas en ciudad juarez mexico,0,1,0,35
2024-07-10,2024-07-16,usa,dentistas en juarez chihuahua,0,1,0,36
2024-07-10,2024-07-16,usa,dentists juarez,0,1,0,57
2024-07-10,2024-07-16,usa,dr zonia leon,0,1,0,21
2024-07-10,2024-07-16,usa,gastroenterologo en cd juarez,0,1,0,52
2024-07-10,2024-07-16,usa,veneers in juarez,0,1,0,56
2024-07-10,2024-07-16,usa,veneers juarez mexico,0,1,0,28
2024-07-10,2024-07-16,usa,washington dental clinic juarez mexico,0,1,0,31
2024-07-17,2024-07-23,usa,advanced dental care juarez,0,1,0,22
2024-07-17,2024-07-23,usa,clinica dental cd juarez,0,1,0,23
2024-07-17,2024-07-23,usa,dental supply monterrey,0,1,0,53
2024-07-17,2024-07-23,usa,dentist in chihuahua mexico,0,1,0,44
2024-07-17,2024-07-23,usa,dermatólogo ciudad juárez,0,1,0,35
2024-07-17,2024-07-23,usa,ginecólogo en ciudad juárez,0,1,0,43
2024-07-17,2024-07-23,usa,juarez mexico dentist,0,1,0,45
2024-07-17,2024-07-23,usa,star médica consultorios,0,1,0,48
2024-07-17,2024-07-23,usa,washington dental clinic juarez,0,1,0,43
2024-07-17,2024-07-23,usa,washington dental juarez,0,1,0,51
2024-07-24,2024-07-30,usa,dentistas en ciudad juárez,0,1,0,34
2024-07-24,2024-07-30,usa,otorrinolaringologo ciudad del carmen,0,1,0,25
2024-07-31,2024-08-06,usa,ciudad juarez dentist,0,1,0,36
2024-07-31,2024-08-06,usa,dr zonia leon,0,1,0,22
2024-07-31,2024-08-06,usa,la zeta cd juarez,0,1,0,85
2024-08-07,2024-08-13,usa,dentistas en juarez mexico,0,1,0,23
2024-08-14,2024-08-20,usa,dr zonia leon,0,1,0,24
2024-08-14,2024-08-20,usa,zonia medicine,0,1,0,50
