start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,dr astorga,0,1,0,51
2024-05-01,2024-05-07,usa,los cabos dentist,0,1,0,63
2024-05-08,2024-05-14,usa,los cabos dentist,0,2,0,59
2024-05-15,2024-05-21,usa,iliana astorga,0,1,0,1
2024-05-15,2024-05-21,usa,los cabos dentist,0,2,0,59.5
2024-05-22,2024-05-28,usa,los cabos dentist,0,1,0,61
2024-05-29,2024-06-04,usa,ileana astorga,0,1,0,7
2024-05-29,2024-06-04,usa,iliana astorga,0,2,0,1
2024-05-29,2024-06-04,usa,los cabos dentist,0,1,0,70
2024-06-05,2024-06-11,usa,los cabos dentist,0,1,0,77
2024-06-05,2024-06-11,usa,oralia astorga,0,1,0,11
2024-06-12,2024-06-18,usa,ileana astorga,0,1,0,8
2024-06-12,2024-06-18,usa,iliana astorga,0,3,0,1
2024-06-19,2024-06-25,usa,guadalupe astorga,0,1,0,32
2024-06-19,2024-06-25,usa,ileana astorga,0,2,0,8
2024-06-19,2024-06-25,usa,iliana astorga,0,1,0,1
2024-06-26,2024-07-02,usa,los cabos dentist,0,1,0,70
2024-07-03,2024-07-09,usa,los cabos dentist,0,3,0,68.33333333333333
2024-07-10,2024-07-16,usa,'private doctors los cabos',0,1,0,75
2024-07-10,2024-07-16,usa,cabo dentistry,0,1,0,70
2024-07-10,2024-07-16,usa,iliana astorga,0,1,0,1
2024-07-17,2024-07-23,usa,los cabos dentist,0,3,0,67.33333333333333
2024-07-24,2024-07-30,usa,ileana astorga,0,1,0,9
2024-07-24,2024-07-30,usa,los cabos dentist,0,1,0,69
2024-07-31,2024-08-06,usa,astorga dentista,0,2,0,3.5
2024-08-07,2024-08-13,usa,los cabos dentist,0,2,0,69
2024-08-14,2024-08-20,usa,dentist in los cabos,0,2,0,80.5
2024-08-21,2024-08-27,usa,dentist in los cabos,0,1,0,81
2024-08-28,2024-09-03,usa,dentist in los cabos,0,1,0,73
2024-08-28,2024-09-03,usa,ileana astorga,0,1,0,1
2024-08-28,2024-09-03,usa,los cabos dentist,0,3,0,59
2024-09-04,2024-09-10,usa,cabo dentistry,0,1,0,44
2024-09-04,2024-09-10,usa,los cabos dentist,0,2,0,58.5
2024-09-11,2024-09-17,usa,dentist in los cabos,0,2,0,81.5
2024-09-11,2024-09-17,usa,los cabos dentist,0,1,0,62
2024-09-18,2024-09-24,usa,ileana astorga,0,1,0,8
2024-09-18,2024-09-24,usa,los cabos dentist,0,1,0,56
2024-09-25,2024-10-01,usa,los cabos dentist,0,1,0,50
2024-10-02,2024-10-08,usa,ileana astorga,0,2,0,10
2024-10-02,2024-10-08,usa,los cabos dentist,0,1,0,51
2024-10-09,2024-10-15,usa,los cabos dentist,0,1,0,65
2024-10-16,2024-10-22,usa,dra astorga,0,1,0,3
2024-10-16,2024-10-22,usa,ileana astorga,0,2,0,8
2024-10-23,2024-10-29,usa,cabo san lucas dentistry,0,1,0,41
2024-10-23,2024-10-29,usa,i love my dentist tijuana mexico,0,2,0,75.5
2024-10-23,2024-10-29,usa,ileana astorga,0,2,0,9
2024-10-23,2024-10-29,usa,iliana astorga,0,5,0,1
2024-10-23,2024-10-29,usa,iliana molina,0,1,0,55
2024-10-30,2024-11-05,usa,cabo dentistry,0,1,0,62
2024-10-30,2024-11-05,usa,dentist in cabo san lucas,0,1,0,49
2024-10-30,2024-11-05,usa,i love my dentist tijuana mexico,0,4,0,79
2024-10-30,2024-11-05,usa,urólogo cabo san lucas,0,2,0,56
2024-11-06,2024-11-12,usa,i love my dentist tijuana mexico,0,2,0,88
2024-11-13,2024-11-19,usa,iliana astorga,0,1,0,1
2024-11-20,2024-11-26,usa,best dentist cabo san lucas,0,1,0,1
2024-11-20,2024-11-26,usa,guadalupe astorga,0,1,0,32
