start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-07,usa,globalcare,0,1,0,9
2024-05-08,2024-05-14,usa,globalcare,0,5,0,7.4
2024-05-15,2024-05-21,usa,globalcare,0,3,0,6.333333333333333
2024-05-22,2024-05-28,usa,globalcare,0,1,0,10
2024-05-29,2024-06-04,usa,globalcare,0,3,0,4.666666666666666
2024-06-05,2024-06-11,usa,globalcare,0,1,0,5
2024-06-12,2024-06-18,usa,global care clinic,0,1,0,11
2024-06-12,2024-06-18,usa,globalcare,0,2,0,8.5
2024-06-19,2024-06-25,usa,globalcare,0,2,0,6
2024-06-26,2024-07-02,usa,globalcare,0,2,0,5
2024-07-03,2024-07-09,usa,global care network,0,2,0,10
2024-07-03,2024-07-09,usa,globalcare,0,2,0,3.5
2024-07-03,2024-07-09,usa,globalcare inc,0,1,0,10
2024-07-10,2024-07-16,usa,global care network,0,5,0,10.2
2024-07-10,2024-07-16,usa,globalcare,0,1,0,4
2024-07-10,2024-07-16,usa,globalcare inc,0,1,0,9
2024-07-17,2024-07-23,usa,global dental care,0,3,0,8
2024-07-17,2024-07-23,usa,globalcare inc,0,2,0,8
2024-07-24,2024-07-30,usa,globalcare,0,2,0,8
2024-07-31,2024-08-06,usa,15000 crowns to usd,0,2,0,48.5
2024-07-31,2024-08-06,usa,8000 crowns to usd,0,1,0,39
2024-07-31,2024-08-06,usa,global care,0,6,0,10.333333333333334
2024-07-31,2024-08-06,usa,global care cosmetics corporation,0,1,0,11
2024-07-31,2024-08-06,usa,what are crowns,0,3,0,80
2024-08-07,2024-08-13,usa,care mex,0,1,0,10
2024-08-07,2024-08-13,usa,global care,0,8,0,9.875
2024-08-07,2024-08-13,usa,what are crowns,0,2,0,67
2024-08-14,2024-08-20,usa,12000 crowns,0,1,0,56
2024-08-14,2024-08-20,usa,15000 crowns to usd,0,1,0,43
2024-08-14,2024-08-20,usa,8000 crowns to usd,0,2,0,34
2024-08-14,2024-08-20,usa,global care,0,1,0,13
2024-08-21,2024-08-27,usa,global care,0,3,0,10.666666666666666
2024-08-28,2024-09-03,usa,8000 crowns to usd,0,1,0,41
2024-08-28,2024-09-03,usa,global care,0,3,0,10.666666666666666
2024-09-04,2024-09-10,usa,15000 crowns to usd,0,2,0,58.5
2024-09-04,2024-09-10,usa,8000 crowns to usd,0,4,0,37.5
2024-09-04,2024-09-10,usa,global care,0,1,0,9
2024-09-04,2024-09-10,usa,what are crowns,0,2,0,101.5
2024-09-11,2024-09-17,usa,15000 crowns to usd,0,8,0,50.5
2024-09-11,2024-09-17,usa,30000 crowns,0,1,0,61
2024-09-11,2024-09-17,usa,8000 crowns to usd,0,18,0,40.611111111111114
2024-09-11,2024-09-17,usa,global care,0,8,0,10.875
2024-09-11,2024-09-17,usa,global care network,0,4,0,11.5
2024-09-11,2024-09-17,usa,globalcare,0,2,0,4
2024-09-11,2024-09-17,usa,what are crowns,0,1,0,48
2024-09-18,2024-09-24,usa,15000 crowns to usd,0,11,0,55
2024-09-18,2024-09-24,usa,8000 crowns to usd,0,20,0,44.75
2024-09-18,2024-09-24,usa,global care,0,3,0,11
2024-09-18,2024-09-24,usa,global care network,0,1,0,8
2024-09-18,2024-09-24,usa,globalcare,0,3,0,3.6666666666666665
2024-09-18,2024-09-24,usa,what are crowns,0,3,0,53.666666666666664
2024-09-25,2024-10-01,usa,15000 crowns to usd,0,8,0,56.75
2024-09-25,2024-10-01,usa,8000 crowns to usd,0,6,0,42.666666666666664
2024-09-25,2024-10-01,usa,global care,0,4,0,10
2024-09-25,2024-10-01,usa,global care network,0,1,0,11
2024-09-25,2024-10-01,usa,global dental care,0,1,0,8
2024-09-25,2024-10-01,usa,globalcare,0,1,0,3
2024-09-25,2024-10-01,usa,what are crowns,0,4,0,55.25
2024-10-02,2024-10-08,usa,15000 crowns to usd,0,1,0,44
2024-10-02,2024-10-08,usa,30000 crowns to usd,0,1,0,42
2024-10-02,2024-10-08,usa,8000 crowns to usd,0,1,0,31
2024-10-02,2024-10-08,usa,global care,0,5,0,10.6
2024-10-02,2024-10-08,usa,global care network,0,2,0,8.5
2024-10-02,2024-10-08,usa,global care phone number,0,1,0,8
2024-10-02,2024-10-08,usa,global dental care,0,1,0,6
2024-10-02,2024-10-08,usa,globalcare,0,4,0,2.5
2024-10-02,2024-10-08,usa,what are crowns,0,2,0,53.5
2024-10-09,2024-10-15,usa,crowns,0,2,0,71
2024-10-09,2024-10-15,usa,dental care mexico,0,1,0,11
2024-10-09,2024-10-15,usa,dental services mexico,0,1,0,10
2024-10-09,2024-10-15,usa,global care,0,5,0,11.4
2024-10-09,2024-10-15,usa,global dental clinic,0,2,0,14.5
2024-10-09,2024-10-15,usa,globalcare,0,1,0,4
2024-10-09,2024-10-15,usa,what are crowns,0,1,0,46
2024-10-16,2024-10-22,usa,crowns,0,3,0,73
2024-10-16,2024-10-22,usa,crowns of os,0,1,0,63
2024-10-16,2024-10-22,usa,global dental services,0,2,0,9.5
2024-10-16,2024-10-22,usa,what are crowns,0,6,0,58.666666666666664
2024-10-23,2024-10-29,usa,18007787879,0,1,0,6
2024-10-23,2024-10-29,usa,crowns,0,3,0,80.66666666666667
2024-10-23,2024-10-29,usa,crowns of os,0,2,0,61
2024-10-23,2024-10-29,usa,global care,0,6,0,10.666666666666666
2024-10-23,2024-10-29,usa,global dental care,0,2,0,12
2024-10-23,2024-10-29,usa,globalcare,0,1,0,3
2024-10-23,2024-10-29,usa,smile venue dental reviews,0,1,0,11
2024-10-23,2024-10-29,usa,what are crowns,0,3,0,59
2024-10-30,2024-11-05,usa,15000 crowns to usd,0,1,0,39
2024-10-30,2024-11-05,usa,30000 crowns to usd,0,1,0,44
2024-10-30,2024-11-05,usa,8000 crowns to usd,0,1,0,32
2024-10-30,2024-11-05,usa,crowns,0,8,0,85.125
2024-10-30,2024-11-05,usa,global care,0,10,0,11.1
2024-10-30,2024-11-05,usa,global dentist,0,1,0,10
2024-10-30,2024-11-05,usa,what are crowns,0,3,0,47
2024-11-06,2024-11-12,usa,crowns,0,44,0,84.0909090909091
2024-11-06,2024-11-12,usa,global care,0,6,0,13.5
2024-11-06,2024-11-12,usa,global dental care,0,1,0,3
2024-11-06,2024-11-12,usa,globalcare,0,2,0,3.5
2024-11-06,2024-11-12,usa,globle care,0,1,0,11
2024-11-06,2024-11-12,usa,what are crowns,0,2,0,41
2024-11-13,2024-11-19,usa,care mexico,0,1,0,11
2024-11-13,2024-11-19,usa,crowns,0,52,0,88.11538461538461
2024-11-13,2024-11-19,usa,crowns teeth meaning,0,1,0,85
2024-11-13,2024-11-19,usa,dental care mexico,0,2,0,10
2024-11-13,2024-11-19,usa,global dental care,0,2,0,14
2024-11-13,2024-11-19,usa,globalcare,0,4,0,3
2024-11-13,2024-11-19,usa,what are crowns,0,3,0,62.333333333333336
2024-11-20,2024-11-26,usa,crowns,0,15,0,91.66666666666667
2024-11-20,2024-11-26,usa,dental care mexico,0,3,0,11
2024-11-20,2024-11-26,usa,global care,0,2,0,11
2024-11-20,2024-11-26,usa,global dental care,0,1,0,13
2024-11-20,2024-11-26,usa,globalcare,0,1,0,10
2024-11-20,2024-11-26,usa,what are crowns,0,1,0,46
2024-11-27,2024-12-03,usa,crowns,0,155,0,86.32903225806452
2024-11-27,2024-12-03,usa,english speaking dentist mexico city,0,2,0,10
2024-11-27,2024-12-03,usa,global care,0,2,0,11
2024-11-27,2024-12-03,usa,global dental,0,1,0,11
2024-11-27,2024-12-03,usa,global dental center photos,0,1,0,12
2024-11-27,2024-12-03,usa,globalcare,0,1,0,3
2024-11-27,2024-12-03,usa,what are crowns,0,2,0,43
2024-11-27,2024-12-03,usa,what is a crown,0,2,0,98.5
2024-12-04,2024-12-10,usa,crowns,0,356,0,84.26966292134831
2024-12-04,2024-12-10,usa,crowns definition,0,2,0,58
2024-12-04,2024-12-10,usa,dental care mexico,0,1,0,13
2024-12-04,2024-12-10,usa,global care,0,3,0,11
2024-12-04,2024-12-10,usa,global dental services,0,2,0,11.5
2024-12-04,2024-12-10,usa,globalcare,0,1,0,2
2024-12-04,2024-12-10,usa,what are crowns,0,3,0,39.333333333333336
2024-12-04,2024-12-10,usa,what are crowns for,0,1,0,66
2024-12-04,2024-12-10,usa,what is a crown,0,15,0,93.2
2024-12-04,2024-12-10,usa,what is a crown for,0,1,0,97
2024-12-04,2024-12-10,usa,what is a crown for teeth,0,1,0,86
2024-12-11,2024-12-17,usa,crowned teeth meaning,0,1,0,90
2024-12-11,2024-12-17,usa,crowns,0,271,0,88.87453874538745
2024-12-11,2024-12-17,usa,dental care mexico,0,1,0,12
2024-12-11,2024-12-17,usa,global care,0,1,0,11
2024-12-11,2024-12-17,usa,globalcare,0,5,0,6.2
2024-12-11,2024-12-17,usa,what are crowns,0,1,0,39
2024-12-11,2024-12-17,usa,what are crowns for teeth,0,1,0,78
2024-12-11,2024-12-17,usa,what is a crown,0,16,0,93.75
2024-12-11,2024-12-17,usa,what is crowns for teeth,0,1,0,65
2024-12-18,2024-12-24,usa,crowned teeth meaning,0,1,0,67
2024-12-18,2024-12-24,usa,crowns,0,209,0,88.70334928229666
2024-12-18,2024-12-24,usa,crowns​,0,2,0,83
2024-12-18,2024-12-24,usa,dental care mexico,0,1,0,13
2024-12-18,2024-12-24,usa,global care,0,3,0,11
2024-12-18,2024-12-24,usa,global dental care,0,1,0,5
2024-12-18,2024-12-24,usa,globalcare,0,2,0,6.5
2024-12-18,2024-12-24,usa,what are crowns,0,2,0,40.5
2024-12-18,2024-12-24,usa,what are crowns for,0,1,0,45
2024-12-18,2024-12-24,usa,what is a crown,0,4,0,95.75
2024-12-18,2024-12-24,usa,what is a crown for teeth,0,1,0,98
2024-12-18,2024-12-24,usa,what is crowns for teeth,0,1,0,63
2024-12-25,2024-12-31,usa,crowns,0,18,0,74.88888888888889
2024-12-25,2024-12-31,usa,crowns definition,0,1,0,51
2024-12-25,2024-12-31,usa,global care,0,2,0,11
2024-12-25,2024-12-31,usa,global dental care,0,1,0,9
2024-12-25,2024-12-31,usa,globalcare,0,3,0,5.666666666666667
2024-12-25,2024-12-31,usa,what are crowns,0,2,0,37
2024-12-25,2024-12-31,usa,what is a crown,0,1,0,97
2024-12-25,2024-12-31,usa,what is a crown for teeth,0,6,0,95.83333333333333
2025-01-01,2025-01-07,usa,crowns,0,17,0,70.76470588235294
2025-01-01,2025-01-07,usa,global care,0,1,0,11
2025-01-01,2025-01-07,usa,what is a crown,0,1,0,98
2025-01-01,2025-01-07,usa,what is a crown for teeth,0,2,0,94.5
2025-01-01,2025-01-07,usa,what is crown,0,1,0,176
2025-01-01,2025-01-07,usa,what is crowns for teeth,0,1,0,86
2025-01-08,2025-01-14,usa,crowns,0,10,0,72.8
2025-01-08,2025-01-14,usa,global care,0,2,0,9.5
2025-01-08,2025-01-14,usa,globalcare,0,2,0,3
2025-01-08,2025-01-14,usa,what are crowns,0,2,0,46
2025-01-08,2025-01-14,usa,what are crowns for,0,1,0,48
2025-01-08,2025-01-14,usa,what is a crown for teeth,0,5,0,94.6
2025-01-08,2025-01-14,usa,what is crown,0,2,0,86
2025-01-08,2025-01-14,usa,what is crowns,0,1,0,93
2025-01-08,2025-01-14,usa,what is crowns for teeth,0,2,0,41.5
2025-01-08,2025-01-14,usa,what's a crown,0,1,0,67
2025-01-15,2025-01-21,usa,18007787879,0,1,0,4
2025-01-15,2025-01-21,usa,crowned teeth meaning,0,1,0,87
2025-01-15,2025-01-21,usa,crowns,0,141,0,82.43262411347517
2025-01-15,2025-01-21,usa,crowns definition,0,1,0,151
2025-01-15,2025-01-21,usa,crowns​,0,2,0,90.5
2025-01-15,2025-01-21,usa,globalcare,0,1,0,6
2025-01-15,2025-01-21,usa,what are crowns,0,2,0,41
2025-01-15,2025-01-21,usa,what are crowns for,0,1,0,45
2025-01-15,2025-01-21,usa,what is a crown,0,2,0,79.5
2025-01-15,2025-01-21,usa,what is a crown for teeth,0,2,0,88.5
2025-01-15,2025-01-21,usa,what is crown,0,2,0,69
2025-01-22,2025-01-28,usa,affordable dental care mexico,0,1,0,8
2025-01-22,2025-01-28,usa,crowns,0,196,0,85.51020408163265
2025-01-22,2025-01-28,usa,crowns definition,0,2,0,51.5
2025-01-22,2025-01-28,usa,crowns​,0,1,0,90
2025-01-22,2025-01-28,usa,globalcare,0,3,0,5
2025-01-22,2025-01-28,usa,globalcare.com,0,1,0,8
2025-01-22,2025-01-28,usa,what are crowns,0,2,0,42.5
2025-01-22,2025-01-28,usa,what is a crown,0,1,0,97
2025-01-22,2025-01-28,usa,what is a crown for teeth,0,2,0,86
2025-01-22,2025-01-28,usa,what is crowns on teeth,0,1,0,47
2025-01-29,2025-02-04,usa,crowns,0,149,0,78.58389261744966
2025-01-29,2025-02-04,usa,crowns meaning,0,1,0,140
2025-01-29,2025-02-04,usa,crowns​,0,1,0,103
2025-01-29,2025-02-04,usa,global care,0,1,0,10
2025-01-29,2025-02-04,usa,what are crowns,0,2,0,42.5
2025-01-29,2025-02-04,usa,what is crown,0,1,0,180
2025-02-05,2025-02-11,usa,affordable dental care mexico,0,1,0,8
2025-02-05,2025-02-11,usa,crowned teeth meaning,0,1,0,72
2025-02-05,2025-02-11,usa,crowns,0,25,0,71.04
2025-02-05,2025-02-11,usa,crowns definition,0,1,0,136
2025-02-05,2025-02-11,usa,what are crowns,0,3,0,28
2025-02-12,2025-02-18,usa,criwns,0,1,0,78
2025-02-12,2025-02-18,usa,crowned teeth meaning,0,2,0,56.5
2025-02-12,2025-02-18,usa,crowns,0,223,0,72.80717488789237
2025-02-12,2025-02-18,usa,crowns definition,0,1,0,137
2025-02-12,2025-02-18,usa,crowns​,0,3,0,83.66666666666667
2025-02-12,2025-02-18,usa,what are crowns,0,7,0,36.285714285714285
2025-02-19,2025-02-25,usa,crowns,0,80,0,76.8625
2025-02-19,2025-02-25,usa,crowns definition,0,1,0,52
2025-02-19,2025-02-25,usa,crowns​,0,2,0,101.5
2025-02-19,2025-02-25,usa,global care,0,1,0,10
2025-02-19,2025-02-25,usa,global dental tijuana,0,1,0,11
2025-02-19,2025-02-25,usa,globalcare,0,1,0,4
2025-02-19,2025-02-25,usa,what are crowns,0,1,0,27
2025-02-26,2025-03-04,usa,crowned teeth meaning,0,1,0,79
2025-02-26,2025-03-04,usa,crowns,0,204,0,84.57843137254902
2025-02-26,2025-03-04,usa,crowns definition,0,1,0,61
2025-02-26,2025-03-04,usa,crowns teeth,0,2,0,71
2025-02-26,2025-03-04,usa,crowns​,0,2,0,102
2025-02-26,2025-03-04,usa,global care,0,1,0,12
2025-02-26,2025-03-04,usa,what are crowns,0,3,0,29.666666666666668
2025-02-26,2025-03-04,usa,what are crowns for teeth,0,1,0,42
2025-02-26,2025-03-04,usa,what is a crown,0,11,0,90.72727272727273
2025-02-26,2025-03-04,usa,what is a crown for teeth,0,7,0,91.28571428571429
2025-03-05,2025-03-11,usa,crowns,0,350,0,69.33142857142857
2025-03-05,2025-03-11,usa,crowns definition,0,1,0,57
2025-03-05,2025-03-11,usa,crowns​,0,2,0,83.5
2025-03-05,2025-03-11,usa,what are crowns,0,3,0,38.333333333333336
2025-03-05,2025-03-11,usa,what are crowns for,0,2,0,41.5
2025-03-05,2025-03-11,usa,what is a crown,0,9,0,92.55555555555556
2025-03-05,2025-03-11,usa,what is a crown for teeth,0,4,0,89.25
2025-03-12,2025-03-18,usa,crowms,0,1,0,63
2025-03-12,2025-03-18,usa,crown definition dental,0,1,0,69
2025-03-12,2025-03-18,usa,crown teeth meaning,0,1,0,85
2025-03-12,2025-03-18,usa,crowned teeth meaning,0,3,0,78.33333333333333
