start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-01,aus,mexican implants,0,1,0,95
2024-05-02,2024-05-02,aus,globalcare,0,1,0,31
2024-05-03,2024-05-03,aus,dental implants in mexico,0,1,0,84
2024-05-04,2024-05-04,aus,dental implants in mexico,0,1,0,85
2024-05-05,2024-05-05,aus,global care wyoming,0,3,0,20.333333333333332
2024-05-06,2024-05-06,aus,dental implants in mexico,0,1,0,94
2024-05-07,2024-05-07,aus,dental implants in mexico,0,1,0,90
2024-05-08,2024-05-08,aus,mexico for dental implants,0,1,0,60
2024-05-09,2024-05-09,aus,is it safe to get dental implants in mexico,0,1,0,35
2024-05-10,2024-05-10,aus,dental implants in mexico,0,1,0,72
2024-05-11,2024-05-11,aus,americas dental tourism market,0,1,0,70
2024-05-12,2024-05-12,aus,all on six tijuana,0,1,0,97
2024-05-12,2024-05-12,aus,dental implants in mexico,0,1,0,70
2024-05-13,2024-05-13,aus,dental implants mexico,0,1,0,94
2024-05-13,2024-05-13,aus,globalcare,0,1,0,25
2024-05-14,2024-05-14,aus,dental implants in mexico,0,1,0,70
2024-05-15,2024-05-15,aus,dental tourism insurance,0,1,0,85
2024-05-16,2024-05-16,aus,dental veneers abroad,0,1,0,82
2024-05-17,2024-05-17,aus,is it safe to get veneers in mexico,0,2,0,8
2024-05-18,2024-05-18,aus,cancun veneers cost,0,1,0,39
2024-05-18,2024-05-18,aus,mexico dental implant,0,1,0,83
2024-05-19,2024-05-19,aus,mexican dental implants,0,1,0,74
2024-05-19,2024-05-19,aus,mexico veneers price,0,1,0,50
2024-05-20,2024-05-20,aus,dr. magallanes,0,1,0,45
2024-05-21,2024-05-21,aus,how much are veneers in cancun,0,1,0,36
2024-05-22,2024-05-22,aus,dental tourism in mexico,0,1,0,102
2024-05-23,2024-05-23,aus,veneers cancun,0,1,0,59
2024-05-24,2024-05-24,aus,mexican implants,0,1,0,78
2024-05-25,2024-05-25,aus,dental implant mexico review,0,1,0,55
2024-05-25,2024-05-25,aus,dental tourism mexico,0,1,0,88
2024-05-25,2024-05-25,aus,global care,0,1,0,16
2024-05-26,2024-05-26,aus,cancun mexico veneers,0,1,0,37
2024-05-26,2024-05-26,aus,globalcare,0,1,0,25
2024-05-27,2024-05-27,aus,mexico teeth veneers,0,1,0,55
2024-05-28,2024-05-28,aus,mexico dental implants reviews,0,1,0,93
2024-05-29,2024-05-29,aus,american dental plans,0,1,0,88
2024-05-29,2024-05-29,aus,dental tourism in mexico,0,1,0,92
2024-05-29,2024-05-29,aus,medical tourism mexico dental,0,1,0,61
2024-05-30,2024-05-30,aus,dental tourism insurance,0,1,0,83
2024-05-31,2024-05-31,aus,dental procedures in mexico,0,1,0,96
2024-06-01,2024-06-01,aus,mexico as dental holiday destination,0,1,0,85
2024-06-02,2024-06-02,aus,dental work in mexico veneers,0,1,0,57
2024-06-03,2024-06-03,aus,veneers cancun,0,1,0,57
2024-06-03,2024-06-03,aus,veneers in mexico cost,0,1,0,40
2024-06-04,2024-06-04,aus,mexico teeth veneers,0,1,0,63
2024-06-05,2024-06-05,aus,washington dental tijuana,0,1,0,56
2024-06-06,2024-06-06,aus,global care services,0,1,0,28
2024-06-07,2024-06-07,aus,mexico implants,0,1,0,76
2024-06-07,2024-06-07,aus,veneers in cancun,0,1,0,57
2024-06-08,2024-06-08,aus,dental procedures in mexico,0,1,0,80
2024-06-09,2024-06-09,aus,mexico dental veneers,0,1,0,74
2024-06-10,2024-06-10,aus,veneers cost in mexico,0,1,0,42
2024-06-11,2024-06-11,aus,best hotels in polanco mexico city,0,1,0,93
2024-06-11,2024-06-11,aus,dental implants in mexico,0,2,0,74.5
2024-06-12,2024-06-12,aus,best mexican dental implants,0,1,0,84
2024-06-12,2024-06-12,aus,price of veneers in mexico,0,1,0,49
2024-06-13,2024-06-13,aus,dental tourism agency,0,1,0,71
2024-06-13,2024-06-13,aus,dental veneers in cancun,0,1,0,71
2024-06-13,2024-06-13,aus,financing for dental surgery in mexico,0,1,0,90
2024-06-13,2024-06-13,aus,veneer mexico,0,1,0,54
2024-06-14,2024-06-14,aus,globalcare,0,1,0,22
2024-06-14,2024-06-14,aus,how much for veneers in mexico,0,1,0,40
2024-06-14,2024-06-14,aus,mexico dental implants,0,1,0,79
2024-06-14,2024-06-14,aus,price of veneers in mexico,0,1,0,57
2024-06-15,2024-06-15,aus,globalcare,0,1,0,26
2024-06-15,2024-06-15,aus,how much for veneers in mexico,0,1,0,41
2024-06-15,2024-06-15,aus,veneers in cancun mexico cost,0,1,0,50
2024-06-16,2024-06-16,aus,dental implants in mexico,0,1,0,65
2024-06-16,2024-06-16,aus,mexican dental implants,0,1,0,50
2024-06-17,2024-06-17,aus,all on 4 conversions,0,1,0,32
2024-06-17,2024-06-17,aus,dental tourism mexico,0,1,0,82
2024-06-17,2024-06-17,aus,how much is an all on 4 cost in mexico,0,1,0,93
2024-06-18,2024-06-18,aus,cost for veneers in mexico,0,1,0,40
2024-06-19,2024-06-19,aus,all on 4 conversions,0,1,0,33
