start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-01,chl,dental implants in mexico,0,1,0,90
2024-05-02,2024-05-02,chl,best dental implants in mexico,0,1,0,99
2024-05-03,2024-05-03,chl,dental implants mexico,0,1,0,101
2024-05-04,2024-05-04,chl,dental implant mexico,0,1,0,78
2024-05-05,2024-05-05,chl,mexico dental implants,0,1,0,76
2024-05-06,2024-05-06,chl,implants mexico,0,1,0,87
2024-05-07,2024-05-07,chl,why cancun for a dental trip new york resident,0,1,0,14
2024-05-08,2024-05-08,chl,best dentist in cancun,0,1,0,87
2024-05-09,2024-05-09,chl,all on 4 conversions,0,1,0,25
2024-05-09,2024-05-09,chl,veneers in cancun,0,1,0,51
2024-05-10,2024-05-10,chl,veneers in mexico cancun,0,1,0,37
2024-05-11,2024-05-11,chl,cancun veneers cost,0,1,0,42
2024-05-11,2024-05-11,chl,veneers cost in tijuana,0,1,0,71
2024-05-12,2024-05-12,chl,veneers in mexico cancun,0,1,0,38
2024-05-13,2024-05-13,chl,veneers cost in tijuana,0,1,0,72
2024-05-14,2024-05-14,chl,cancun veneers,0,1,0,61
2024-05-15,2024-05-15,chl,cost of veneers in mexico,0,1,0,45
2024-05-16,2024-05-16,chl,cancun veneers cost,0,1,0,41
2024-05-17,2024-05-17,chl,should i get veneers in mexico,0,1,0,11
2024-05-18,2024-05-18,chl,veneers cost in mexico,0,1,0,51
2024-05-19,2024-05-19,chl,dental veneers mexico,0,1,0,52
2024-05-19,2024-05-19,chl,english-speaking dentists in puerto vallarta,0,1,0,46
2024-05-19,2024-05-19,chl,mexico dental veneers,0,1,0,49
2024-05-19,2024-05-19,chl,veneers cancun cost,0,1,0,23
2024-05-20,2024-05-20,chl,best dentist in mexico,0,1,0,98
2024-05-21,2024-05-21,chl,cancun veneers,0,1,0,53
2024-05-21,2024-05-21,chl,veneers in mexico cancun,0,1,0,36
2024-05-22,2024-05-22,chl,porcelain veneers cancun mexico,0,1,0,34
2024-05-23,2024-05-23,chl,how much are veneers in cancun,0,1,0,37
2024-05-23,2024-05-23,chl,how to pay for dental work in mexico,0,1,0,42
