start_date,end_date,country,query,clicks,impressions,ctr,position
2024-05-01,2024-05-01,esp,enrique kogan,0,1,0,1
2024-05-02,2024-05-02,esp,enrique kogan,0,1,0,2
2024-05-02,2024-05-02,esp,how to pay for dental work in mexico,0,1,0,75
2024-05-03,2024-05-03,esp,dental implant mexico,0,2,0,90
2024-05-04,2024-05-04,esp,dental implant mexico,0,1,0,94
2024-05-05,2024-05-05,esp,dental implant mexico,0,1,0,86
2024-05-06,2024-05-06,esp,dental implants in mexico,0,1,0,88
2024-05-07,2024-05-07,esp,all on 4 conversions,0,1,0,55
2024-05-08,2024-05-08,esp,global care logistics,0,1,0,82
2024-05-08,2024-05-08,esp,mexico dental implants,0,1,0,90
2024-05-09,2024-05-09,esp,global care medical group doctors,0,1,0,79
2024-05-10,2024-05-10,esp,dental implant mexico review,0,1,0,48
2024-05-10,2024-05-10,esp,dental implants in mexico,0,1,0,84
2024-05-10,2024-05-10,esp,dental implants mexico,0,1,0,102
2024-05-11,2024-05-11,esp,mexico city dentist,0,1,0,53
2024-05-12,2024-05-12,esp,dental implants mexico,0,2,0,88.5
2024-05-13,2024-05-13,esp,mexico dental implant,0,1,0,77
2024-05-13,2024-05-13,esp,travel to mexico for dental work,0,1,0,83
2024-05-14,2024-05-14,esp,all on 4 conversions,0,1,0,37
2024-05-14,2024-05-14,esp,travel to mexico for dental work,0,1,0,60
2024-05-15,2024-05-15,esp,getting dental implants in mexico,0,1,0,46
2024-05-16,2024-05-16,esp,best place to get dental implants in mexico,0,1,0,82
2024-05-16,2024-05-16,esp,mexico for dental implants,0,1,0,68
2024-05-17,2024-05-17,esp,dental implant mexico,0,1,0,74
2024-05-18,2024-05-18,esp,all on 4 conversions,0,1,0,52
2024-05-19,2024-05-19,esp,how to pay for dental work in mexico,0,1,0,48
2024-05-20,2024-05-20,esp,dental tourism in mexico,0,1,0,85
2024-05-21,2024-05-21,esp,globalcare,0,1,0,6
2024-05-22,2024-05-22,esp,dentist in mexico city,0,1,0,54
2024-05-22,2024-05-22,esp,implants mexico,0,1,0,84
2024-05-22,2024-05-22,esp,veneers guadalajara,0,1,0,53
2024-05-23,2024-05-23,esp,dental insurance mexico,0,1,0,9
2024-05-23,2024-05-23,esp,dental services in puerto vallarta,0,1,0,56
2024-05-24,2024-05-24,esp,veneers in mexico,0,1,0,36
2024-05-25,2024-05-25,esp,dental implants in mexico,0,1,0,71
2024-05-25,2024-05-25,esp,dentists in cancun,0,1,0,95
2024-05-25,2024-05-25,esp,veneers cost in mexico,0,1,0,36
2024-05-25,2024-05-25,esp,veneers in mexico,0,1,0,34
2024-05-26,2024-05-26,esp,best implants mexico,0,1,0,93
2024-05-26,2024-05-26,esp,cheap dental implants mexico,0,1,0,87
2024-05-26,2024-05-26,esp,dental implant mexico,0,1,0,56
2024-05-26,2024-05-26,esp,guadalajara dental,0,1,0,48
2024-05-26,2024-05-26,esp,how much are veneers in mexico,0,1,0,37
2024-05-26,2024-05-26,esp,how much veneers cost in mexico,0,1,0,41
2024-05-27,2024-05-27,esp,best place to get dental implants in mexico,0,1,0,87
2024-05-27,2024-05-27,esp,porcelain veneers cancun mexico,0,1,0,34
2024-05-28,2024-05-28,esp,full set veneers cost mexico,0,1,0,41
2024-05-28,2024-05-28,esp,porcelain veneers cancun mexico,0,1,0,34
2024-05-28,2024-05-28,esp,veneers in cancun,0,1,0,39
2024-05-28,2024-05-28,esp,veneers in mexico cancun,0,1,0,36
2024-05-28,2024-05-28,esp,veneers in mexico cost,0,1,0,34
2024-05-28,2024-05-28,esp,veneers mexico,0,1,0,51
2024-05-29,2024-05-29,esp,cancun veneers cost,0,1,0,42
2024-05-29,2024-05-29,esp,dentist in guadalajara,0,1,0,39
2024-05-30,2024-05-30,esp,dental implants in mexico,0,1,0,72
2024-05-30,2024-05-30,esp,getting veneers in mexico,0,1,0,18
2024-05-30,2024-05-30,esp,veneers in cancun mexico cost,0,1,0,39
2024-05-31,2024-05-31,esp,dental implants in mexico,0,1,0,65
2024-05-31,2024-05-31,esp,veneers cancun mexico,0,1,0,43
2024-06-01,2024-06-01,esp,cancun veneers,0,1,0,61
2024-06-01,2024-06-01,esp,cost of full veneers in mexico,0,1,0,46
2024-06-01,2024-06-01,esp,how much are porcelain veneers in mexico,0,1,0,44
2024-06-01,2024-06-01,esp,how much is a full set of veneers in mexico,0,1,0,32
2024-06-01,2024-06-01,esp,ontime el berron,0,1,0,38
2024-06-01,2024-06-01,esp,veneers guadalajara,0,1,0,35
2024-06-01,2024-06-01,esp,veneers in mexico city,0,1,0,81
2024-06-02,2024-06-02,esp,veneers in cancun mexico cost,0,1,0,26
2024-06-02,2024-06-02,esp,veneers in mexico,0,1,0,32
2024-06-03,2024-06-03,esp,americans going to mexico for dental work,0,1,0,48
2024-06-03,2024-06-03,esp,cancun mexico veneers,0,1,0,43
2024-06-04,2024-06-04,esp,cancun veneers cost,0,1,0,44
2024-06-04,2024-06-04,esp,mexico dental implant,0,1,0,92
2024-06-04,2024-06-04,esp,veneers in mexico,0,1,0,34
2024-06-04,2024-06-04,esp,veneers in mexico cancun,0,1,0,39
2024-06-04,2024-06-04,esp,veneers in mexico reviews,0,1,0,25
2024-06-05,2024-06-05,esp,mexico dental tourism,0,1,0,101
2024-06-05,2024-06-05,esp,veneers mexico,0,1,0,45
2024-06-06,2024-06-06,esp,cancun veneers,0,1,0,63
2024-06-06,2024-06-06,esp,dental implants in mexico,0,1,0,81
2024-06-06,2024-06-06,esp,veneers cost mexico,0,1,0,36
2024-06-07,2024-06-07,esp,how much are veneers in cancun,0,1,0,35
2024-06-07,2024-06-07,esp,teeth implants in mexico,0,1,0,88
2024-06-07,2024-06-07,esp,veneers cost mexico,0,1,0,41
2024-06-07,2024-06-07,esp,veneers in cancun mexico cost,0,1,0,35
2024-06-07,2024-06-07,esp,veneers in mexico cancun,0,1,0,38
2024-06-07,2024-06-07,esp,veneers mexico cost,0,1,0,44
2024-06-08,2024-06-08,esp,mexico city dental tourism,0,1,0,42
2024-06-08,2024-06-08,esp,veneers cost cancun,0,1,0,25
2024-06-09,2024-06-09,esp,americans going to mexico for dental work,0,1,0,54
2024-06-09,2024-06-09,esp,dental implants mexico,0,1,0,74
2024-06-09,2024-06-09,esp,how much are veneers in mexico,0,1,0,44
2024-06-09,2024-06-09,esp,servicios dentales globales,0,1,0,91
2024-06-09,2024-06-09,esp,veneers cancun cost,0,1,0,22
2024-06-09,2024-06-09,esp,veneers in cancun,0,1,0,43
2024-06-09,2024-06-09,esp,veneers in mexico cancun,0,1,0,39
2024-06-10,2024-06-10,esp,veneers in mexico,0,1,0,40
2024-06-11,2024-06-11,esp,cancun mexico veneers,0,1,0,44
2024-06-11,2024-06-11,esp,dental veneers in mexico,0,1,0,54
2024-06-11,2024-06-11,esp,mexico dental tourism,0,1,0,99
2024-06-11,2024-06-11,esp,porcelain veneers mexico,0,1,0,54
2024-06-11,2024-06-11,esp,price of veneers in mexico,0,1,0,48
2024-06-11,2024-06-11,esp,veneers in mexico cancun,0,2,0,43.5
2024-06-12,2024-06-12,esp,dental clinic puerto vallarta,0,1,0,47
2024-06-12,2024-06-12,esp,mexico dentist implants,0,1,0,81
2024-06-12,2024-06-12,esp,price for veneers in mexico,0,1,0,61
2024-06-12,2024-06-12,esp,veneers in mexico,0,1,0,35
2024-06-13,2024-06-13,esp,all on 4 conversions,0,1,0,31
2024-06-13,2024-06-13,esp,how much are veneers in mexico,0,1,0,41
2024-06-13,2024-06-13,esp,porcelain veneers cancun mexico,0,1,0,32
2024-06-13,2024-06-13,esp,veneers mexico cost,0,1,0,42
2024-06-14,2024-06-14,esp,can i use my dental insurance in mexico,0,1,0,6
2024-06-14,2024-06-14,esp,cancun mexico veneers,0,1,0,34
2024-06-14,2024-06-14,esp,dental work in mexico veneers,0,1,0,48
2024-06-14,2024-06-14,esp,how much are veneers in mexico,0,1,0,41
2024-06-14,2024-06-14,esp,veneers cost cancun,0,1,0,24
2024-06-15,2024-06-15,esp,mexico city dental tourism,0,1,0,37
2024-06-15,2024-06-15,esp,veneers in mexico cost,0,1,0,34
2024-06-16,2024-06-16,esp,veneers in cancun,0,1,0,41
2024-06-17,2024-06-17,esp,best place to get dental implants in mexico,0,1,0,86
2024-06-17,2024-06-17,esp,veneers in mexico,0,1,0,38
2024-06-17,2024-06-17,esp,veneers mexico,0,1,0,45
2024-06-18,2024-06-18,esp,veneers cancun cost,0,1,0,22
2024-06-18,2024-06-18,esp,veneers in cancun mexico,0,1,0,35
2024-06-18,2024-06-18,esp,veneers in mexico cancun,0,1,0,37
2024-06-19,2024-06-19,esp,mexico dental veneers,0,1,0,45
2024-06-19,2024-06-19,esp,veneers cancun mexico,0,1,0,39
2024-06-19,2024-06-19,esp,veneers in mexico,0,1,0,34
2024-06-20,2024-06-20,esp,cancun dental veneers,0,1,0,63
2024-06-21,2024-06-21,esp,cancun veneers cost,0,1,0,42
2024-06-21,2024-06-21,esp,mexico veneers,0,1,0,48
2024-06-21,2024-06-21,esp,veneers in mexico,0,2,0,39.5
2024-06-22,2024-06-22,esp,all in 4,0,1,0,199
2024-06-22,2024-06-22,esp,getting veneers in mexico,0,1,0,29
2024-06-22,2024-06-22,esp,mexico veneers,0,1,0,48
2024-06-22,2024-06-22,esp,veneers cost cancun,0,1,0,21
2024-06-23,2024-06-23,esp,cancun veneers,0,1,0,50
2024-06-23,2024-06-23,esp,mexico dental veneers,0,1,0,46
2024-06-23,2024-06-23,esp,porcelain veneers cancun mexico,0,1,0,37
2024-06-24,2024-06-24,esp,dental veneers in cancun,0,1,0,54
2024-06-25,2024-06-25,esp,can i use my dental insurance in mexico,0,1,0,6
2024-06-25,2024-06-25,esp,dental veneers in mexico,0,1,0,51
2024-06-25,2024-06-25,esp,how much are veneers in cancun,0,1,0,37
2024-06-25,2024-06-25,esp,porcelain veneers cancun mexico,0,2,0,38
2024-06-25,2024-06-25,esp,porcelain veneers costs in mexico,0,1,0,43
2024-06-25,2024-06-25,esp,veneers in cancun mexico cost,0,1,0,40
2024-06-26,2024-06-26,esp,how to pay for dental work in mexico,0,1,0,49
2024-06-26,2024-06-26,esp,la global care,0,1,0,32
2024-06-26,2024-06-26,esp,porcelain veneers cancun mexico,0,1,0,37
2024-06-26,2024-06-26,esp,veneers in cancun mexico cost,0,1,0,40
2024-06-27,2024-06-27,esp,all on 4 conversions,0,1,0,34
2024-06-27,2024-06-27,esp,cancun mexico veneers,0,1,0,46
2024-06-27,2024-06-27,esp,veneers cost in mexico,0,1,0,49
2024-06-27,2024-06-27,esp,veneers cost in mexico city,0,1,0,46
2024-06-27,2024-06-27,esp,veneers in cancun,0,1,0,48
2024-06-28,2024-06-28,esp,how much do veneers cost in mexico,0,1,0,44
2024-06-28,2024-06-28,esp,mexico teeth veneers,0,1,0,79
2024-06-28,2024-06-28,esp,servicios dentales globales,0,1,0,73
2024-06-28,2024-06-28,esp,veneers cost in mexico,0,1,0,37
2024-06-29,2024-06-29,esp,veneers in cancun mexico cost,0,1,0,36
2024-06-30,2024-06-30,esp,cost of teeth veneers in mexico,0,1,0,51
2024-07-01,2024-07-01,esp,best veneers in mexico,0,1,0,63
2024-07-01,2024-07-01,esp,cost of veneers in mexico,0,1,0,51
2024-07-01,2024-07-01,esp,getting dental implants in mexico,0,1,0,50
2024-07-01,2024-07-01,esp,veneers cost cancun,0,1,0,25
2024-07-01,2024-07-01,esp,veneers cost mexico,0,1,0,42
2024-07-01,2024-07-01,esp,veneers in cancun mexico cost,0,1,0,37
