start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,5,90,0.05555555555555555,16.08888888888889
2024-05-08,2024-05-14,7,115,0.06086956521739131,15.147826086956522
2024-05-15,2024-05-21,7,115,0.06086956521739131,17.46086956521739
2024-05-22,2024-05-28,7,132,0.05303030303030303,22.833333333333332
2024-05-29,2024-06-04,6,96,0.0625,23
2024-06-05,2024-06-11,12,125,0.096,19.92
2024-06-12,2024-06-18,7,125,0.056,22.768
2024-06-19,2024-06-25,11,148,0.07432432432432433,21.62837837837838
2024-06-26,2024-07-02,5,145,0.034482758620689655,27.089655172413792
2024-07-03,2024-07-09,12,114,0.10526315789473684,22.719298245614034
2024-07-10,2024-07-16,15,126,0.11904761904761904,17.444444444444443
2024-07-17,2024-07-23,10,173,0.057803468208092484,24.78034682080925
2024-07-24,2024-07-30,18,240,0.075,24.958333333333332
2024-07-31,2024-08-06,8,296,0.02702702702702703,33.41554054054054
2024-08-07,2024-08-13,22,278,0.07913669064748201,27.345323741007196
2024-08-14,2024-08-20,16,341,0.0469208211143695,40.78299120234604
2024-08-21,2024-08-27,12,316,0.0379746835443038,31.7626582278481
2024-08-28,2024-09-03,18,352,0.05113636363636364,26.610795454545453
2024-09-04,2024-09-10,18,484,0.0371900826446281,27.462809917355372
2024-09-11,2024-09-17,18,421,0.04275534441805225,28.152019002375297
2024-09-18,2024-09-24,27,447,0.06040268456375839,32.96868008948546
2024-09-25,2024-10-01,14,405,0.0345679012345679,40.25185185185185
2024-10-02,2024-10-08,21,507,0.04142011834319527,42.85009861932939
2024-10-09,2024-10-15,11,488,0.022540983606557378,52.58606557377049
2024-10-16,2024-10-22,24,790,0.030379746835443037,50.73924050632911
2024-10-23,2024-10-29,31,725,0.04275862068965517,52.23586206896552
2024-10-30,2024-11-05,19,888,0.021396396396396396,52.987612612612615
2024-11-06,2024-11-12,18,870,0.020689655172413793,53.35747126436782
2024-11-13,2024-11-19,13,1104,0.01177536231884058,50.05797101449275
2024-11-20,2024-11-26,16,948,0.016877637130801686,49.21518987341772
2024-11-27,2024-12-03,17,1002,0.016966067864271458,48.268463073852296
2024-12-04,2024-12-10,15,944,0.015889830508474576,52.00847457627118
2024-12-11,2024-12-17,12,715,0.016783216783216783,49.89230769230769
2024-12-18,2024-12-24,4,571,0.0070052539404553416,46.106830122591944
2024-12-25,2024-12-31,7,618,0.011326860841423949,49.05825242718446
2025-01-01,2025-01-07,11,679,0.016200294550810016,46.0559646539028
2025-01-08,2025-01-14,8,420,0.01904761904761905,32.26190476190476
2025-01-15,2025-01-21,15,406,0.03694581280788178,28.536945812807883
2025-01-22,2025-01-28,13,462,0.02813852813852814,36.09090909090909
2025-01-29,2025-02-04,15,388,0.03865979381443299,35.58762886597938
2025-02-05,2025-02-11,12,390,0.03076923076923077,33.3
2025-02-12,2025-02-18,18,405,0.044444444444444446,33.382716049382715
2025-02-19,2025-02-25,15,333,0.04504504504504504,28.654654654654653
2025-02-26,2025-03-04,6,261,0.022988505747126436,30.521072796934867
2025-03-05,2025-03-11,5,279,0.017921146953405017,22.967741935483872
2025-03-12,2025-03-18,21,374,0.05614973262032086,26.620320855614974
2025-03-19,2025-03-25,8,275,0.02909090909090909,32.989090909090905
2025-03-26,2025-04-01,11,415,0.02650602409638554,27.951807228915662
2025-04-02,2025-04-08,15,400,0.0375,27.8925
2025-04-09,2025-04-15,13,320,0.040625,27.090625
2025-04-16,2025-04-22,10,336,0.02976190476190476,28.050595238095237
2025-04-23,2025-04-29,14,342,0.04093567251461988,24.961988304093566
2025-04-30,2025-05-06,9,406,0.022167487684729065,30.45320197044335
2025-05-07,2025-05-13,11,411,0.0267639902676399,31.180048661800488
2025-05-14,2025-05-20,16,432,0.037037037037037035,32.72222222222222
2025-05-21,2025-05-27,12,356,0.033707865168539325,35.46067415730337
2025-05-28,2025-06-03,21,343,0.061224489795918366,29.571428571428573
2025-06-04,2025-06-10,8,390,0.020512820512820513,34.235897435897435
2025-06-11,2025-06-17,11,272,0.04044117647058824,22.580882352941178
2025-06-18,2025-06-24,10,341,0.02932551319648094,31.609970674486803
2025-06-25,2025-07-01,19,364,0.0521978021978022,28.785714285714285
2025-07-02,2025-07-08,9,403,0.022332506203473945,32.06203473945409
2025-07-09,2025-07-15,8,382,0.020942408376963352,37.712041884816756
2025-07-16,2025-07-22,10,544,0.01838235294117647,28.292279411764707
2025-07-23,2025-07-29,26,341,0.07624633431085044,20.20234604105572
2025-07-30,2025-08-05,13,360,0.03611111111111111,16.58611111111111
2025-08-06,2025-08-12,15,303,0.04950495049504951,19.465346534653467
2025-08-13,2025-08-19,7,435,0.016091954022988506,18.977011494252874
2025-08-20,2025-08-24,10,258,0.03875968992248062,23.375968992248062
