start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,0,0,0
2024-08-28,2024-09-03,0,0,0,0
2024-09-04,2024-09-10,0,0,0,0
2024-09-11,2024-09-17,0,0,0,0
2024-09-18,2024-09-24,0,0,0,0
2024-09-25,2024-10-01,0,0,0,0
2024-10-02,2024-10-08,0,0,0,0
2024-10-09,2024-10-15,0,0,0,0
2024-10-16,2024-10-22,0,0,0,0
2024-10-23,2024-10-29,0,0,0,0
2024-10-30,2024-11-05,0,0,0,0
2024-11-06,2024-11-12,0,0,0,0
2024-11-13,2024-11-19,0,0,0,0
2024-11-20,2024-11-26,0,0,0,0
2024-11-27,2024-12-03,0,0,0,0
2024-12-04,2024-12-10,0,0,0,0
2024-12-11,2024-12-17,0,0,0,0
2024-12-18,2024-12-24,0,0,0,0
2024-12-25,2024-12-31,0,0,0,0
2025-01-01,2025-01-07,0,0,0,0
2025-01-08,2025-01-14,0,0,0,0
2025-01-15,2025-01-21,0,0,0,0
2025-01-22,2025-01-28,0,5,0,4.2
2025-01-29,2025-02-04,0,9,0,6.111111111111111
2025-02-05,2025-02-11,0,8,0,10.625
2025-02-12,2025-02-18,0,19,0,15.210526315789474
2025-02-19,2025-02-25,0,17,0,22.941176470588236
2025-02-26,2025-03-04,0,21,0,29.571428571428573
2025-03-05,2025-03-11,0,15,0,39.733333333333334
2025-03-12,2025-03-18,0,11,0,56.27272727272727
2025-03-19,2025-03-25,0,6,0,20.833333333333332
2025-03-26,2025-04-01,0,24,0,10.958333333333334
2025-04-02,2025-04-08,0,46,0,12.130434782608695
2025-04-09,2025-04-15,0,41,0,9.317073170731707
2025-04-16,2025-04-22,0,66,0,9.712121212121213
2025-04-23,2025-04-29,0,74,0,11.18918918918919
2025-04-30,2025-05-06,0,59,0,17.779661016949152
2025-05-07,2025-05-13,0,115,0,59.45217391304348
2025-05-14,2025-05-20,0,96,0,44.875
2025-05-21,2025-05-27,0,81,0,35.641975308641975
2025-05-28,2025-06-03,0,87,0,35.10344827586207
2025-06-04,2025-06-10,0,216,0,61.5462962962963
2025-06-11,2025-06-17,0,208,0,60.68269230769231
2025-06-18,2025-06-24,0,284,0,71.9894366197183
2025-06-25,2025-07-01,0,294,0,69.14625850340136
2025-07-02,2025-07-08,0,312,0,64.63782051282051
2025-07-09,2025-07-15,0,250,0,73.736
2025-07-16,2025-07-22,0,168,0,76
2025-07-23,2025-07-29,0,135,0,66.05185185185185
2025-07-30,2025-08-05,0,140,0,44.371428571428574
2025-08-06,2025-08-12,0,94,0,49.95744680851064
2025-08-13,2025-08-18,0,95,0,46.97894736842105
