start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,14,0,5.428571428571429
2024-05-08,2024-05-14,0,12,0,6.083333333333333
2024-05-15,2024-05-21,1,5,0.2,8
2024-05-22,2024-05-28,0,7,0,7.714285714285714
2024-05-29,2024-06-04,0,4,0,8.75
2024-06-05,2024-06-11,0,7,0,6.142857142857143
2024-06-12,2024-06-18,0,1,0,4
2024-06-19,2024-06-25,0,2,0,12
2024-06-26,2024-07-02,0,3,0,6.666666666666667
2024-07-03,2024-07-09,1,3,0.3333333333333333,1
2024-07-10,2024-07-16,0,3,0,1.3333333333333333
2024-07-17,2024-07-23,0,3,0,5.333333333333333
2024-07-24,2024-07-30,0,7,0,7.285714285714286
2024-07-31,2024-08-06,2,8,0.25,4.75
2024-08-07,2024-08-13,0,21,0,12.19047619047619
2024-08-14,2024-08-20,1,41,0.024390243902439025,7.317073170731708
2024-08-21,2024-08-27,9,45,0.2,6.777777777777778
2024-08-28,2024-09-03,1,48,0.020833333333333332,9.979166666666666
2024-09-04,2024-09-10,1,75,0.013333333333333334,10.093333333333334
2024-09-11,2024-09-17,0,76,0,9.368421052631579
2024-09-18,2024-09-24,0,58,0,11.431034482758621
2024-09-25,2024-10-01,0,40,0,9.775
2024-10-02,2024-10-08,0,61,0,10.360655737704919
2024-10-09,2024-10-15,0,40,0,12.375
2024-10-16,2024-10-22,0,72,0,12.01388888888889
2024-10-23,2024-10-29,0,57,0,7.666666666666667
2024-10-30,2024-11-05,0,61,0,8.40983606557377
2024-11-06,2024-11-12,0,87,0,8.183908045977011
2024-11-13,2024-11-19,0,75,0,8.946666666666665
2024-11-20,2024-11-26,0,78,0,8.461538461538462
2024-11-27,2024-12-03,0,91,0,9.45054945054945
2024-12-04,2024-12-10,0,95,0,11.08421052631579
2024-12-11,2024-12-17,0,66,0,10.696969696969697
2024-12-18,2024-12-24,0,65,0,9.461538461538462
2024-12-25,2024-12-31,0,46,0,8.108695652173914
2025-01-01,2025-01-07,0,82,0,8.085365853658537
2025-01-08,2025-01-14,0,64,0,7.375
2025-01-15,2025-01-21,0,71,0,8.140845070422536
2025-01-22,2025-01-28,1,44,0.022727272727272728,7.909090909090909
2025-01-29,2025-02-04,0,43,0,8.186046511627907
2025-02-05,2025-02-11,0,28,0,7.821428571428571
2025-02-12,2025-02-18,0,61,0,7.80327868852459
2025-02-19,2025-02-25,0,50,0,7.8
2025-02-26,2025-03-04,0,32,0,11.5
2025-03-05,2025-03-11,0,19,0,7.105263157894737
2025-03-12,2025-03-18,0,43,0,8.441860465116278
2025-03-19,2025-03-25,0,6,0,13.5
2025-03-26,2025-04-01,0,12,0,13.083333333333334
2025-04-02,2025-04-08,0,20,0,24.45
2025-04-09,2025-04-15,0,9,0,29.666666666666668
2025-04-16,2025-04-22,0,15,0,5.333333333333333
2025-04-23,2025-04-29,0,8,0,11.875
2025-04-30,2025-05-06,0,11,0,23.454545454545453
2025-05-07,2025-05-13,1,10,0.1,5
2025-05-14,2025-05-20,0,89,0,7.056179775280899
2025-05-21,2025-05-27,2,94,0.02127659574468085,8.063829787234042
2025-05-28,2025-06-03,0,107,0,6.570093457943925
2025-06-04,2025-06-10,1,89,0.011235955056179775,8.483146067415731
2025-06-11,2025-06-17,0,89,0,8.573033707865168
2025-06-18,2025-06-24,1,87,0.011494252873563218,5.862068965517241
2025-06-25,2025-07-01,0,107,0,6.654205607476635
2025-07-02,2025-07-08,0,95,0,10.6
2025-07-09,2025-07-15,0,79,0,6.69620253164557
2025-07-16,2025-07-22,0,49,0,21.53061224489796
2025-07-23,2025-07-29,0,39,0,15.205128205128204
2025-07-30,2025-08-05,0,7,0,18.571428571428573
2025-08-06,2025-08-12,0,0,0,0
2025-08-13,2025-08-19,0,0,0,0
2025-08-20,2025-08-24,0,0,0,0
