start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,1,0,9
2024-05-08,2024-05-14,0,2,0,4
2024-05-15,2024-05-21,0,4,0,13.25
2024-05-22,2024-05-28,1,23,0.043478260869565216,45.26086956521739
2024-05-29,2024-06-04,0,16,0,47.9375
2024-06-05,2024-06-11,0,18,0,56.44444444444444
2024-06-12,2024-06-18,1,24,0.041666666666666664,45.083333333333336
2024-06-19,2024-06-25,2,11,0.18181818181818182,46.45454545454545
2024-06-26,2024-07-02,0,18,0,41.55555555555556
2024-07-03,2024-07-09,1,31,0.03225806451612903,35
2024-07-10,2024-07-16,1,25,0.04,41.52
2024-07-17,2024-07-23,1,28,0.03571428571428571,37.285714285714285
2024-07-24,2024-07-30,1,22,0.045454545454545456,41.77272727272727
2024-07-31,2024-08-06,1,43,0.023255813953488372,22.953488372093023
2024-08-07,2024-08-13,0,50,0,22.12
2024-08-14,2024-08-20,0,28,0,30.892857142857142
2024-08-21,2024-08-27,3,36,0.08333333333333333,30.63888888888889
2024-08-28,2024-09-03,1,36,0.027777777777777776,34.94444444444444
2024-09-04,2024-09-10,1,62,0.016129032258064516,31.258064516129032
2024-09-11,2024-09-17,1,63,0.015873015873015872,27.92063492063492
2024-09-18,2024-09-24,1,59,0.01694915254237288,32.25423728813559
2024-09-25,2024-10-01,1,39,0.02564102564102564,40.07692307692308
2024-10-02,2024-10-08,2,45,0.044444444444444446,35.044444444444444
2024-10-09,2024-10-15,4,89,0.0449438202247191,46.12359550561798
2024-10-16,2024-10-22,1,65,0.015384615384615385,30.846153846153847
2024-10-23,2024-10-29,0,62,0,36.596774193548384
2024-10-30,2024-11-05,0,47,0,28.148936170212767
2024-11-06,2024-11-12,1,34,0.029411764705882353,17.647058823529413
2024-11-13,2024-11-19,5,55,0.09090909090909091,25.036363636363635
2024-11-20,2024-11-26,1,43,0.023255813953488372,37.372093023255815
2024-11-27,2024-12-03,2,42,0.047619047619047616,20.88095238095238
2024-12-04,2024-12-10,2,61,0.03278688524590164,23.60655737704918
2024-12-11,2024-12-17,1,51,0.0196078431372549,24.235294117647058
2024-12-18,2024-12-24,1,54,0.018518518518518517,55.24074074074074
2024-12-25,2024-12-31,0,55,0,59.50909090909091
2025-01-01,2025-01-07,1,59,0.01694915254237288,40.08474576271186
2025-01-08,2025-01-14,3,59,0.05084745762711865,44.08474576271186
2025-01-15,2025-01-21,2,34,0.058823529411764705,50
2025-01-22,2025-01-28,0,39,0,34.43589743589744
2025-01-29,2025-02-04,0,55,0,44.61818181818182
2025-02-05,2025-02-11,2,73,0.0273972602739726,29.575342465753426
2025-02-12,2025-02-18,1,78,0.01282051282051282,29.17948717948718
2025-02-19,2025-02-25,4,70,0.05714285714285714,21.757142857142856
2025-02-26,2025-03-04,2,60,0.03333333333333333,33.75
2025-03-05,2025-03-11,0,88,0,33.19318181818182
2025-03-12,2025-03-18,2,105,0.01904761904761905,37.97142857142857
2025-03-19,2025-03-25,3,93,0.03225806451612903,34.333333333333336
2025-03-26,2025-04-01,3,100,0.03,44.47
2025-04-02,2025-04-08,3,129,0.023255813953488372,37.86821705426357
2025-04-09,2025-04-15,1,95,0.010526315789473684,38.23157894736842
2025-04-16,2025-04-22,0,99,0,36.64646464646464
2025-04-23,2025-04-29,1,110,0.00909090909090909,30.01818181818182
2025-04-30,2025-05-06,2,149,0.013422818791946308,33.308724832214764
2025-05-07,2025-05-13,0,125,0,38.872
2025-05-14,2025-05-20,1,207,0.004830917874396135,35.729468599033815
2025-05-21,2025-05-27,5,147,0.034013605442176874,35.63945578231292
2025-05-28,2025-06-03,1,185,0.005405405405405406,36.41621621621621
2025-06-04,2025-06-10,2,119,0.01680672268907563,31.168067226890756
2025-06-11,2025-06-17,1,82,0.012195121951219513,30.682926829268293
2025-06-18,2025-06-24,2,110,0.01818181818181818,17.418181818181818
2025-06-25,2025-07-01,2,102,0.0196078431372549,15.549019607843137
2025-07-02,2025-07-08,3,81,0.037037037037037035,20.25925925925926
2025-07-09,2025-07-15,0,156,0,20.42948717948718
2025-07-16,2025-07-22,0,123,0,42.983739837398375
2025-07-23,2025-07-29,0,105,0,23.133333333333333
2025-07-30,2025-08-05,0,118,0,23.78813559322034
2025-08-06,2025-08-12,0,105,0,26.61904761904762
2025-08-13,2025-08-18,1,103,0.009708737864077669,19.640776699029125
