start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,12,0,58.666666666666664
2024-05-22,2024-05-28,0,3,0,35.333333333333336
2024-05-29,2024-06-04,0,1,0,19
2024-06-05,2024-06-11,0,4,0,9
2024-06-12,2024-06-18,1,1,1,3
2024-06-19,2024-06-25,0,8,0,41.75
2024-06-26,2024-07-02,0,90,0,59.41111111111111
2024-07-03,2024-07-09,0,70,0,58.17142857142857
2024-07-10,2024-07-16,0,61,0,50.42622950819672
2024-07-17,2024-07-23,0,63,0,46.888888888888886
2024-07-24,2024-07-30,0,47,0,50.57446808510638
2024-07-31,2024-08-06,0,98,0,62.83673469387755
2024-08-07,2024-08-13,0,85,0,50.1764705882353
2024-08-14,2024-08-20,0,81,0,50.24691358024691
2024-08-21,2024-08-27,0,95,0,50.09473684210526
2024-08-28,2024-09-03,0,80,0,54.675
2024-09-04,2024-09-10,0,98,0,54.857142857142854
2024-09-11,2024-09-17,0,110,0,59.49090909090909
2024-09-18,2024-09-24,0,165,0,58.27272727272727
2024-09-25,2024-10-01,0,128,0,63.4140625
2024-10-02,2024-10-08,0,107,0,60.45794392523364
2024-10-09,2024-10-15,0,137,0,61.416058394160586
2024-10-16,2024-10-22,0,133,0,51.24812030075188
2024-10-23,2024-10-29,0,118,0,59.11864406779661
2024-10-30,2024-11-05,0,84,0,59
2024-11-06,2024-11-12,0,102,0,48.088235294117645
2024-11-13,2024-11-19,0,121,0,43.87603305785124
2024-11-20,2024-11-26,0,204,0,52.55882352941177
2024-11-27,2024-12-03,0,161,0,52.47204968944099
2024-12-04,2024-12-10,0,145,0,54.55172413793103
2024-12-11,2024-12-17,0,160,0,56.45625
2024-12-18,2024-12-24,0,106,0,45.62264150943396
2024-12-25,2024-12-31,0,113,0,46.69911504424779
2025-01-01,2025-01-07,2,124,0.016129032258064516,40.766129032258064
2025-01-08,2025-01-14,0,108,0,45.44444444444444
2025-01-15,2025-01-21,1,100,0.01,44.94
2025-01-22,2025-01-28,0,132,0,43.515151515151516
2025-01-29,2025-02-04,0,96,0,47.9375
2025-02-05,2025-02-11,0,67,0,40.298507462686565
2025-02-12,2025-02-18,0,72,0,49.388888888888886
2025-02-19,2025-02-25,1,78,0.01282051282051282,35.37179487179487
2025-02-26,2025-03-04,0,60,0,55.766666666666666
2025-03-05,2025-03-11,0,107,0,52.242990654205606
2025-03-12,2025-03-18,0,91,0,44.32967032967033
2025-03-19,2025-03-25,0,81,0,43.82716049382716
2025-03-26,2025-04-01,0,88,0,36.125
2025-04-02,2025-04-08,0,55,0,33.54545454545455
2025-04-09,2025-04-15,0,67,0,42.47761194029851
2025-04-16,2025-04-22,0,62,0,33.12903225806452
2025-04-23,2025-04-29,0,54,0,18.685185185185187
2025-04-30,2025-05-06,2,57,0.03508771929824561,25.12280701754386
2025-05-07,2025-05-13,1,38,0.02631578947368421,21.789473684210527
2025-05-14,2025-05-20,0,57,0,27.385964912280702
2025-05-21,2025-05-27,0,128,0,26.8515625
2025-05-28,2025-06-03,0,99,0,17.717171717171716
2025-06-04,2025-06-10,0,51,0,20.333333333333332
2025-06-11,2025-06-17,0,59,0,20.135593220338983
2025-06-18,2025-06-24,1,77,0.012987012987012988,27.285714285714285
2025-06-25,2025-07-01,0,114,0,30.982456140350877
2025-07-02,2025-07-08,0,110,0,22.59090909090909
2025-07-09,2025-07-15,1,113,0.008849557522123894,30.58407079646018
2025-07-16,2025-07-22,0,139,0,30.309352517985612
2025-07-23,2025-07-29,0,94,0,25.585106382978722
2025-07-30,2025-08-05,0,42,0,34.30952380952381
2025-08-06,2025-08-12,0,44,0,27.5
2025-08-13,2025-08-19,0,73,0,20.89041095890411
2025-08-20,2025-08-24,0,41,0,24.658536585365855
