start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,1,0,6
2024-05-08,2024-05-14,0,13,0,36.84615384615385
2024-05-15,2024-05-21,0,7,0,14.285714285714286
2024-05-22,2024-05-28,0,13,0,18
2024-05-29,2024-06-04,0,5,0,39.8
2024-06-05,2024-06-11,0,7,0,12.142857142857142
2024-06-12,2024-06-18,0,11,0,8.181818181818182
2024-06-19,2024-06-25,0,9,0,19.555555555555557
2024-06-26,2024-07-02,0,10,0,6
2024-07-03,2024-07-09,2,14,0.14285714285714285,14.5
2024-07-10,2024-07-16,0,12,0,11.666666666666666
2024-07-17,2024-07-23,0,12,0,9.666666666666666
2024-07-24,2024-07-30,0,12,0,15.333333333333334
2024-07-31,2024-08-06,0,12,0,7.25
2024-08-07,2024-08-13,1,22,0.045454545454545456,18.318181818181817
2024-08-14,2024-08-20,0,16,0,10.75
2024-08-21,2024-08-27,0,18,0,5.166666666666667
2024-08-28,2024-09-03,2,41,0.04878048780487805,10.097560975609756
2024-09-04,2024-09-10,0,9,0,12.222222222222221
2024-09-11,2024-09-17,1,14,0.07142857142857142,8.428571428571429
2024-09-18,2024-09-24,1,17,0.058823529411764705,6.411764705882353
2024-09-25,2024-10-01,2,19,0.10526315789473684,7.2105263157894735
2024-10-02,2024-10-08,0,13,0,15
2024-10-09,2024-10-15,0,22,0,19.681818181818183
2024-10-16,2024-10-22,1,18,0.05555555555555555,8.5
2024-10-23,2024-10-29,1,12,0.08333333333333333,21.75
2024-10-30,2024-11-05,0,14,0,19.785714285714285
2024-11-06,2024-11-12,2,24,0.08333333333333333,5.625
2024-11-13,2024-11-19,0,20,0,10.75
2024-11-20,2024-11-26,0,23,0,17.956521739130434
2024-11-27,2024-12-03,1,24,0.041666666666666664,13.791666666666666
2024-12-04,2024-12-10,0,17,0,20.764705882352942
2024-12-11,2024-12-17,0,20,0,18.75
2024-12-18,2024-12-24,0,11,0,13
2024-12-25,2024-12-31,0,13,0,11.384615384615385
2025-01-01,2025-01-07,0,18,0,10.222222222222221
2025-01-08,2025-01-14,0,16,0,23.6875
2025-01-15,2025-01-21,1,27,0.037037037037037035,11.407407407407407
2025-01-22,2025-01-28,1,25,0.04,9.96
2025-01-29,2025-02-04,0,20,0,11.15
2025-02-05,2025-02-11,0,24,0,18.666666666666668
2025-02-12,2025-02-18,1,29,0.034482758620689655,11.793103448275861
2025-02-19,2025-02-25,2,44,0.045454545454545456,13.022727272727273
2025-02-26,2025-03-04,0,34,0,5.029411764705882
2025-03-05,2025-03-11,1,51,0.0196078431372549,4.901960784313726
2025-03-12,2025-03-18,2,43,0.046511627906976744,2.9069767441860463
2025-03-19,2025-03-25,1,35,0.02857142857142857,12.342857142857143
2025-03-26,2025-04-01,0,33,0,17.424242424242426
2025-04-02,2025-04-08,0,46,0,8.065217391304348
2025-04-09,2025-04-15,1,35,0.02857142857142857,8.085714285714285
2025-04-16,2025-04-22,0,29,0,13.655172413793103
2025-04-23,2025-04-29,0,53,0,6.037735849056604
2025-04-30,2025-05-06,0,38,0,9.526315789473685
2025-05-07,2025-05-13,1,60,0.016666666666666666,6.916666666666667
2025-05-14,2025-05-20,2,71,0.028169014084507043,6.183098591549296
2025-05-21,2025-05-27,0,46,0,21.869565217391305
2025-05-28,2025-06-03,0,26,0,9.884615384615385
2025-06-04,2025-06-10,0,42,0,3.238095238095238
2025-06-11,2025-06-17,0,40,0,4.975
2025-06-18,2025-06-24,0,39,0,4.897435897435898
2025-06-25,2025-07-01,1,36,0.027777777777777776,10.027777777777779
2025-07-02,2025-07-08,0,31,0,19.774193548387096
2025-07-09,2025-07-15,0,33,0,11.878787878787879
2025-07-16,2025-07-22,1,37,0.02702702702702703,4.72972972972973
2025-07-23,2025-07-29,0,34,0,11.029411764705882
2025-07-30,2025-08-05,0,42,0,6.4523809523809526
2025-08-06,2025-08-12,0,24,0,8.791666666666668
2025-08-13,2025-08-18,0,17,0,8.294117647058822
