start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,0,0,0
2024-08-28,2024-09-03,0,0,0,0
2024-09-04,2024-09-10,0,0,0,0
2024-09-11,2024-09-17,0,0,0,0
2024-09-18,2024-09-24,0,0,0,0
2024-09-25,2024-10-01,0,0,0,0
2024-10-02,2024-10-08,0,0,0,0
2024-10-09,2024-10-15,0,0,0,0
2024-10-16,2024-10-22,0,0,0,0
2024-10-23,2024-10-29,0,0,0,0
2024-10-30,2024-11-05,0,0,0,0
2024-11-06,2024-11-12,0,0,0,0
2024-11-13,2024-11-19,0,0,0,0
2024-11-20,2024-11-26,0,0,0,0
2024-11-27,2024-12-03,0,0,0,0
2024-12-04,2024-12-10,0,0,0,0
2024-12-11,2024-12-17,0,0,0,0
2024-12-18,2024-12-24,0,0,0,0
2024-12-25,2024-12-31,0,0,0,0
2025-01-01,2025-01-07,0,0,0,0
2025-01-08,2025-01-14,0,0,0,0
2025-01-15,2025-01-21,0,0,0,0
2025-01-22,2025-01-28,0,0,0,0
2025-01-29,2025-02-04,0,0,0,0
2025-02-05,2025-02-11,0,0,0,0
2025-02-12,2025-02-18,0,0,0,0
2025-02-19,2025-02-25,0,0,0,0
2025-02-26,2025-03-04,0,0,0,0
2025-03-05,2025-03-11,0,0,0,0
2025-03-12,2025-03-18,0,0,0,0
2025-03-19,2025-03-25,0,0,0,0
2025-03-26,2025-04-01,0,0,0,0
2025-04-02,2025-04-08,0,0,0,0
2025-04-09,2025-04-15,0,81,0,33.111111111111114
2025-04-16,2025-04-22,0,375,0,38.21333333333333
2025-04-23,2025-04-29,2,694,0.002881844380403458,38.873198847262245
2025-04-30,2025-05-06,2,874,0.002288329519450801,39.567505720823796
2025-05-07,2025-05-13,2,977,0.0020470829068577278,40.97031729785056
2025-05-14,2025-05-20,1,908,0.0011013215859030838,39.868942731277535
2025-05-21,2025-05-27,3,710,0.004225352112676056,38.03943661971831
2025-05-28,2025-06-03,2,602,0.0033222591362126247,33.411960132890364
2025-06-04,2025-06-10,3,1067,0.0028116213683223993,36.87347703842549
2025-06-11,2025-06-17,1,966,0.0010351966873706005,36.86335403726708
2025-06-18,2025-06-24,1,858,0.0011655011655011655,39.29020979020979
2025-06-25,2025-07-01,0,771,0,40.391699092088196
2025-07-02,2025-07-08,1,611,0.0016366612111292963,31.656301145662848
2025-07-09,2025-07-15,0,570,0,32.38421052631579
2025-07-16,2025-07-22,1,184,0.005434782608695652,35.93478260869565
2025-07-23,2025-07-29,0,220,0,37.845454545454544
2025-07-30,2025-08-05,0,235,0,27.21276595744681
2025-08-06,2025-08-12,0,228,0,35.171052631578945
2025-08-13,2025-08-19,0,312,0,36.94551282051282
2025-08-20,2025-08-24,1,242,0.004132231404958678,30.56611570247934
