start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,0,0,0
2024-08-28,2024-09-03,0,0,0,0
2024-09-04,2024-09-10,0,0,0,0
2024-09-11,2024-09-17,0,0,0,0
2024-09-18,2024-09-24,0,0,0,0
2024-09-25,2024-10-01,0,0,0,0
2024-10-02,2024-10-08,0,0,0,0
2024-10-09,2024-10-15,0,0,0,0
2024-10-16,2024-10-22,0,0,0,0
2024-10-23,2024-10-29,0,0,0,0
2024-10-30,2024-11-05,0,0,0,0
2024-11-06,2024-11-12,0,0,0,0
2024-11-13,2024-11-19,0,0,0,0
2024-11-20,2024-11-26,0,0,0,0
2024-11-27,2024-12-03,0,0,0,0
2024-12-04,2024-12-10,0,0,0,0
2024-12-11,2024-12-17,0,39,0,41.69230769230769
2024-12-18,2024-12-24,0,59,0,44.23728813559322
2024-12-25,2024-12-31,1,57,0.017543859649122806,37.3859649122807
2025-01-01,2025-01-07,1,76,0.013157894736842105,38.13157894736842
2025-01-08,2025-01-14,0,71,0,36.46478873239437
2025-01-15,2025-01-21,0,94,0,31.319148936170212
2025-01-22,2025-01-28,1,90,0.011111111111111112,34.71111111111111
2025-01-29,2025-02-04,0,52,0,28.442307692307693
2025-02-05,2025-02-11,0,69,0,24.130434782608695
2025-02-12,2025-02-18,0,66,0,26.28787878787879
2025-02-19,2025-02-25,1,74,0.013513513513513514,23.14864864864865
2025-02-26,2025-03-04,1,56,0.017857142857142856,28.928571428571427
2025-03-05,2025-03-11,0,52,0,25.75
2025-03-12,2025-03-18,0,50,0,30.36
2025-03-19,2025-03-25,1,46,0.021739130434782608,32.869565217391305
2025-03-26,2025-04-01,0,133,0,21.406015037593985
2025-04-02,2025-04-08,1,78,0.01282051282051282,25.628205128205128
2025-04-09,2025-04-15,1,104,0.009615384615384616,25
2025-04-16,2025-04-22,0,104,0,23.471153846153847
2025-04-23,2025-04-29,3,101,0.0297029702970297,24.514851485148515
2025-04-30,2025-05-06,2,74,0.02702702702702703,30.89189189189189
2025-05-07,2025-05-13,0,105,0,36.43809523809524
2025-05-14,2025-05-20,1,90,0.011111111111111112,33.65555555555556
2025-05-21,2025-05-27,1,80,0.0125,39.775
2025-05-28,2025-06-03,2,112,0.017857142857142856,31.098214285714285
2025-06-04,2025-06-10,1,71,0.014084507042253521,31.338028169014084
2025-06-11,2025-06-17,0,73,0,36.534246575342465
2025-06-18,2025-06-24,2,78,0.02564102564102564,28.602564102564102
2025-06-25,2025-07-01,0,110,0,35.21818181818182
2025-07-02,2025-07-08,0,96,0,31.822916666666668
2025-07-09,2025-07-15,1,138,0.007246376811594203,34.71739130434783
2025-07-16,2025-07-22,1,144,0.006944444444444444,32.423611111111114
2025-07-23,2025-07-29,0,113,0,37.442477876106196
2025-07-30,2025-08-05,0,90,0,38.93333333333333
2025-08-06,2025-08-12,0,112,0,32.83035714285714
2025-08-13,2025-08-18,0,116,0,24.862068965517242
