start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,15,0,26
2024-05-08,2024-05-14,0,16,0,18.25
2024-05-15,2024-05-21,0,14,0,28.142857142857142
2024-05-22,2024-05-28,0,14,0,74.07142857142857
2024-05-29,2024-06-04,1,6,0.16666666666666666,12.5
2024-06-05,2024-06-11,1,14,0.07142857142857142,29.571428571428573
2024-06-12,2024-06-18,0,18,0,31.72222222222222
2024-06-19,2024-06-25,0,15,0,11.333333333333334
2024-06-26,2024-07-02,0,17,0,85.41176470588235
2024-07-03,2024-07-09,0,19,0,98.10526315789474
2024-07-10,2024-07-16,0,21,0,36.19047619047619
2024-07-17,2024-07-23,0,19,0,40.8421052631579
2024-07-24,2024-07-30,0,17,0,30.41176470588235
2024-07-31,2024-08-06,0,12,0,58.916666666666664
2024-08-07,2024-08-13,0,11,0,87.54545454545455
2024-08-14,2024-08-20,0,14,0,43.142857142857146
2024-08-21,2024-08-27,0,27,0,110.74074074074075
2024-08-28,2024-09-03,0,14,0,63.142857142857146
2024-09-04,2024-09-10,0,9,0,55.111111111111114
2024-09-11,2024-09-17,0,20,0,54.35
2024-09-18,2024-09-24,0,29,0,49.41379310344828
2024-09-25,2024-10-01,1,14,0.07142857142857142,10.428571428571429
2024-10-02,2024-10-08,0,24,0,31.583333333333332
2024-10-09,2024-10-15,0,17,0,22.470588235294116
2024-10-16,2024-10-22,0,15,0,64.6
2024-10-23,2024-10-29,1,31,0.03225806451612903,26.548387096774192
2024-10-30,2024-11-05,0,12,0,16
2024-11-06,2024-11-12,0,11,0,28.636363636363637
2024-11-13,2024-11-19,0,15,0,28.066666666666666
2024-11-20,2024-11-26,0,29,0,23.620689655172413
2024-11-27,2024-12-03,0,34,0,57.794117647058826
2024-12-04,2024-12-10,1,43,0.023255813953488372,37.53488372093023
2024-12-11,2024-12-17,0,48,0,57.833333333333336
2024-12-18,2024-12-24,0,17,0,68.23529411764706
2024-12-25,2024-12-31,0,20,0,70.25
2025-01-01,2025-01-07,0,18,0,70.11111111111111
2025-01-08,2025-01-14,0,24,0,37.583333333333336
2025-01-15,2025-01-21,2,33,0.06060606060606061,43.515151515151516
2025-01-22,2025-01-28,0,31,0,52.45161290322581
2025-01-29,2025-02-04,1,48,0.020833333333333332,50.666666666666664
2025-02-05,2025-02-11,0,39,0,56.35897435897436
2025-02-12,2025-02-18,0,47,0,63.148936170212764
2025-02-19,2025-02-25,0,44,0,48.59090909090909
2025-02-26,2025-03-04,1,34,0.029411764705882353,68.52941176470588
2025-03-05,2025-03-11,1,34,0.029411764705882353,52.11764705882353
2025-03-12,2025-03-18,0,23,0,42.26086956521739
2025-03-19,2025-03-25,0,30,0,58.733333333333334
2025-03-26,2025-04-01,0,38,0,41.421052631578945
2025-04-02,2025-04-08,0,59,0,39.11864406779661
2025-04-09,2025-04-15,0,46,0,36.30434782608695
2025-04-16,2025-04-22,0,33,0,41.57575757575758
2025-04-23,2025-04-29,0,33,0,80.48484848484848
2025-04-30,2025-05-06,0,41,0,55.170731707317074
2025-05-07,2025-05-13,1,36,0.027777777777777776,37.083333333333336
2025-05-14,2025-05-20,0,45,0,47.86666666666667
2025-05-21,2025-05-27,0,20,0,52.7
2025-05-28,2025-06-03,0,45,0,59.31111111111111
2025-06-04,2025-06-10,0,38,0,67.63157894736842
2025-06-11,2025-06-17,0,27,0,15.666666666666666
2025-06-18,2025-06-24,2,21,0.09523809523809523,15.80952380952381
2025-06-25,2025-07-01,1,20,0.05,33.7
2025-07-02,2025-07-08,0,15,0,29.066666666666666
2025-07-09,2025-07-15,0,20,0,37.9
2025-07-16,2025-07-22,0,39,0,42.92307692307692
2025-07-23,2025-07-29,0,21,0,25.952380952380953
2025-07-30,2025-08-05,0,40,0,51.65
2025-08-06,2025-08-12,0,16,0,17.8125
2025-08-13,2025-08-18,0,5,0,24.4
