start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,0,0,0
2024-08-28,2024-09-03,0,0,0,0
2024-09-04,2024-09-10,0,0,0,0
2024-09-11,2024-09-17,0,0,0,0
2024-09-18,2024-09-24,0,0,0,0
2024-09-25,2024-10-01,0,0,0,0
2024-10-02,2024-10-08,0,0,0,0
2024-10-09,2024-10-15,0,0,0,0
2024-10-16,2024-10-22,0,0,0,0
2024-10-23,2024-10-29,0,0,0,0
2024-10-30,2024-11-05,0,0,0,0
2024-11-06,2024-11-12,0,0,0,0
2024-11-13,2024-11-19,0,0,0,0
2024-11-20,2024-11-26,0,0,0,0
2024-11-27,2024-12-03,0,0,0,0
2024-12-04,2024-12-10,0,0,0,0
2024-12-11,2024-12-17,0,0,0,0
2024-12-18,2024-12-24,0,0,0,0
2024-12-25,2024-12-31,0,0,0,0
2025-01-01,2025-01-07,0,0,0,0
2025-01-08,2025-01-14,0,0,0,0
2025-01-15,2025-01-21,0,0,0,0
2025-01-22,2025-01-28,0,0,0,0
2025-01-29,2025-02-04,0,0,0,0
2025-02-05,2025-02-11,0,0,0,0
2025-02-12,2025-02-18,0,0,0,0
2025-02-19,2025-02-25,0,0,0,0
2025-02-26,2025-03-04,0,0,0,0
2025-03-05,2025-03-11,0,10,0,31.2
2025-03-12,2025-03-18,0,16,0,53.25
2025-03-19,2025-03-25,0,6,0,27.5
2025-03-26,2025-04-01,0,23,0,3.782608695652174
2025-04-02,2025-04-08,0,71,0,10.67605633802817
2025-04-09,2025-04-15,0,79,0,12.962025316455696
2025-04-16,2025-04-22,0,69,0,10.014492753623188
2025-04-23,2025-04-29,0,90,0,9.933333333333334
2025-04-30,2025-05-06,0,102,0,10.656862745098039
2025-05-07,2025-05-13,0,82,0,7.780487804878049
2025-05-14,2025-05-20,2,73,0.0273972602739726,6.863013698630137
2025-05-21,2025-05-27,0,52,0,6.596153846153846
2025-05-28,2025-06-03,0,57,0,7.912280701754386
2025-06-04,2025-06-10,0,58,0,8.310344827586206
2025-06-11,2025-06-17,0,54,0,6.925925925925926
2025-06-18,2025-06-24,0,45,0,5.955555555555556
2025-06-25,2025-07-01,0,68,0,6.0588235294117645
2025-07-02,2025-07-08,0,53,0,7.566037735849057
2025-07-09,2025-07-15,0,42,0,9.047619047619047
2025-07-16,2025-07-22,0,110,0,7.363636363636363
2025-07-23,2025-07-29,0,75,0,7.426666666666667
2025-07-30,2025-08-05,0,75,0,16.10666666666667
2025-08-06,2025-08-12,0,78,0,17.371794871794872
2025-08-13,2025-08-19,0,57,0,27.87719298245614
2025-08-20,2025-08-24,0,57,0,76.36842105263158
