start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,11,0,43.81818181818182
2024-06-05,2024-06-11,0,17,0,49.529411764705884
2024-06-12,2024-06-18,0,33,0,44.121212121212125
2024-06-19,2024-06-25,0,20,0,38.4
2024-06-26,2024-07-02,0,15,0,46
2024-07-03,2024-07-09,1,26,0.038461538461538464,50.57692307692308
2024-07-10,2024-07-16,0,34,0,56
2024-07-17,2024-07-23,0,17,0,56.94117647058823
2024-07-24,2024-07-30,0,20,0,66.55
2024-07-31,2024-08-06,0,17,0,45.294117647058826
2024-08-07,2024-08-13,0,25,0,60.64
2024-08-14,2024-08-20,0,21,0,50.714285714285715
2024-08-21,2024-08-27,0,14,0,53.214285714285715
2024-08-28,2024-09-03,0,12,0,46.666666666666664
2024-09-04,2024-09-10,0,16,0,44.3125
2024-09-11,2024-09-17,0,29,0,43.41379310344828
2024-09-18,2024-09-24,0,28,0,35.392857142857146
2024-09-25,2024-10-01,0,44,0,54.75
2024-10-02,2024-10-08,0,23,0,51.391304347826086
2024-10-09,2024-10-15,0,11,0,57.27272727272727
2024-10-16,2024-10-22,0,23,0,35.82608695652174
2024-10-23,2024-10-29,0,18,0,45.166666666666664
2024-10-30,2024-11-05,0,17,0,36.411764705882355
2024-11-06,2024-11-12,0,27,0,30.037037037037038
2024-11-13,2024-11-19,0,30,0,30.466666666666665
2024-11-20,2024-11-26,1,43,0.023255813953488372,26.86046511627907
2024-11-27,2024-12-03,0,31,0,31.35483870967742
2024-12-04,2024-12-10,0,42,0,19.261904761904763
2024-12-11,2024-12-17,1,43,0.023255813953488372,25.837209302325583
2024-12-18,2024-12-24,0,59,0,26.10169491525424
2024-12-25,2024-12-31,0,33,0,31.696969696969695
2025-01-01,2025-01-07,0,46,0,27.108695652173914
2025-01-08,2025-01-14,0,55,0,26.163636363636364
2025-01-15,2025-01-21,0,50,0,22.88
2025-01-22,2025-01-28,0,62,0,26.225806451612904
2025-01-29,2025-02-04,1,36,0.027777777777777776,24.13888888888889
2025-02-05,2025-02-11,0,36,0,24.666666666666668
2025-02-12,2025-02-18,0,59,0,25
2025-02-19,2025-02-25,1,63,0.015873015873015872,19.333333333333332
2025-02-26,2025-03-04,0,55,0,26.509090909090908
2025-03-05,2025-03-11,0,50,0,24.5
2025-03-12,2025-03-18,0,67,0,18.417910447761194
2025-03-19,2025-03-25,1,62,0.016129032258064516,24.419354838709676
2025-03-26,2025-04-01,1,56,0.017857142857142856,24.607142857142858
2025-04-02,2025-04-08,1,41,0.024390243902439025,21.341463414634145
2025-04-09,2025-04-15,1,60,0.016666666666666666,17.383333333333333
2025-04-16,2025-04-22,2,85,0.023529411764705882,22.623529411764707
2025-04-23,2025-04-29,1,61,0.01639344262295082,20.311475409836067
2025-04-30,2025-05-06,0,38,0,26.18421052631579
2025-05-07,2025-05-13,0,48,0,25
2025-05-14,2025-05-20,1,78,0.01282051282051282,23
2025-05-21,2025-05-27,0,77,0,30
2025-05-28,2025-06-03,1,66,0.015151515151515152,29.12121212121212
2025-06-04,2025-06-10,0,43,0,30.325581395348838
2025-06-11,2025-06-17,0,41,0,32.02439024390244
2025-06-18,2025-06-24,0,64,0,36.84375
2025-06-25,2025-07-01,0,62,0,25.661290322580644
2025-07-02,2025-07-08,0,60,0,29.233333333333334
2025-07-09,2025-07-15,0,68,0,30.529411764705884
2025-07-16,2025-07-22,0,56,0,22.446428571428573
2025-07-23,2025-07-29,0,49,0,23.510204081632654
2025-07-30,2025-08-05,0,40,0,21.875
2025-08-06,2025-08-12,0,61,0,22.9672131147541
2025-08-13,2025-08-19,0,49,0,29.081632653061224
2025-08-20,2025-08-24,0,22,0,34.63636363636363
