start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,0,0,0
2024-08-28,2024-09-03,0,0,0,0
2024-09-04,2024-09-10,0,0,0,0
2024-09-11,2024-09-17,0,0,0,0
2024-09-18,2024-09-24,0,0,0,0
2024-09-25,2024-10-01,0,4,0,6.75
2024-10-02,2024-10-08,0,5,0,14.4
2024-10-09,2024-10-15,0,1,0,71
2024-10-16,2024-10-22,0,23,0,61.95652173913044
2024-10-23,2024-10-29,0,50,0,80.1
2024-10-30,2024-11-05,1,71,0.014084507042253521,70.14084507042253
2024-11-06,2024-11-12,0,68,0,76.83823529411765
2024-11-13,2024-11-19,0,78,0,73.82051282051282
2024-11-20,2024-11-26,0,87,0,66.49425287356321
2024-11-27,2024-12-03,0,137,0,67.94160583941606
2024-12-04,2024-12-10,0,139,0,60.273381294964025
2024-12-11,2024-12-17,1,147,0.006802721088435374,64.34693877551021
2024-12-18,2024-12-24,0,106,0,56.009433962264154
2024-12-25,2024-12-31,0,71,0,62.71830985915493
2025-01-01,2025-01-07,0,65,0,58.8
2025-01-08,2025-01-14,0,48,0,65.79166666666667
2025-01-15,2025-01-21,0,48,0,61.041666666666664
2025-01-22,2025-01-28,0,25,0,51.24
2025-01-29,2025-02-04,0,11,0,27.272727272727273
2025-02-05,2025-02-11,0,11,0,11.363636363636363
2025-02-12,2025-02-18,0,11,0,23.454545454545453
2025-02-19,2025-02-25,0,75,0,53.24
2025-02-26,2025-03-04,1,110,0.00909090909090909,56.54545454545455
2025-03-05,2025-03-11,0,112,0,64
2025-03-12,2025-03-18,0,116,0,64.05172413793103
2025-03-19,2025-03-25,0,163,0,67.58282208588957
2025-03-26,2025-04-01,0,107,0,62.33644859813084
2025-04-02,2025-04-08,0,63,0,46.682539682539684
2025-04-09,2025-04-15,0,143,0,57.32167832167832
2025-04-16,2025-04-22,0,94,0,54.56382978723404
2025-04-23,2025-04-29,0,130,0,61.03846153846154
2025-04-30,2025-05-06,0,135,0,74.36296296296297
2025-05-07,2025-05-13,0,139,0,73.22302158273381
2025-05-14,2025-05-20,1,159,0.006289308176100629,77.53459119496856
2025-05-21,2025-05-27,0,167,0,79.65868263473054
2025-05-28,2025-06-03,0,156,0,79.1025641025641
2025-06-04,2025-06-10,0,137,0,74.78832116788321
2025-06-11,2025-06-17,0,131,0,74.6793893129771
2025-06-18,2025-06-24,0,137,0,73.12408759124088
2025-06-25,2025-07-01,0,114,0,71.78070175438596
2025-07-02,2025-07-08,0,148,0,80.29054054054055
2025-07-09,2025-07-15,0,157,0,78.95541401273886
2025-07-16,2025-07-22,1,164,0.006097560975609756,76.03658536585365
2025-07-23,2025-07-29,0,116,0,71.25862068965517
2025-07-30,2025-08-05,0,55,0,71.52727272727273
2025-08-06,2025-08-12,0,35,0,66.91428571428571
2025-08-13,2025-08-19,1,22,0.045454545454545456,28.454545454545453
2025-08-20,2025-08-24,1,30,0.03333333333333333,38.86666666666667
