start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,0,0,0
2024-08-28,2024-09-03,0,0,0,0
2024-09-04,2024-09-10,0,0,0,0
2024-09-11,2024-09-17,0,0,0,0
2024-09-18,2024-09-24,0,0,0,0
2024-09-25,2024-10-01,0,0,0,0
2024-10-02,2024-10-08,0,0,0,0
2024-10-09,2024-10-15,0,0,0,0
2024-10-16,2024-10-22,0,0,0,0
2024-10-23,2024-10-29,0,0,0,0
2024-10-30,2024-11-05,0,0,0,0
2024-11-06,2024-11-12,0,0,0,0
2024-11-13,2024-11-19,0,0,0,0
2024-11-20,2024-11-26,0,0,0,0
2024-11-27,2024-12-03,0,0,0,0
2024-12-04,2024-12-10,0,0,0,0
2024-12-11,2024-12-17,0,15,0,41.8
2024-12-18,2024-12-24,0,22,0,55.77272727272727
2024-12-25,2024-12-31,0,23,0,44.95652173913044
2025-01-01,2025-01-07,0,32,0,46.25
2025-01-08,2025-01-14,0,40,0,50.85
2025-01-15,2025-01-21,0,31,0,52.41935483870968
2025-01-22,2025-01-28,0,31,0,46.74193548387097
2025-01-29,2025-02-04,0,33,0,37.42424242424242
2025-02-05,2025-02-11,1,24,0.041666666666666664,34.541666666666664
2025-02-12,2025-02-18,0,21,0,49.142857142857146
2025-02-19,2025-02-25,0,20,0,55.35
2025-02-26,2025-03-04,0,17,0,33.23529411764706
2025-03-05,2025-03-11,0,19,0,42.578947368421055
2025-03-12,2025-03-18,0,27,0,42.18518518518518
2025-03-19,2025-03-25,0,30,0,38.86666666666667
2025-03-26,2025-04-01,0,20,0,43.85
2025-04-02,2025-04-08,0,18,0,38.94444444444444
2025-04-09,2025-04-15,0,28,0,39.785714285714285
2025-04-16,2025-04-22,0,26,0,34.19230769230769
2025-04-23,2025-04-29,0,25,0,37.04
2025-04-30,2025-05-06,0,23,0,44.52173913043478
2025-05-07,2025-05-13,0,21,0,43.285714285714285
2025-05-14,2025-05-20,0,23,0,43.130434782608695
2025-05-21,2025-05-27,0,19,0,55.473684210526315
2025-05-28,2025-06-03,0,31,0,44.67741935483871
2025-06-04,2025-06-10,0,25,0,40.6
2025-06-11,2025-06-17,0,19,0,47.68421052631579
2025-06-18,2025-06-24,0,24,0,48.541666666666664
2025-06-25,2025-07-01,0,23,0,50.34782608695652
2025-07-02,2025-07-08,0,27,0,45.074074074074076
2025-07-09,2025-07-15,0,35,0,52.285714285714285
2025-07-16,2025-07-22,0,33,0,48.333333333333336
2025-07-23,2025-07-29,0,33,0,56.72727272727273
2025-07-30,2025-08-05,0,43,0,52.95348837209303
2025-08-06,2025-08-12,0,29,0,41.172413793103445
2025-08-13,2025-08-19,0,28,0,34.92857142857143
2025-08-20,2025-08-24,0,23,0,46.78260869565217
