start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,43,0,82.72093023255815
2024-05-08,2024-05-14,0,7,0,33.57142857142857
2024-05-15,2024-05-21,0,4,0,61
2024-05-22,2024-05-28,0,23,0,64.69565217391305
2024-05-29,2024-06-04,0,4,0,6.25
2024-06-05,2024-06-11,0,20,0,61.5
2024-06-12,2024-06-18,0,27,0,85.81481481481481
2024-06-19,2024-06-25,0,2,0,33
2024-06-26,2024-07-02,0,4,0,55.25
2024-07-03,2024-07-09,0,1,0,83
2024-07-10,2024-07-16,0,5,0,30
2024-07-17,2024-07-23,0,7,0,58.857142857142854
2024-07-24,2024-07-30,0,6,0,43.666666666666664
2024-07-31,2024-08-06,1,6,0.16666666666666666,21.166666666666668
2024-08-07,2024-08-13,0,14,0,9
2024-08-14,2024-08-20,0,29,0,9.379310344827585
2024-08-21,2024-08-27,0,34,0,22.470588235294116
2024-08-28,2024-09-03,0,49,0,9.326530612244898
2024-09-04,2024-09-10,0,35,0,11.457142857142857
2024-09-11,2024-09-17,0,26,0,12.307692307692308
2024-09-18,2024-09-24,0,36,0,6.805555555555555
2024-09-25,2024-10-01,0,23,0,9.695652173913043
2024-10-02,2024-10-08,0,31,0,8.483870967741936
2024-10-09,2024-10-15,0,16,0,14.5
2024-10-16,2024-10-22,0,27,0,5.407407407407407
2024-10-23,2024-10-29,0,19,0,17.263157894736842
2024-10-30,2024-11-05,0,33,0,9.121212121212121
2024-11-06,2024-11-12,1,49,0.02040816326530612,16.244897959183675
2024-11-13,2024-11-19,0,51,0,11.980392156862745
2024-11-20,2024-11-26,0,46,0,9.434782608695652
2024-11-27,2024-12-03,0,67,0,13.388059701492537
2024-12-04,2024-12-10,0,63,0,12.65079365079365
2024-12-11,2024-12-17,1,49,0.02040816326530612,12.571428571428571
2024-12-18,2024-12-24,0,36,0,8.222222222222221
2024-12-25,2024-12-31,0,27,0,6.851851851851852
2025-01-01,2025-01-07,0,58,0,30.96551724137931
2025-01-08,2025-01-14,0,33,0,7.666666666666667
2025-01-15,2025-01-21,0,28,0,9.821428571428571
2025-01-22,2025-01-28,0,31,0,11.580645161290322
2025-01-29,2025-02-04,0,28,0,12.392857142857142
2025-02-05,2025-02-11,0,57,0,10.035087719298245
2025-02-12,2025-02-18,0,46,0,10.478260869565217
2025-02-19,2025-02-25,0,46,0,11.130434782608695
2025-02-26,2025-03-04,0,48,0,7.979166666666667
2025-03-05,2025-03-11,1,69,0.014492753623188406,13.043478260869565
2025-03-12,2025-03-18,0,71,0,10.169014084507042
2025-03-19,2025-03-25,0,39,0,13.35897435897436
2025-03-26,2025-04-01,0,76,0,7.578947368421052
2025-04-02,2025-04-08,0,79,0,10.113924050632912
2025-04-09,2025-04-15,0,79,0,8.012658227848101
2025-04-16,2025-04-22,0,12,0,14.5
2025-04-23,2025-04-29,0,45,0,10.11111111111111
2025-04-30,2025-05-06,2,96,0.020833333333333332,9.760416666666666
2025-05-07,2025-05-13,1,92,0.010869565217391304,10.521739130434783
2025-05-14,2025-05-20,0,116,0,7.025862068965517
2025-05-21,2025-05-27,1,91,0.01098901098901099,8.791208791208792
2025-05-28,2025-06-03,2,103,0.019417475728155338,5.747572815533981
2025-06-04,2025-06-10,0,89,0,10.44943820224719
2025-06-11,2025-06-17,0,67,0,6.059701492537314
2025-06-18,2025-06-24,2,77,0.025974025974025976,6.207792207792208
2025-06-25,2025-07-01,0,87,0,6.666666666666667
2025-07-02,2025-07-08,0,79,0,8.291139240506329
2025-07-09,2025-07-15,0,72,0,7.041666666666667
2025-07-16,2025-07-22,0,119,0,7.285714285714286
2025-07-23,2025-07-29,0,92,0,5.521739130434782
2025-07-30,2025-08-05,0,89,0,6.955056179775281
2025-08-06,2025-08-12,0,85,0,8.529411764705882
2025-08-13,2025-08-18,1,76,0.013157894736842105,9.644736842105264
