start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,22,0,21.045454545454547
2024-08-21,2024-08-27,0,16,0,13.3125
2024-08-28,2024-09-03,0,9,0,15
2024-09-04,2024-09-10,0,15,0,24.333333333333332
2024-09-11,2024-09-17,1,25,0.04,12
2024-09-18,2024-09-24,0,10,0,33.3
2024-09-25,2024-10-01,0,17,0,24.58823529411765
2024-10-02,2024-10-08,1,24,0.041666666666666664,16.125
2024-10-09,2024-10-15,0,25,0,18.12
2024-10-16,2024-10-22,0,23,0,16.913043478260867
2024-10-23,2024-10-29,0,27,0,37.370370370370374
2024-10-30,2024-11-05,0,18,0,13.555555555555555
2024-11-06,2024-11-12,0,21,0,22.047619047619047
2024-11-13,2024-11-19,2,43,0.046511627906976744,15.674418604651162
2024-11-20,2024-11-26,0,26,0,29.76923076923077
2024-11-27,2024-12-03,0,26,0,29.807692307692307
2024-12-04,2024-12-10,0,66,0,48.46969696969697
2024-12-11,2024-12-17,1,68,0.014705882352941176,38.161764705882355
2024-12-18,2024-12-24,0,41,0,36.073170731707314
2024-12-25,2024-12-31,1,43,0.023255813953488372,44.395348837209305
2025-01-01,2025-01-07,2,36,0.05555555555555555,37.52777777777778
2025-01-08,2025-01-14,1,41,0.024390243902439025,27.975609756097562
2025-01-15,2025-01-21,2,51,0.0392156862745098,20.725490196078432
2025-01-22,2025-01-28,4,37,0.10810810810810811,11.324324324324325
2025-01-29,2025-02-04,1,81,0.012345679012345678,10.432098765432098
2025-02-05,2025-02-11,3,63,0.047619047619047616,10.206349206349206
2025-02-12,2025-02-18,2,98,0.02040816326530612,12.428571428571429
2025-02-19,2025-02-25,2,111,0.018018018018018018,14.81981981981982
2025-02-26,2025-03-04,1,79,0.012658227848101266,12.050632911392405
2025-03-05,2025-03-11,1,75,0.013333333333333334,8.933333333333334
2025-03-12,2025-03-18,2,58,0.034482758620689655,11.810344827586206
2025-03-19,2025-03-25,1,69,0.014492753623188406,13.434782608695652
2025-03-26,2025-04-01,0,103,0,16.135922330097088
2025-04-02,2025-04-08,1,107,0.009345794392523364,15.813084112149532
2025-04-09,2025-04-15,2,72,0.027777777777777776,18.694444444444443
2025-04-16,2025-04-22,4,78,0.05128205128205128,24.346153846153847
2025-04-23,2025-04-29,1,55,0.01818181818181818,27.545454545454547
2025-04-30,2025-05-06,0,65,0,18.892307692307693
2025-05-07,2025-05-13,1,72,0.013888888888888888,22.375
2025-05-14,2025-05-20,3,90,0.03333333333333333,26.644444444444446
2025-05-21,2025-05-27,0,59,0,27.220338983050848
2025-05-28,2025-06-03,0,113,0,21.672566371681416
2025-06-04,2025-06-10,1,54,0.018518518518518517,15.166666666666666
2025-06-11,2025-06-17,2,134,0.014925373134328358,14.044776119402986
2025-06-18,2025-06-24,1,89,0.011235955056179775,17.15730337078652
2025-06-25,2025-07-01,0,53,0,18.641509433962263
2025-07-02,2025-07-08,1,108,0.009259259259259259,32.48148148148148
2025-07-09,2025-07-15,2,141,0.014184397163120567,28.645390070921987
2025-07-16,2025-07-22,2,93,0.021505376344086023,31.247311827956988
2025-07-23,2025-07-29,0,104,0,25.64423076923077
2025-07-30,2025-08-05,0,131,0,30.84732824427481
2025-08-06,2025-08-12,0,136,0,22.36764705882353
2025-08-13,2025-08-19,1,125,0.008,27.696
2025-08-20,2025-08-24,1,81,0.012345679012345678,33.148148148148145
