start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,12,0,21.416666666666668
2024-08-28,2024-09-03,3,8,0.375,18.625
2024-09-04,2024-09-10,0,24,0,17.791666666666668
2024-09-11,2024-09-17,1,25,0.04,13.76
2024-09-18,2024-09-24,0,19,0,23.210526315789473
2024-09-25,2024-10-01,0,27,0,13.407407407407407
2024-10-02,2024-10-08,0,23,0,20.695652173913043
2024-10-09,2024-10-15,0,32,0,12.5
2024-10-16,2024-10-22,2,39,0.05128205128205128,26.564102564102566
2024-10-23,2024-10-29,1,23,0.043478260869565216,9.956521739130435
2024-10-30,2024-11-05,0,29,0,22.689655172413794
2024-11-06,2024-11-12,0,60,0,18.216666666666665
2024-11-13,2024-11-19,1,78,0.01282051282051282,17.628205128205128
2024-11-20,2024-11-26,1,58,0.017241379310344827,23.75862068965517
2024-11-27,2024-12-03,3,39,0.07692307692307693,20.974358974358974
2024-12-04,2024-12-10,2,54,0.037037037037037035,22.85185185185185
2024-12-11,2024-12-17,1,33,0.030303030303030304,24.757575757575758
2024-12-18,2024-12-24,1,40,0.025,19.475
2024-12-25,2024-12-31,1,35,0.02857142857142857,26.714285714285715
2025-01-01,2025-01-07,1,29,0.034482758620689655,16.79310344827586
2025-01-08,2025-01-14,2,40,0.05,12.575
2025-01-15,2025-01-21,2,27,0.07407407407407407,12.777777777777779
2025-01-22,2025-01-28,1,38,0.02631578947368421,19.710526315789473
2025-01-29,2025-02-04,0,34,0,14.941176470588236
2025-02-05,2025-02-11,2,28,0.07142857142857142,16.535714285714285
2025-02-12,2025-02-18,0,26,0,9.846153846153847
2025-02-19,2025-02-25,2,30,0.06666666666666667,13.4
2025-02-26,2025-03-04,3,54,0.05555555555555555,7.7592592592592595
2025-03-05,2025-03-11,1,21,0.047619047619047616,11.571428571428571
2025-03-12,2025-03-18,2,40,0.05,11.875
2025-03-19,2025-03-25,0,33,0,14.969696969696969
2025-03-26,2025-04-01,1,42,0.023809523809523808,18.69047619047619
2025-04-02,2025-04-08,1,49,0.02040816326530612,10.285714285714286
2025-04-09,2025-04-15,0,33,0,14.181818181818182
2025-04-16,2025-04-22,0,52,0,12.423076923076923
2025-04-23,2025-04-29,0,46,0,11.804347826086957
2025-04-30,2025-05-06,1,28,0.03571428571428571,12.714285714285714
2025-05-07,2025-05-13,1,38,0.02631578947368421,8.947368421052632
2025-05-14,2025-05-20,0,32,0,14.84375
2025-05-21,2025-05-27,0,34,0,9.911764705882353
2025-05-28,2025-06-03,1,33,0.030303030303030304,13.303030303030303
2025-06-04,2025-06-10,1,54,0.018518518518518517,10.333333333333334
2025-06-11,2025-06-17,0,32,0,19.53125
2025-06-18,2025-06-24,1,31,0.03225806451612903,11.67741935483871
2025-06-25,2025-07-01,0,38,0,15.236842105263158
2025-07-02,2025-07-08,0,50,0,15.68
2025-07-09,2025-07-15,1,38,0.02631578947368421,12.947368421052632
2025-07-16,2025-07-22,0,56,0,12.446428571428571
2025-07-23,2025-07-29,0,32,0,16.5
2025-07-30,2025-08-05,0,25,0,15.96
2025-08-06,2025-08-12,0,36,0,17.72222222222222
2025-08-13,2025-08-19,0,43,0,16.162790697674417
2025-08-20,2025-08-24,1,21,0.047619047619047616,23.095238095238095
