start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,17,0,5.764705882352941
2024-05-15,2024-05-21,0,23,0,8.826086956521738
2024-05-22,2024-05-28,0,37,0,12.405405405405405
2024-05-29,2024-06-04,1,51,0.0196078431372549,8.294117647058822
2024-06-05,2024-06-11,0,34,0,5.911764705882353
2024-06-12,2024-06-18,1,28,0.03571428571428571,9.5
2024-06-19,2024-06-25,0,21,0,33.333333333333336
2024-06-26,2024-07-02,3,34,0.08823529411764706,10.352941176470589
2024-07-03,2024-07-09,0,43,0,18.651162790697676
2024-07-10,2024-07-16,4,43,0.09302325581395349,14.093023255813954
2024-07-17,2024-07-23,0,40,0,11.75
2024-07-24,2024-07-30,1,37,0.02702702702702703,6.972972972972973
2024-07-31,2024-08-06,0,39,0,14.025641025641026
2024-08-07,2024-08-13,0,43,0,11.069767441860465
2024-08-14,2024-08-20,3,62,0.04838709677419355,17.870967741935484
2024-08-21,2024-08-27,3,92,0.03260869565217391,47.47826086956522
2024-08-28,2024-09-03,4,105,0.0380952380952381,57.285714285714285
2024-09-04,2024-09-10,1,83,0.012048192771084338,55.66265060240964
2024-09-11,2024-09-17,5,66,0.07575757575757576,29.181818181818183
2024-09-18,2024-09-24,10,76,0.13157894736842105,20.789473684210527
2024-09-25,2024-10-01,3,86,0.03488372093023256,51.94186046511628
2024-10-02,2024-10-08,1,89,0.011235955056179775,58.37078651685393
2024-10-09,2024-10-15,8,99,0.08080808080808081,46.686868686868685
2024-10-16,2024-10-22,9,126,0.07142857142857142,37.95238095238095
2024-10-23,2024-10-29,3,54,0.05555555555555555,34.44444444444444
2024-10-30,2024-11-05,5,160,0.03125,70.89375
2024-11-06,2024-11-12,2,127,0.015748031496062992,67.98425196850394
2024-11-13,2024-11-19,4,229,0.017467248908296942,78.86026200873363
2024-11-20,2024-11-26,6,350,0.017142857142857144,67.52857142857142
2024-11-27,2024-12-03,5,243,0.0205761316872428,76
2024-12-04,2024-12-10,5,381,0.013123359580052493,72.18110236220473
2024-12-11,2024-12-17,2,281,0.0071174377224199285,73.45195729537366
2024-12-18,2024-12-24,5,397,0.012594458438287154,73.9294710327456
2024-12-25,2024-12-31,3,458,0.006550218340611353,72.02620087336244
2025-01-01,2025-01-07,11,586,0.01877133105802048,68.839590443686
2025-01-08,2025-01-14,2,204,0.00980392156862745,69.0343137254902
2025-01-15,2025-01-21,9,175,0.05142857142857143,59.65714285714286
2025-01-22,2025-01-28,4,174,0.022988505747126436,46.54022988505747
2025-01-29,2025-02-04,4,70,0.05714285714285714,29.685714285714287
2025-02-05,2025-02-11,7,99,0.0707070707070707,22.494949494949495
2025-02-12,2025-02-18,8,81,0.09876543209876543,17.901234567901234
2025-02-19,2025-02-25,8,91,0.08791208791208792,24.076923076923077
2025-02-26,2025-03-04,8,89,0.0898876404494382,31.640449438202246
2025-03-05,2025-03-11,7,76,0.09210526315789473,36.078947368421055
2025-03-12,2025-03-18,8,109,0.07339449541284404,27.61467889908257
2025-03-19,2025-03-25,7,111,0.06306306306306306,23.963963963963963
2025-03-26,2025-04-01,3,115,0.02608695652173913,35.99130434782609
2025-04-02,2025-04-08,11,177,0.062146892655367235,34.84180790960452
2025-04-09,2025-04-15,5,143,0.03496503496503497,39.27272727272727
2025-04-16,2025-04-22,3,171,0.017543859649122806,47.75438596491228
2025-04-23,2025-04-29,4,178,0.02247191011235955,39.12921348314607
2025-04-30,2025-05-06,5,179,0.027932960893854747,41.81005586592179
2025-05-07,2025-05-13,9,205,0.04390243902439024,37.395121951219515
2025-05-14,2025-05-20,4,146,0.0273972602739726,38.657534246575345
2025-05-21,2025-05-27,5,147,0.034013605442176874,33.27891156462585
2025-05-28,2025-06-03,2,171,0.011695906432748537,36.421052631578945
2025-06-04,2025-06-10,8,179,0.0446927374301676,41.977653631284916
2025-06-11,2025-06-17,9,157,0.05732484076433121,32.00636942675159
2025-06-18,2025-06-24,5,146,0.03424657534246575,31.356164383561644
2025-06-25,2025-07-01,9,202,0.04455445544554455,27.52970297029703
2025-07-02,2025-07-08,4,273,0.014652014652014652,43.64835164835165
2025-07-09,2025-07-15,1,202,0.0049504950495049506,38.33168316831683
2025-07-16,2025-07-22,6,297,0.020202020202020204,51.34680134680135
2025-07-23,2025-07-29,3,351,0.008547008547008548,59.59544159544159
2025-07-30,2025-08-05,3,328,0.009146341463414634,60.0030487804878
2025-08-06,2025-08-12,3,349,0.008595988538681949,55.71919770773639
2025-08-13,2025-08-19,3,374,0.008021390374331552,53.716577540106954
2025-08-20,2025-08-24,6,279,0.021505376344086023,58.66308243727599
