start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,1,0,5
2024-08-14,2024-08-20,0,10,0,22.4
2024-08-21,2024-08-27,1,11,0.09090909090909091,17.90909090909091
2024-08-28,2024-09-03,1,16,0.0625,17.1875
2024-09-04,2024-09-10,1,12,0.08333333333333333,12.333333333333334
2024-09-11,2024-09-17,1,14,0.07142857142857142,31
2024-09-18,2024-09-24,0,24,0,23.083333333333332
2024-09-25,2024-10-01,0,27,0,16.88888888888889
2024-10-02,2024-10-08,0,29,0,11.655172413793103
2024-10-09,2024-10-15,2,23,0.08695652173913043,12.304347826086957
2024-10-16,2024-10-22,1,46,0.021739130434782608,13.478260869565217
2024-10-23,2024-10-29,1,41,0.024390243902439025,8.585365853658537
2024-10-30,2024-11-05,2,46,0.043478260869565216,10.5
2024-11-06,2024-11-12,1,37,0.02702702702702703,21.324324324324323
2024-11-13,2024-11-19,0,52,0,17.21153846153846
2024-11-20,2024-11-26,0,53,0,9.20754716981132
2024-11-27,2024-12-03,2,51,0.0392156862745098,11.549019607843137
2024-12-04,2024-12-10,1,42,0.023809523809523808,13.547619047619047
2024-12-11,2024-12-17,0,45,0,10.4
2024-12-18,2024-12-24,1,37,0.02702702702702703,11.675675675675675
2024-12-25,2024-12-31,0,30,0,14.1
2025-01-01,2025-01-07,0,33,0,9.545454545454545
2025-01-08,2025-01-14,0,33,0,11.909090909090908
2025-01-15,2025-01-21,3,43,0.06976744186046512,8.604651162790699
2025-01-22,2025-01-28,0,37,0,10.324324324324325
2025-01-29,2025-02-04,1,56,0.017857142857142856,6.446428571428571
2025-02-05,2025-02-11,2,77,0.025974025974025976,7.740259740259741
2025-02-12,2025-02-18,2,72,0.027777777777777776,7.5
2025-02-19,2025-02-25,2,71,0.028169014084507043,7.577464788732394
2025-02-26,2025-03-04,0,40,0,10.225
2025-03-05,2025-03-11,0,37,0,3.810810810810811
2025-03-12,2025-03-18,1,32,0.03125,10.03125
2025-03-19,2025-03-25,1,38,0.02631578947368421,9.131578947368421
2025-03-26,2025-04-01,0,75,0,13.08
2025-04-02,2025-04-08,0,47,0,9.148936170212766
2025-04-09,2025-04-15,0,51,0,9.568627450980392
2025-04-16,2025-04-22,0,36,0,11.055555555555555
2025-04-23,2025-04-29,0,41,0,6.853658536585366
2025-04-30,2025-05-06,2,53,0.03773584905660377,6.09433962264151
2025-05-07,2025-05-13,3,56,0.05357142857142857,11.928571428571429
2025-05-14,2025-05-20,2,50,0.04,8.940000000000001
2025-05-21,2025-05-27,2,35,0.05714285714285714,13.2
2025-05-28,2025-06-03,0,44,0,16.909090909090907
2025-06-04,2025-06-10,0,45,0,14.577777777777778
2025-06-11,2025-06-17,0,40,0,12.625
2025-06-18,2025-06-24,1,47,0.02127659574468085,14.212765957446809
2025-06-25,2025-07-01,0,32,0,27.21875
2025-07-02,2025-07-08,0,52,0,34.48076923076923
2025-07-09,2025-07-15,1,54,0.018518518518518517,29.074074074074073
2025-07-16,2025-07-22,0,35,0,22.485714285714284
2025-07-23,2025-07-29,2,41,0.04878048780487805,28.975609756097562
2025-07-30,2025-08-05,1,28,0.03571428571428571,11.928571428571429
2025-08-06,2025-08-12,1,30,0.03333333333333333,11.633333333333333
2025-08-13,2025-08-19,1,44,0.022727272727272728,9.727272727272727
2025-08-20,2025-08-24,1,23,0.043478260869565216,15.043478260869565
