start_date,end_date,clicks,impressions,ctr,position
2024-05-01,2024-05-07,0,0,0,0
2024-05-08,2024-05-14,0,0,0,0
2024-05-15,2024-05-21,0,0,0,0
2024-05-22,2024-05-28,0,0,0,0
2024-05-29,2024-06-04,0,0,0,0
2024-06-05,2024-06-11,0,0,0,0
2024-06-12,2024-06-18,0,0,0,0
2024-06-19,2024-06-25,0,0,0,0
2024-06-26,2024-07-02,0,0,0,0
2024-07-03,2024-07-09,0,0,0,0
2024-07-10,2024-07-16,0,0,0,0
2024-07-17,2024-07-23,0,0,0,0
2024-07-24,2024-07-30,0,0,0,0
2024-07-31,2024-08-06,0,0,0,0
2024-08-07,2024-08-13,0,0,0,0
2024-08-14,2024-08-20,0,0,0,0
2024-08-21,2024-08-27,0,35,0,6.085714285714285
2024-08-28,2024-09-03,0,37,0,5.783783783783784
2024-09-04,2024-09-10,1,74,0.013513513513513514,4.472972972972973
2024-09-11,2024-09-17,0,73,0,7.273972602739726
2024-09-18,2024-09-24,0,86,0,5.348837209302325
2024-09-25,2024-10-01,0,58,0,8.568965517241379
2024-10-02,2024-10-08,0,66,0,8.40909090909091
2024-10-09,2024-10-15,0,50,0,9.08
2024-10-16,2024-10-22,2,291,0.006872852233676976,2.790378006872852
2024-10-23,2024-10-29,0,108,0,5.787037037037037
2024-10-30,2024-11-05,0,132,0,3.893939393939394
2024-11-06,2024-11-12,2,113,0.017699115044247787,6.6371681415929205
2024-11-13,2024-11-19,2,211,0.009478672985781991,3.8862559241706163
2024-11-20,2024-11-26,2,172,0.011627906976744186,5.837209302325581
2024-11-27,2024-12-03,0,92,0,6.086956521739131
2024-12-04,2024-12-10,3,154,0.01948051948051948,13
2024-12-11,2024-12-17,1,110,0.00909090909090909,18.854545454545455
2024-12-18,2024-12-24,0,83,0,17.57831325301205
2024-12-25,2024-12-31,0,69,0,26.28985507246377
2025-01-01,2025-01-07,0,71,0,23.549295774647888
2025-01-08,2025-01-14,1,76,0.013157894736842105,10.539473684210526
2025-01-15,2025-01-21,1,58,0.017241379310344827,11.844827586206897
2025-01-22,2025-01-28,2,51,0.0392156862745098,10.647058823529411
2025-01-29,2025-02-04,0,57,0,11.12280701754386
2025-02-05,2025-02-11,0,58,0,10.60344827586207
2025-02-12,2025-02-18,0,50,0,11.2
2025-02-19,2025-02-25,2,60,0.03333333333333333,13.1
2025-02-26,2025-03-04,0,76,0,11.421052631578947
2025-03-05,2025-03-11,0,79,0,9.139240506329115
2025-03-12,2025-03-18,0,69,0,11.420289855072463
2025-03-19,2025-03-25,1,81,0.012345679012345678,13.283950617283951
2025-03-26,2025-04-01,2,94,0.02127659574468085,13.47872340425532
2025-04-02,2025-04-08,1,84,0.011904761904761904,12.821428571428571
2025-04-09,2025-04-15,0,80,0,17.95
2025-04-16,2025-04-22,1,82,0.012195121951219513,13.865853658536585
2025-04-23,2025-04-29,2,136,0.014705882352941176,14.272058823529411
2025-04-30,2025-05-06,0,97,0,21.082474226804123
2025-05-07,2025-05-13,0,134,0,22.574626865671643
2025-05-14,2025-05-20,1,161,0.006211180124223602,19.559006211180126
2025-05-21,2025-05-27,2,196,0.01020408163265306,19.066326530612244
2025-05-28,2025-06-03,2,168,0.011904761904761904,24.61904761904762
2025-06-04,2025-06-10,2,133,0.015037593984962405,26.646616541353385
2025-06-11,2025-06-17,0,128,0,32.2734375
2025-06-18,2025-06-24,0,181,0,26.56353591160221
2025-06-25,2025-07-01,1,185,0.005405405405405406,21.28108108108108
2025-07-02,2025-07-08,2,317,0.006309148264984227,34.3186119873817
2025-07-09,2025-07-15,2,325,0.006153846153846154,32.895384615384614
2025-07-16,2025-07-22,1,182,0.005494505494505495,25.521978021978022
2025-07-23,2025-07-29,2,216,0.009259259259259259,24.38425925925926
2025-07-30,2025-08-05,1,279,0.0035842293906810036,23.695340501792113
2025-08-06,2025-08-12,0,273,0,21.794871794871796
2025-08-13,2025-08-18,2,217,0.009216589861751152,21.101382488479263
