start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,0,4,0,87
2024-05-08,2024-05-14,arg,0,3,0,86.66666666666667
2024-05-15,2024-05-21,arg,0,3,0,73
2024-05-22,2024-05-28,arg,0,7,0,88.14285714285714
2024-05-29,2024-06-04,arg,0,1,0,84
2024-06-05,2024-06-11,arg,0,6,0,73.16666666666667
2024-06-12,2024-06-18,arg,0,4,0,78.75
2024-06-19,2024-06-25,arg,0,2,0,77.5
2024-06-26,2024-07-02,arg,0,4,0,67.75
2024-07-03,2024-07-09,arg,0,2,0,68.5
2024-07-10,2024-07-16,arg,0,7,0,76.14285714285714
2024-07-17,2024-07-23,arg,0,7,0,67.28571428571429
2024-07-24,2024-07-30,arg,0,2,0,93
2024-07-31,2024-08-06,arg,0,7,0,65.14285714285714
2024-08-07,2024-08-13,arg,0,9,0,63.888888888888886
2024-08-14,2024-08-20,arg,0,11,0,74.63636363636364
2024-08-21,2024-08-27,arg,0,8,0,62.875
2024-08-28,2024-09-03,arg,0,9,0,69.88888888888889
2024-09-04,2024-09-10,arg,0,6,0,77.5
2024-09-11,2024-09-17,arg,0,4,0,73.5
2024-09-18,2024-09-24,arg,0,6,0,79.5
2024-09-25,2024-10-01,arg,0,1,0,86
2024-10-02,2024-10-08,arg,0,2,0,63.5
2024-10-09,2024-10-15,arg,0,1,0,71
2024-10-16,2024-10-22,arg,0,5,0,74.2
2024-10-23,2024-10-29,arg,0,2,0,76.5
2024-10-30,2024-11-05,arg,0,10,0,56.8
2024-11-06,2024-11-12,arg,0,4,0,71
2024-11-13,2024-11-19,arg,0,3,0,53
2024-11-20,2024-11-26,arg,0,6,0,70.5
2024-11-27,2024-12-03,arg,0,4,0,65.5
2024-12-04,2024-12-10,arg,0,7,0,61.857142857142854
2024-12-11,2024-12-17,arg,0,7,0,50.857142857142854
2024-12-18,2024-12-24,arg,0,6,0,59.833333333333336
2024-12-25,2024-12-31,arg,0,6,0,62.333333333333336
2025-01-01,2025-01-07,arg,0,3,0,67.66666666666667
2025-01-08,2025-01-14,arg,0,4,0,75.5
2025-01-15,2025-01-21,arg,0,6,0,67
2025-01-22,2025-01-28,arg,0,4,0,48.5
2025-01-29,2025-02-04,arg,0,3,0,73.66666666666667
2025-02-05,2025-02-11,arg,0,3,0,64
2025-02-12,2025-02-18,arg,0,2,0,59.5
2025-02-19,2025-02-25,arg,0,5,0,69
2025-02-26,2025-03-04,arg,0,4,0,61.25
2025-03-05,2025-03-11,arg,0,7,0,67
2025-03-12,2025-03-18,arg,0,3,0,70.66666666666667
2025-03-19,2025-03-25,arg,0,2,0,59.5
2025-03-26,2025-04-01,arg,0,6,0,70.5
2025-04-02,2025-04-08,arg,0,5,0,60.4
2025-04-09,2025-04-15,arg,0,2,0,61
2025-04-16,2025-04-22,arg,0,4,0,77.75
2025-04-23,2025-04-29,arg,0,4,0,59.75
2025-04-30,2025-05-06,arg,0,8,0,66
2025-05-07,2025-05-13,arg,0,5,0,46.4
2025-05-14,2025-05-20,arg,0,8,0,62.125
2025-05-21,2025-05-27,arg,0,1,0,23
2025-05-28,2025-06-03,arg,0,3,0,65.66666666666667
2025-06-04,2025-06-10,arg,0,1,0,79
2025-06-11,2025-06-17,arg,0,3,0,85.66666666666667
2025-06-18,2025-06-24,arg,0,1,0,96
2025-06-25,2025-07-01,arg,0,1,0,48
