start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,0,2,0,44
2024-05-08,2024-05-14,arg,0,3,0,53.333333333333336
2024-05-15,2024-05-21,arg,0,2,0,55
2024-05-22,2024-05-28,arg,0,2,0,51
2024-05-29,2024-06-04,arg,0,4,0,52.5
2024-06-05,2024-06-11,arg,0,5,0,59.2
2024-06-12,2024-06-18,arg,0,4,0,64
2024-06-19,2024-06-25,arg,0,4,0,33
2024-06-26,2024-07-02,arg,0,5,0,50.4
2024-07-03,2024-07-09,arg,0,4,0,62.75
2024-07-10,2024-07-16,arg,0,2,0,46.5
2024-07-17,2024-07-23,arg,0,3,0,43.333333333333336
2024-07-24,2024-07-30,arg,0,6,0,38.333333333333336
2024-07-31,2024-08-06,arg,0,8,0,56.625
2024-08-07,2024-08-13,arg,0,2,0,41.5
2024-08-14,2024-08-20,arg,0,3,0,57.333333333333336
2024-08-21,2024-08-27,arg,0,12,0,56.666666666666664
2024-08-28,2024-09-03,arg,0,11,0,59.18181818181818
2024-09-04,2024-09-10,arg,0,11,0,47.54545454545455
2024-09-11,2024-09-17,arg,0,9,0,50.333333333333336
2024-09-18,2024-09-24,arg,0,8,0,54.5
2024-09-25,2024-10-01,arg,0,13,0,43.46153846153846
2024-10-02,2024-10-08,arg,0,16,0,47.875
2024-10-09,2024-10-15,arg,0,8,0,53.875
2024-10-16,2024-10-22,arg,0,14,0,42.5
2024-10-23,2024-10-29,arg,0,10,0,59.3
2024-10-30,2024-11-05,arg,0,4,0,29.75
