start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,0,4,0,17.5
2024-05-08,2024-05-14,arg,0,2,0,21.5
2024-05-15,2024-05-21,arg,0,3,0,30.333333333333332
2024-05-22,2024-05-28,arg,0,2,0,21
2024-05-29,2024-06-04,arg,0,3,0,20
2024-06-05,2024-06-11,arg,0,3,0,38.333333333333336
2024-06-12,2024-06-18,arg,0,4,0,34.5
2024-06-19,2024-06-25,arg,0,3,0,19.333333333333332
2024-06-26,2024-07-02,arg,0,3,0,19
2024-07-03,2024-07-09,arg,0,2,0,19
2024-07-10,2024-07-16,arg,0,4,0,23.5
2024-07-17,2024-07-23,arg,0,3,0,46
2024-07-24,2024-07-30,arg,0,1,0,14
2024-07-31,2024-08-06,arg,0,7,0,21.714285714285715
2024-08-07,2024-08-13,arg,0,1,0,24
2024-08-14,2024-08-20,arg,0,1,0,25
2024-08-21,2024-08-27,arg,0,4,0,23
2024-08-28,2024-09-03,arg,0,2,0,22.5
2024-09-04,2024-09-10,arg,0,2,0,62
2024-09-11,2024-09-17,arg,0,3,0,16
2024-09-18,2024-09-24,arg,0,3,0,52.333333333333336
2024-09-25,2024-10-01,arg,0,1,0,18
