start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,0,1,0,55
2024-05-08,2024-05-14,arg,0,1,0,47
2024-05-15,2024-05-21,arg,0,1,0,63
2024-05-22,2024-05-28,arg,0,1,0,32
2024-05-29,2024-06-04,arg,0,1,0,42
2024-06-05,2024-06-11,arg,0,1,0,70
2024-06-12,2024-06-18,arg,0,1,0,72
2024-06-19,2024-06-25,arg,0,2,0,48
2024-06-26,2024-07-02,arg,0,3,0,54.666666666666664
2024-07-03,2024-07-09,arg,0,1,0,32
2024-07-10,2024-07-16,arg,0,1,0,56
2024-07-17,2024-07-23,arg,0,1,0,45
2024-07-24,2024-07-30,arg,0,1,0,48
