start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,arg,0,1,0,18
2024-05-08,2024-05-14,arg,0,1,0,14
2024-05-15,2024-05-21,arg,0,1,0,66
2024-05-22,2024-05-28,arg,0,1,0,6
2024-05-29,2024-06-04,arg,0,2,0,16.5
2024-06-05,2024-06-11,arg,0,1,0,16
2024-06-12,2024-06-18,arg,0,1,0,13
2024-06-19,2024-06-25,arg,0,1,0,19
2024-06-26,2024-07-02,arg,0,1,0,100
2024-07-03,2024-07-09,arg,0,4,0,45.5
2024-07-10,2024-07-16,arg,0,2,0,19.5
2024-07-17,2024-07-23,arg,0,4,0,53.25
2024-07-24,2024-07-30,arg,0,3,0,24.666666666666668
2024-07-31,2024-08-06,arg,0,3,0,50.333333333333336
2024-08-07,2024-08-13,arg,0,1,0,24
