start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,0,1,0,93
2024-05-08,2024-05-14,aus,0,1,0,86
2024-05-15,2024-05-21,aus,0,3,0,84.66666666666667
2024-05-22,2024-05-28,aus,0,2,0,76.5
2024-05-29,2024-06-04,aus,0,1,0,71
2024-06-05,2024-06-11,aus,0,1,0,24
2024-06-12,2024-06-18,aus,0,1,0,65
2024-06-19,2024-06-25,aus,0,1,0,66
2024-06-26,2024-07-02,aus,0,1,0,63
2024-07-03,2024-07-09,aus,0,1,0,58
2024-07-10,2024-07-16,aus,0,1,0,76
2024-07-17,2024-07-23,aus,0,1,0,29
2024-07-24,2024-07-30,aus,0,1,0,1
2024-07-31,2024-08-06,aus,0,2,0,46.5
2024-08-07,2024-08-13,aus,0,1,0,69
