start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,0,1,0,31
2024-05-08,2024-05-14,aus,0,2,0,47.5
2024-05-15,2024-05-21,aus,0,3,0,52.333333333333336
2024-05-22,2024-05-28,aus,0,6,0,40.833333333333336
2024-05-29,2024-06-04,aus,0,5,0,45
2024-06-05,2024-06-11,aus,0,9,0,48.888888888888886
2024-06-12,2024-06-18,aus,0,2,0,56.5
2024-06-19,2024-06-25,aus,0,4,0,38.75
2024-06-26,2024-07-02,aus,0,2,0,37.5
2024-07-03,2024-07-09,aus,0,3,0,38.666666666666664
2024-07-10,2024-07-16,aus,0,2,0,79.5
2024-07-17,2024-07-23,aus,0,1,0,87
2024-07-24,2024-07-30,aus,0,2,0,66.5
2024-07-31,2024-08-06,aus,0,1,0,81
