start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,0,1,0,11
2024-05-08,2024-05-14,aus,0,3,0,24
2024-05-15,2024-05-21,aus,0,3,0,32.33333333333333
2024-05-22,2024-05-28,aus,0,3,0,41.333333333333336
2024-05-29,2024-06-04,aus,0,4,0,18.5
2024-06-05,2024-06-11,aus,0,1,0,52
2024-06-12,2024-06-18,aus,0,3,0,32.66666666666667
2024-06-19,2024-06-25,aus,0,2,0,37
2024-06-26,2024-07-02,aus,0,2,0,48.5
2024-07-03,2024-07-09,aus,0,1,0,13
2024-07-10,2024-07-16,aus,0,1,0,60
2024-07-17,2024-07-23,aus,0,2,0,10.5
2024-07-24,2024-07-30,aus,0,3,0,20.333333333333332
2024-07-31,2024-08-06,aus,0,2,0,32.5
2024-08-07,2024-08-13,aus,0,2,0,51.5
2024-08-14,2024-08-20,aus,0,2,0,31.5
2024-08-21,2024-08-27,aus,0,2,0,48.5
2024-08-28,2024-09-03,aus,0,1,0,72
2024-09-04,2024-09-10,aus,0,1,0,4
2024-09-11,2024-09-17,aus,0,3,0,92.66666666666667
2024-09-18,2024-09-24,aus,0,1,0,26
2024-09-25,2024-10-01,aus,0,5,0,35.4
2024-10-02,2024-10-08,aus,0,1,0,11
2024-10-09,2024-10-15,aus,0,5,0,25.6
2024-10-16,2024-10-22,aus,0,2,0,52
2024-10-23,2024-10-29,aus,0,2,0,35.5
2024-10-30,2024-11-05,aus,0,1,0,8
2024-11-06,2024-11-12,aus,0,3,0,16.666666666666664
2024-11-13,2024-11-19,aus,0,1,0,70
2024-11-20,2024-11-26,aus,0,3,0,23.666666666666668
2024-11-27,2024-12-03,aus,0,2,0,19.5
2024-12-04,2024-12-10,aus,0,1,0,53
2024-12-11,2024-12-17,aus,0,1,0,9
2024-12-18,2024-12-24,aus,0,3,0,24.333333333333332
2024-12-25,2024-12-31,aus,0,3,0,17.666666666666668
2025-01-01,2025-01-07,aus,0,3,0,34.666666666666664
