start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,aus,0,1,0,77
2024-05-08,2024-05-14,aus,0,2,0,83
2024-05-15,2024-05-21,aus,0,2,0,94.5
2024-05-22,2024-05-28,aus,0,1,0,96
2024-05-29,2024-06-04,aus,0,1,0,102
2024-06-05,2024-06-11,aus,0,4,0,54.25
2024-06-12,2024-06-18,aus,0,1,0,85
2024-06-19,2024-06-25,aus,0,2,0,77.5
2024-06-26,2024-07-02,aus,0,1,0,101
2024-07-03,2024-07-09,aus,0,1,0,10
2024-07-10,2024-07-16,aus,0,2,0,30
2024-07-17,2024-07-23,aus,0,1,0,62
2024-07-24,2024-07-30,aus,0,1,0,54
2024-07-31,2024-08-06,aus,0,1,0,43
2024-08-07,2024-08-13,aus,0,2,0,71
2024-08-14,2024-08-20,aus,0,1,0,12
2024-08-21,2024-08-27,aus,0,2,0,43.5
2024-08-28,2024-09-03,aus,0,2,0,74.5
2024-09-04,2024-09-10,aus,0,1,0,64
2024-09-11,2024-09-17,aus,0,1,0,81
2024-09-18,2024-09-24,aus,0,1,0,8
2024-09-25,2024-10-01,aus,0,1,0,58
2024-10-02,2024-10-08,aus,0,2,0,51.5
2024-10-09,2024-10-15,aus,0,2,0,81
