start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,0,17,0,46.529411764705884
2024-05-08,2024-05-14,can,0,8,0,44.75
2024-05-15,2024-05-21,can,0,2,0,74
2024-05-22,2024-05-28,can,0,13,0,56.61538461538461
2024-05-29,2024-06-04,can,0,14,0,76.71428571428571
2024-06-05,2024-06-11,can,0,25,0,68.56
2024-06-12,2024-06-18,can,0,10,0,70.3
2024-06-19,2024-06-25,can,0,20,0,56.1
2024-06-26,2024-07-02,can,0,19,0,55.26315789473684
2024-07-03,2024-07-09,can,0,11,0,55
2024-07-10,2024-07-16,can,0,4,0,50.25
