start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,0,1,0,62
2024-05-08,2024-05-14,can,0,1,0,101
2024-05-15,2024-05-21,can,0,1,0,21
2024-05-22,2024-05-28,can,0,1,0,8
2024-05-29,2024-06-04,can,0,1,0,72
2024-06-05,2024-06-11,can,0,1,0,38
2024-06-12,2024-06-18,can,0,2,0,90.5
2024-06-19,2024-06-25,can,0,2,0,16.5
2024-06-26,2024-07-02,can,0,1,0,86
2024-07-03,2024-07-09,can,0,4,0,44.25
2024-07-10,2024-07-16,can,0,14,0,17.071428571428573
2024-07-17,2024-07-23,can,0,20,0,22.2
2024-07-24,2024-07-30,can,0,38,0,42.78947368421053
2024-07-31,2024-08-06,can,0,36,0,55.611111111111114
2024-08-07,2024-08-13,can,0,22,0,39.81818181818182
2024-08-14,2024-08-20,can,0,9,0,41.22222222222222
2024-08-21,2024-08-27,can,0,1,0,79
