start_date,end_date,country,clicks,impressions,ctr,position
2024-11-13,2024-11-19,can,0,1,0,74
2024-11-20,2024-11-26,can,0,1,0,1
2024-11-27,2024-12-03,can,0,2,0,28.5
2024-12-04,2024-12-10,can,0,2,0,38.5
2024-12-11,2024-12-17,can,0,1,0,42
2025-01-01,2025-01-07,can,0,4,0,42.75
2025-01-08,2025-01-14,can,0,1,0,45
2025-02-26,2025-03-04,can,0,1,0,4
2025-03-05,2025-03-11,can,0,1,0,4
2025-03-12,2025-03-18,can,0,3,0,16
2025-03-19,2025-03-25,can,0,1,0,4
2025-03-26,2025-04-01,can,0,1,0,3
2025-04-02,2025-04-08,can,0,1,0,7
2025-04-09,2025-04-15,can,0,2,0,1
2025-04-30,2025-05-06,can,0,2,0,62.5
2025-05-07,2025-05-13,can,0,1,0,3
2025-05-28,2025-06-03,can,0,1,0,4
2025-06-04,2025-06-10,can,0,1,0,9
2025-06-18,2025-06-24,can,0,1,0,9
2025-07-02,2025-07-08,can,0,2,0,20.5
2025-07-09,2025-07-15,can,0,3,0,49.333333333333336
2025-07-16,2025-07-22,can,0,3,0,53.666666666666664
2025-07-23,2025-07-29,can,0,3,0,43.666666666666664
2025-07-30,2025-08-05,can,0,3,0,38.666666666666664
2025-08-06,2025-08-12,can,0,4,0,41.5
2025-08-13,2025-08-19,can,0,11,0,46.72727272727273
2025-08-20,2025-08-23,can,0,6,0,43.5
