start_date,end_date,country,clicks,impressions,ctr,position
2024-10-30,2024-11-05,can,0,1,0,6
2024-11-06,2024-11-12,can,0,4,0,29.75
2024-11-13,2024-11-19,can,0,5,0,83.2
2024-11-20,2024-11-26,can,0,5,0,72.4
2024-11-27,2024-12-03,can,0,13,0,70.76923076923077
2024-12-04,2024-12-10,can,0,18,0,82.38888888888889
2024-12-11,2024-12-17,can,0,2,0,87.5
2024-12-18,2024-12-24,can,0,7,0,84.57142857142857
2024-12-25,2024-12-31,can,0,6,0,69.5
2025-01-01,2025-01-07,can,0,13,0,76.07692307692308
2025-01-08,2025-01-14,can,0,10,0,39.7
2025-01-15,2025-01-21,can,0,3,0,56.333333333333336
2025-01-22,2025-01-28,can,0,4,0,57.5
2025-01-29,2025-02-04,can,1,10,0.1,5.9
2025-02-05,2025-02-11,can,0,2,0,47
2025-02-19,2025-02-25,can,0,1,0,72
2025-03-12,2025-03-18,can,0,1,0,86
2025-04-02,2025-04-08,can,0,1,0,45
2025-04-23,2025-04-29,can,0,2,0,64
2025-04-30,2025-05-06,can,0,7,0,4.285714285714286
2025-05-21,2025-05-27,can,0,1,0,75
2025-06-04,2025-06-10,can,0,1,0,4
2025-06-25,2025-07-01,can,0,1,0,75
