start_date,end_date,country,clicks,impressions,ctr,position
2024-08-14,2024-08-20,can,0,1,0,12
2024-08-21,2024-08-27,can,0,2,0,64
2024-08-28,2024-09-03,can,0,7,0,35.285714285714285
2024-09-04,2024-09-10,can,0,2,0,7.5
2024-09-11,2024-09-17,can,0,2,0,11
2024-09-18,2024-09-24,can,0,3,0,30
2024-09-25,2024-10-01,can,0,8,0,58.625
2024-10-02,2024-10-08,can,0,3,0,62.333333333333336
2024-10-09,2024-10-15,can,0,5,0,19
2024-10-16,2024-10-22,can,0,3,0,43.333333333333336
2024-10-23,2024-10-29,can,0,7,0,31.428571428571427
2024-10-30,2024-11-05,can,0,6,0,46.833333333333336
2024-11-06,2024-11-12,can,0,16,0,28.25
2024-11-13,2024-11-19,can,0,8,0,33.75
2024-11-20,2024-11-26,can,0,6,0,40.833333333333336
2024-11-27,2024-12-03,can,0,8,0,56.75
2024-12-04,2024-12-10,can,0,13,0,46.84615384615385
2024-12-11,2024-12-17,can,0,6,0,42.666666666666664
