start_date,end_date,country,clicks,impressions,ctr,position
2024-10-16,2024-10-22,can,0,1,0,62
2024-11-06,2024-11-12,can,0,1,0,31
2024-11-27,2024-12-03,can,0,1,0,12
2024-12-18,2024-12-24,can,0,1,0,17
2024-12-25,2024-12-31,can,0,1,0,16
2025-01-29,2025-02-04,can,0,2,0,7
2025-03-12,2025-03-18,can,0,1,0,16
2025-06-11,2025-06-17,can,0,1,0,43
2025-06-18,2025-06-24,can,0,2,0,38
2025-06-25,2025-07-01,can,0,1,0,29
2025-07-16,2025-07-22,can,0,1,0,18
2025-08-13,2025-08-19,can,0,1,0,24
2025-08-20,2025-08-23,can,0,1,0,13
