start_date,end_date,country,clicks,impressions,ctr,position
2024-08-21,2024-08-27,can,0,3,0,77.66666666666667
2024-08-28,2024-09-03,can,0,2,0,79.5
2024-09-11,2024-09-17,can,0,1,0,81
2024-09-18,2024-09-24,can,0,2,0,75
2024-09-25,2024-10-01,can,0,5,0,70.8
2024-10-02,2024-10-08,can,0,6,0,39.5
2024-10-09,2024-10-15,can,0,3,0,65
2024-10-16,2024-10-22,can,0,9,0,68.66666666666667
2024-10-23,2024-10-29,can,0,13,0,80.92307692307692
2024-10-30,2024-11-05,can,0,18,0,73.77777777777777
2024-11-06,2024-11-12,can,0,13,0,69.6923076923077
2024-11-13,2024-11-19,can,0,6,0,63
2024-11-20,2024-11-26,can,0,4,0,81.25
2024-11-27,2024-12-03,can,0,5,0,83.2
2024-12-04,2024-12-10,can,0,16,0,66.625
2024-12-11,2024-12-17,can,0,9,0,91.66666666666667
2024-12-18,2024-12-24,can,0,9,0,71.44444444444444
2024-12-25,2024-12-31,can,0,9,0,84.77777777777777
2025-01-01,2025-01-07,can,0,4,0,79.75
2025-01-08,2025-01-14,can,0,9,0,80.88888888888889
2025-01-15,2025-01-21,can,1,9,0.1111111111111111,56.666666666666664
2025-01-22,2025-01-28,can,0,7,0,71.71428571428571
2025-01-29,2025-02-04,can,0,2,0,42.5
2025-02-05,2025-02-11,can,0,1,0,91
2025-02-19,2025-02-25,can,0,1,0,52
2025-02-26,2025-03-04,can,0,2,0,88.5
2025-03-05,2025-03-11,can,0,1,0,99
2025-03-12,2025-03-18,can,0,3,0,64
2025-03-19,2025-03-25,can,0,4,0,89.5
2025-03-26,2025-04-01,can,0,1,0,10
2025-04-02,2025-04-08,can,0,4,0,52.5
2025-04-09,2025-04-15,can,0,4,0,55.25
2025-04-16,2025-04-22,can,0,5,0,61.8
2025-04-23,2025-04-29,can,1,9,0.1111111111111111,21
2025-04-30,2025-05-06,can,0,6,0,68.16666666666667
2025-05-07,2025-05-13,can,0,1,0,43
2025-05-14,2025-05-20,can,0,2,0,43
2025-05-21,2025-05-27,can,0,3,0,60
2025-06-04,2025-06-10,can,0,1,0,102
2025-06-11,2025-06-17,can,0,2,0,49.5
2025-06-18,2025-06-24,can,0,2,0,98
2025-06-25,2025-07-01,can,0,5,0,43.2
2025-07-02,2025-07-08,can,0,4,0,63.5
2025-07-09,2025-07-15,can,0,5,0,42.2
2025-07-16,2025-07-22,can,0,11,0,87.63636363636364
2025-07-23,2025-07-29,can,0,3,0,83.33333333333333
2025-07-30,2025-08-05,can,0,2,0,53.5
2025-08-06,2025-08-12,can,0,18,0,85.94444444444444
2025-08-13,2025-08-19,can,0,13,0,61.92307692307692
2025-08-20,2025-08-23,can,0,3,0,27
