start_date,end_date,country,clicks,impressions,ctr,position
2024-05-01,2024-05-07,can,0,1,0,94
2024-05-08,2024-05-14,can,0,3,0,57.666666666666664
2024-05-15,2024-05-21,can,0,1,0,73
2024-05-22,2024-05-28,can,0,1,0,40
2024-05-29,2024-06-04,can,0,1,0,22
2024-06-05,2024-06-11,can,0,1,0,14
2024-06-12,2024-06-18,can,0,1,0,42
2024-06-19,2024-06-25,can,0,1,0,31
2024-06-26,2024-07-02,can,0,1,0,34
2024-07-03,2024-07-09,can,0,1,0,54
2024-07-10,2024-07-16,can,0,2,0,68.5
2024-07-17,2024-07-23,can,0,3,0,65.33333333333333
2024-07-24,2024-07-30,can,0,1,0,57
2024-07-31,2024-08-06,can,0,1,0,91
