start_date,end_date,country,clicks,impressions,ctr,position
2024-09-18,2024-09-24,can,0,1,0,18
2024-09-25,2024-10-01,can,0,1,0,7
2024-10-23,2024-10-29,can,0,1,0,8
2024-10-30,2024-11-05,can,0,1,0,1
2024-11-13,2024-11-19,can,0,2,0,11
2024-11-20,2024-11-26,can,0,2,0,4
2024-11-27,2024-12-03,can,0,1,0,7
2024-12-04,2024-12-10,can,0,1,0,94
2025-01-01,2025-01-07,can,0,1,0,97
2025-03-05,2025-03-11,can,0,1,0,15
2025-03-12,2025-03-18,can,0,1,0,14
2025-04-02,2025-04-08,can,0,1,0,9
2025-04-09,2025-04-15,can,0,1,0,20
2025-04-16,2025-04-22,can,0,1,0,18
2025-04-30,2025-05-06,can,0,2,0,79.5
2025-05-21,2025-05-27,can,0,1,0,65
2025-05-28,2025-06-03,can,0,3,0,24.333333333333332
2025-06-04,2025-06-10,can,0,3,0,14.666666666666666
2025-06-11,2025-06-17,can,0,1,0,101
2025-06-25,2025-07-01,can,0,2,0,39.5
2025-07-02,2025-07-08,can,0,3,0,91.66666666666667
2025-07-09,2025-07-15,can,0,2,0,79
2025-07-23,2025-07-29,can,0,1,0,5
2025-08-06,2025-08-12,can,0,2,0,7.5
2025-08-13,2025-08-19,can,0,2,0,17.5
2025-08-20,2025-08-23,can,0,1,0,52
