start_date,end_date,country,clicks,impressions,ctr,position
2024-08-21,2024-08-27,can,0,1,0,77
2024-08-28,2024-09-03,can,0,2,0,80.5
2024-09-04,2024-09-10,can,0,1,0,152
2024-09-11,2024-09-17,can,0,1,0,118
2024-09-18,2024-09-24,can,0,1,0,101
2024-09-25,2024-10-01,can,0,1,0,97
2024-11-13,2024-11-19,can,0,1,0,5
2024-11-27,2024-12-03,can,0,1,0,10
2024-12-25,2024-12-31,can,0,2,0,29
2025-01-01,2025-01-07,can,0,5,0,11.4
2025-01-22,2025-01-28,can,0,1,0,83
2025-02-26,2025-03-04,can,0,1,0,20
2025-04-02,2025-04-08,can,0,1,0,73
2025-07-09,2025-07-15,can,0,2,0,89
